TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3
0.0;8.6242859598654;0.0;28.5098538294608;0.0;8.2252466441163;0.0;2.15908725347401;0.0;-0.332787466422906;0.0;16.6079883562785;0.0;8.87184348730453;0.0;11.7506377697693;0.0;9.26532342853783
5.0;7.80236176273782;5.0;22.8303062486979;5.0;5.88444663829447;5.0;2.40445179697745;5.0;-1.6474013294802;5.0;13.6377192745313;5.0;15.6334219613264;5.0;10.450888642838;5.0;11.7342147020662
10.0;5.39812573116868;10.0;14.5819251661651;10.0;0.867970987701798;10.0;1.68142422283546;10.0;-0.750315507047554;10.0;13.1205828019848;10.0;224.636423510769;10.0;189.182049999009;10.0;246.373326337807
15.0;5.50850474240965;15.0;6.95657514223916;15.0;-2.35120962045295;15.0;-1.11165164587693;15.0;-3.49008817369528;15.0;7.98362757466956;15.0;503.055187640162;15.0;469.167135895235;15.0;510.665338938189
20.0;3.76325457163513;20.0;4.68210534379627;20.0;0.556577484478179;20.0;151.594717739114;20.0;164.986379649575;20.0;174.842018507596;20.0;631.642463049994;20.0;691.538259989093;20.0;648.679779684611
25.0;3.13050048506197;25.0;4.65065990132888;25.0;1.04981548810883;25.0;340.571812138123;25.0;331.511209500062;25.0;364.370729440141;25.0;679.738087174905;25.0;679.56771816821;25.0;688.481842023643
30.0;1.34085372827119;30.0;5.68637181478101;30.0;-1.28734037613;30.0;431.768920928207;30.0;403.373487911687;30.0;439.334175863701;30.0;699.970635455222;30.0;718.837197512793;30.0;688.861654311348
35.0;0.635172445727503;35.0;4.78802242400902;35.0;-3.05550410177259;35.0;455.794561490631;35.0;444.496423081897;35.0;477.929653031141;35.0;665.382892510748;35.0;727.13355706865;35.0;726.887160390309
40.0;-1.40490416069168;40.0;5.28881542029323;40.0;-3.35680968914045;40.0;476.844030444812;40.0;454.357517170677;40.0;495.063970333921;40.0;696.854991633569;40.0;720.188774223467;40.0;731.710246738761
45.0;-1.5475741182079;45.0;5.36376149333439;45.0;-3.7455087471759;45.0;503.910522481131;45.0;462.532641343078;45.0;510.412796425478;45.0;741.552218570335;45.0;744.921702968519;45.0;775.262084366222
50.0;-0.289832897818388;50.0;3.64270032467677;50.0;-4.41497799611842;50.0;502.958084683674;50.0;492.602041565131;50.0;533.490270249165;50.0;749.208225200173;50.0;734.079653369531;50.0;737.354792496093
