Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted paper plasterboard;plasterboard;;;;;;ISO 5660;EUREFIC;CS000016_EUREFIC1;;1;2003-08-05 13:07:52
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;47;100;2.4;12;NA;6.2;3.8;NA;NA;22;0.01;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.56; 0.2735; -46.0115; -0.0078
3.558; 0.4595; -30.3013; -0.0147
6.018; 0.1123; -14.7558; -0.0384
7.998; -0.0848; -5.9052; -0.0803
10.002; -0.421; -3.3917; -0.1955
12; -0.1587; -1.7304; -0.4648
13.998; 0.3666; -0.8771; -1.3578
16.458; -0.679; -0.4357; -2.9432
18.438; 0.0375; -0.177; -6.847
20.442; 0.3977; -0.0981; -19.1958
22.62; -0.2418; -0.0521; -42.2305
24.6; -0.7836; -0.0197; 65.4845
27.078; -0.1922; -0.011; 158.142
29.082; 0.254; 0.0027; 205.902
31.062; 0.0815; 0.0038; 275.997
33.06; 0.0574; 0.009; 346.429
35.082; 0.201; 0.0094; 294.572
37.602; -0.101; 0.0153; 252.87
40.44; -0.1273; 0.021; 242.286
42.438; 0.3466; 0.0273; 193.307
44.442; 1.0007; 0.0416; 149.409
47.22; 3.6831; 0.0635; 96.4679
49.302; 16.1344; 0.071; 50.3692
52.122; 75.0422; 0.0768; 22.4789
55.062; 100.45; 0.0809; 18.7323
58.698; 72.2031; 0.0705; 19.3934
61.56; 48.8324; 0.0559; 20.5006
64.722; 29.813; 0.0522; 20.8271
68.538; 22.5234; 0.0483; 18.6755
71.322; 18.776; 0.0424; 16.9861
73.602; 16.4302; 0.044; 16.5315
75.822; 14.5917; 0.0431; 16.4974
78.282; 13.7966; 0.0407; 15.261
80.262; 12.7757; 0.0428; 14.4929
82.242; 12.6165; 0.0443; 13.7095
84.222; 12.1816; 0.0452; 12.6526
86.202; 12.2353; 0.0443; 11.4773
88.68; 12.1294; 0.0447; 10.8084
90.66; 11.8263; 0.0427; 10.5829
92.64; 12.0996; 0.0443; 9.9881
95.28; 12.1449; 0.0434; 9.6322
97.758; 12.1826; 0.0429; 9.8089
100.08; 12.2563; 0.046; 10.1925
102.06; 13.0495; 0.0418; 10.1132
104.058; 11.9081; 0.0419; 10.0696
106.062; 12.1322; 0.0416; 9.8522
108.582; 12.3154; 0.0407; 9.7858
110.562; 12.1819; 0.0392; 10.0779
113.442; 12.5309; 0.0419; 10.5895
115.44; 11.8794; 0.0427; 11.089
117.9; 12.2656; 0.0426; 11.7749
119.922; 12.6427; 0.0446; 12.0279
122.418; 12.6253; 0.0426; 12.4485
125.082; 13.2221; 0.0418; 12.0523
127.062; 13.0907; 0.0401; 12.1515
129.558; 12.7373; 0.0404; 12.5908
131.562; 13.5592; 0.0397; 13.1556
133.56; 13.2762; 0.0406; 12.4977
135.558; 12.7202; 0.0397; 12.5863
137.682; 12.6843; 0.0393; 11.6996
140.742; 11.9802; 0.0406; 11.0524
142.86; 11.9159; 0.0383; 9.7631
144.84; 11.8467; 0.0369; 9.9587
147.06; 11.7342; 0.0369; 9.6967
149.478; 11.0421; 0.0364; 10.4322
151.578; 10.9197; 0.0374; 10.1021
153.582; 12.4564; 0.0363; 10.6559
155.562; 12.1826; 0.0367; 9.6844
157.56; 11.0465; 0.0362; 8.563
159.978; 10.2356; 0.0371; 7.0714
161.958; 9.7491; 0.0367; 5.8741
163.962; 9.7229; 0.0357; 4.727
165.942; 9.902; 0.0356; 4.4499
167.94; 10.0344; 0.0361; 5.2802
170.682; 8.7015; 0.0347; 6.2423
172.68; 8.441; 0.0338; 7.125
174.66; 7.9099; 0.034; 8.4419
176.658; 7.7488; 0.034; 9.339
178.662; 7.1466; 0.0335; 9.2734
181.122; 6.3353; 0.0335; 9.3675
