Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Textile wall covering;paper plasterboard;;;;;;ISO 5660;EUREFIC;CS000022_EUREFIC3;;1;2003-08-05 13:18:37
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;23;312;10.4;58;NA;13.2;7.9;NA;NA;33;0.01;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.002; -0.1005; -0.1258; -7.8575
3; -0.2224; -0.0912; 7.9107
5.442; 0.5462; -0.0087; 21.2702
7.662; -0.2322; 0.0072; 38.6487
9.642; 0.1683; 0.0133; 73.2651
11.622; -0.0803; 0.0155; 114.498
13.62; 0.2951; 0.0163; 125.653
16.02; 0.0921; 0.0232; 137.694
18.018; 0.0078; 0.0447; 145.865
20.022; -0.8624; 0.0685; 120.869
22.002; 18.4675; 0.1034; 92.5562
24; 100.21; 0.1435; 72.619
26.442; 171.258; 0.1799; 55.8785
28.722; 226.534; 0.2151; 42.9068
30.72; 261.349; 0.2241; 60.1177
32.718; 284.458; 0.2261; 93.5874
34.698; 311.87; 0.2188; 135.273
37.158; 307.004; 0.2066; 175.247
39.162; 279.882; 0.1817; 218.397
41.142; 233.301; 0.1658; 231.797
43.158; 207.791; 0.1484; 225.418
45.138; 185.892; 0.1351; 203.62
47.562; 164.588; 0.1245; 176.258
49.56; 149.653; 0.1141; 137.578
51.738; 135.113; 0.1104; 108.997
53.742; 124.488; 0.1018; 84.0423
55.74; 111.114; 0.094; 63.9103
58.2; 99.0498; 0.0899; 46.8323
60.198; 87.7138; 0.0835; 32.7225
62.178; 73.699; 0.0783; 24.2482
64.182; 66.4531; 0.0756; 18.7282
66.18; 56.6703; 0.074; 14.6306
68.562; 46.1982; 0.07; 12.0336
70.56; 41.3025; 0.0679; 10.9813
72.558; 36.171; 0.0675; 9.7513
74.76; 32.6585; 0.0666; 8.2696
76.74; 31.6834; 0.068; 7.0251
79.2; 30.2287; 0.0685; 6.9816
81.198; 29.4271; 0.0693; 6.8231
83.202; 28.507; 0.0673; 7.1762
85.182; 28.5004; 0.0668; 7.1075
87.18; 27.8046; 0.0642; 7.3069
89.682; 27.5233; 0.0631; 6.9037
91.68; 26.9834; 0.0606; 6.4888
93.66; 26.4761; 0.0628; 5.9622
95.88; 26.3519; 0.0624; 5.4571
97.86; 25.1714; 0.0618; 4.7448
100.338; 26.274; 0.0605; 4.4953
102.342; 25.548; 0.0594; 4.3678
104.34; 24.8657; 0.0575; 4.2777
106.338; 24.43; 0.0557; 4.7259
108.342; 24.5147; 0.0561; 5.017
110.838; 23.7562; 0.0549; 5.1257
112.842; 22.6507; 0.0552; 5.1488
114.84; 23.5964; 0.0558; 4.6468
116.82; 23.9062; 0.0576; 4.3153
119.1; 23.6116; 0.0553; 4.2899
121.638; 23.6493; 0.0557; 3.9015
123.642; 22.8616; 0.0549; 3.479
125.64; 21.8393; 0.0538; 3.3947
127.638; 20.9892; 0.0516; 3.1745
129.642; 20.7749; 0.052; 2.4722
132.078; 20.6088; 0.0519; 2.1669
134.058; 20.586; 0.0525; 1.7371
136.062; 21.01; 0.0525; 1.4075
138.078; 19.9278; 0.0533; 1.1059
140.058; 20.3695; 0.0525; 1.2566
142.86; 20.0856; 0.0521; 1.1757
144.858; 20.1848; 0.0506; 1.1059
146.838; 19.1172; 0.0499; 1.3233
148.842; 17.5975; 0.049; 1.27
150.84; 17.9788; 0.0484; 0.883
153.3; 17.4886; 0.0492; 1.0888
155.298; 16.9792; 0.0488; 1.5059
157.302; 17.1382; 0.0487; 1.3158
159.318; 17.1331; 0.0491; 0.9403
161.322; 17.3278; 0.0482; 0.8252
164.178; 18.1574; 0.047; 0.4613
166.182; 17.7011; 0.0452; 0.2742
168.18; 16.1288; 0.0455; 0.2295
170.178; 16.3409; 0.0446; 0.3552
172.158; 14.768; 0.0456; 0.8048
174.678; 14.2637; 0.0444; 1.3329
176.682; 13.9489; 0.0443; 1.3364
178.662; 14.5436; 0.0439; 1.2641
180.618; 14.5693; 0.0438; 1.418
182.622; 13.4209; 0.0429; 1.4045
185.022; 13.3544; 0.0433; 0.8014
187.242; 12.9208; 0.0442; 0.5463
