Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polypropylene floor covering 8.5 mm;Minerit board;;;Floor;;;ISO 5660;SP Report 2007:29 The Influence of floor materials on room fires;;;1;2007-06-28 14:04:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;12;582;36.7;143.2;98.3;17.4;18.23;11.2;387;205;0.0088;8.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);MLR (g/s);SPR (m2/s)
;;;;
Time (s);HRR (kW/m);SEA (m/kg);MLR (g/s);SPR (m/s)
0;-1.171441089;0;-0.419472375;0.000166004
2;-1.135215581;-0.168148476;0.136769458;-2.30E-05
4;0.63219181;-12.49511328;0.004793542;-5.99E-05
6;0.509316844;0;-0.065374333;0.000309799
8;2.017149329;29.87575902;0.007992833;0.000238792
10;9.939463889;0;-0.03041425;0.000863455
12;31.19510338;0;-0.000276083;0.002546436
14;52.20665206;7.402469275;0.078162;0.000578592
16;70.41666722;-139.172967;0.000941208;-0.000130991
18;93.54442263;10.84381036;0.076717542;0.00083191
20;153.0855761;30.9967238;0.012146375;0.000376498
22;219.6017754;0;-0.074576458;0.012462255
24;297.30626;487.1859293;0.058251542;0.028379331
26;372.0812612;890.5678892;0.048837875;0.043493443
28;449.7736099;1369.747328;0.043744208;0.059918512
30;523.7228867;498.3634215;0.141494875;0.07051587
32;541.3835348;411.9114822;0.182699458;0.075256005
34;578.6633588;811.8285819;0.099270583;0.080590697
36;587.2998978;705.7251763;0.143303792;0.101133094
38;548.3114161;921.0297373;0.099051625;0.091229492
40;536.972959;1752.848193;0.057684083;0.101111441
42;450.1614309;720.9602765;0.131257708;0.094631594
44;422.1629924;845.3854468;0.100029458;0.084563448
46;372.0019329;1005.865142;0.073438333;0.07386906
48;342.3561507;906.7279552;0.098612792;0.089414975
50;309.3119457;748.1172076;0.101166292;0.075684244
52;274.2572495;823.5735099;0.096302417;0.079312119
54;250.296147;564.4462198;0.1263985;0.071345156
56;232.9605007;581.5860391;0.108872125;0.063318508
58;221.4520382;518.3076523;0.106879417;0.05539642
60;203.1055843;666.7122556;0.07182325;0.047885441
62;192.2919239;0;-0.008083375;0.049456898
64;180.3486082;691.3390446;0.064310125;0.0444601
66;168.213915;1112.096056;0.049036042;0.054532789
68;162.5501615;916.5151776;0.0430915;0.039494014
70;152.2437833;345.8301739;0.093677708;0.032396578
72;144.9265072;331.2290288;0.097226625;0.032204281
74;140.8849364;313.598462;0.084055708;0.026359741
76;137.4671847;473.8993005;0.054284083;0.025725189
78;128.7309312;822.6879518;0.024004708;0.019748384
80;125.148297;599.9465391;0.033929583;0.020355936
82;120.2737701;703.0133674;0.024555333;0.017262728
84;113.0621508;455.0454396;0.03264;0.014852683
86;109.3204111;137.6804212;0.099685583;0.013724753
88;107.3932507;174.3652137;0.081797417;0.014262624
90;99.44592251;204.6580928;0.05590775;0.011441973
92;95.31508299;434.8397973;0.019654292;0.008546468
94;91.92935917;221.813561;0.04576625;0.010151575
96;86.53951062;76.5721264;0.106061083;0.008121323
98;83.48981929;118.9449172;0.055856833;0.006643886
100;80.78481457;467.4862584;0.009467792;0.004426063
102;78.11876398;59.01019759;0.079323375;0.004680888
104;76.07147045;53.50305978;0.057187208;0.003059691
106;72.92171857;118.7578975;0.021290417;0.002528405
108;71.12400862;62.5466177;0.067435167;0.004217842
110;69.01549993;27.10271755;0.091525875;0.0024806
112;67.33459204;31.21699395;0.051849917;0.001618599
114;65.94940313;51.90509249;0.053840417;0.002794592
116;63.29813308;20.97311767;0.061834625;0.001296865
118;60.47178428;7.251378471;0.029600458;0.000214644
120;59.1200987;53.99975245;0.044590208;0.00240786
122;56.22088143;26.78095741;0.041470125;0.00111061
124;56.70386139;44.85039554;0.05877225;0.002635959
126;55.41190163;22.72527391;0.063744083;0.001448602
128;54.81319032;2367.648524;0.001100458;0.002605499
130;53.85302434;0;-0.010090417;0.001743006
132;52.32058685;37.90415851;0.025270625;0.000957862
134;51.37154621;13.98594134;0.029199208;0.000408378
136;49.88998817;12.82386233;0.050017125;0.000641413
138;50.84226694;-15.1806338;0.04305075;-0.000653538
140;47.99978121;6.02857561;0.04981;0.000300283
142;46.93931831;5.098829595;0.054702375;0.000278918
144;46.8889905;-6.141751814;0.014749208;-9.06E-05
146;46.4403524;2.968918432;0.056212458;0.00016689
148;45.14453546;12.03016072;0.050499208;0.000607514
150;44.69393232;0;-0.001808167;0.000527695
152;43.84392702;248.6079306;0.007318417;0.001819416
154;42.09953242;-4.609447877;0.02726725;-0.000125687
156;41.56746238;-1.517514151;0.053639833;-8.14E-05
158;42.63734299;-31.06199249;0.014703375;-0.000456716
160;40.05489842;-5.209785344;0.0474225;-0.000247061
162;39.93359848;-4.574722445;0.054568583;-0.000249636
164;39.58029695;-6.307353321;0.027793958;-0.000175306
166;38.02914905;-0.684920727;0.05284;-3.62E-05
168;38.68045406;15.52333605;0.0491105;0.000762359
170;37.63456125;10.69392213;0.04847225;0.000518358
172;37.73191396;10.68464554;0.05119075;0.000546955
174;38.85051706;-3.213860976;0.029455833;-9.47E-05
176;39.22828134;2.913278213;0.021207875;6.18E-05
178;39.27774364;55.3063644;0.0226705;0.001253823
180;39.00637548;0;-0.006073375;0.000238632
182;38.28821028;-33.81988484;0.022544083;-0.000762438
184;38.7157955;9.89057781;0.024448792;0.000241813
186;39.67949166;2.792504005;0.051166375;0.000142882
188;39.91666911;3.311612276;0.076572792;0.000253579
190;39.76469297;-20.01895947;0.023049333;-0.000461424
192;40.95495046;-48.35772339;0.026286333;-0.001271147
194;40.12516507;-4.200753112;0.027483375;-0.000115451
196;40.16924274;-11.03301585;0.03056725;-0.000337249
198;39.28982192;7.202437124;0.030012042;0.00021616
200;38.95244039;7.896825527;0.021758333;0.000171822
202;38.92161487;-50.92201202;0.018737458;-0.000954149
204;39.5037475;-47.54323571;0.019439125;-0.000924199
206;38.36207911;-15.98999022;0.031696833;-0.000506832
208;38.06233996;-4.387372067;0.038047708;-0.000166929
210;38.14024641;-43.99661321;0.009495;-0.000417748
212;37.7891373;-24.87748253;0.015091208;-0.000375431
214;37.82208397;-0.781821721;0.089101917;-6.97E-05
216;37.53606601;-14.26736383;0.026558333;-0.000378917
218;35.45483569;0;-0.033615458;-0.000592671
220;34.75066171;-12.41809943;0.05200275;-0.000645775
222;33.45288163;-15.79167078;0.055800417;-0.000881182
224;34.11298834;-46.41147606;0.015322167;-0.000711124
226;33.13353222;3.451914316;0.016365875;5.65E-05
228;31.66667395;-8.832610548;0.061884083;-0.000546598
230;30.86844199;3.156265595;0.028478792;8.99E-05
232;31.68138576;0;-0.013180375;0.00088236
