Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PVC wall carpet;paper plasterboard;;;;;;ISO 5660;EUREFIC;CS000030_EUREFIC10;;1;2003-08-05 13:33:18
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;15;139;16.5;66;51;22.6;7.3;NA;NA;128;0.01;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.2; -0.8093; -0.0008; -76.1863
3.222; -0.9; 0.0041; -85.6888
5.82; -1.3323; 0.0061; -82.9314
7.938; -1.0123; 0.0148; 65.6978
11.022; -3.1749; 0.0556; 109.431
13.098; 40.0618; 0.0788; 128.715
15.822; 99.2752; 0.1122; 196.743
17.898; 108.774; 0.1437; 341.935
21.018; 121.356; 0.1705; 485.194
23.142; 128.223; 0.155; 568.686
25.218; 138.668; 0.1561; 687.918
27.462; 138.096; 0.1498; 781.718
30.162; 136.75; 0.1396; 814.307
32.4; 133.387; 0.1341; 830.106
34.398; 125.001; 0.1266; 819.349
37.002; 117.431; 0.12; 773.682
39.378; 110.977; 0.1137; 723.927
42.498; 103.498; 0.11; 649.824
44.622; 97.9667; 0.0974; 588.044
46.698; 95.2402; 0.0969; 549.708
48.942; 94.6789; 0.094; 538.379
51.822; 92.0783; 0.0897; 512.125
54; 91.8744; 0.0845; 493.427
56.358; 88.2516; 0.0826; 470.788
58.602; 87.048; 0.0803; 447.388
61.32; 84.6016; 0.0773; 413.14
63.618; 82.0068; 0.0754; 385.208
65.958; 79.0374; 0.0733; 360.91
68.538; 78.4744; 0.0723; 336.096
71.082; 76.0346; 0.0729; 312.796
73.758; 74.0808; 0.0758; 297.939
75.882; 72.3338; 0.0726; 281.61
78.138; 72.0302; 0.0729; 267.428
80.202; 71.5137; 0.073; 266.568
83.058; 68.378; 0.072; 265.351
85.182; 66.4335; 0.0663; 263.844
87.498; 64.3945; 0.0659; 257.862
89.718; 63.3166; 0.0649; 255.637
92.718; 60.4128; 0.0662; 245.264
95.022; 58.6343; 0.0625; 228.718
97.02; 58.0482; 0.0621; 212.534
99.522; 59.2761; 0.0646; 202.07
102.06; 55.8374; 0.0656; 186.402
104.64; 53.9882; 0.0661; 168.079
106.698; 53.1244; 0.066; 158.354
108.882; 53.3548; 0.0678; 145.534
111.12; 53.196; 0.0689; 133.338
114; 50.3297; 0.0707; 127.092
116.442; 50.8847; 0.0672; 125.151
118.86; 49.4825; 0.0693; 117.343
120.96; 48.0792; 0.0701; 115.926
123.642; 46.3907; 0.0713; 114.724
125.862; 45.1001; 0.0656; 109.015
