Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plastic faced steel sheet;Mineral wool;;;;;;ISO 5660;EUREFIC;CS000034_EUREFIC5;;1;2003-08-06 08:59:37
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;80;78;1.0;5;NA;1.4;7.0;NA;NA;182;0.01;25;640
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; -0.6255; -0.0065; -100000
1.998; -0.0769; -0.0012; -100000
4.02; 0.3451; 0.0148; -100000
6.558; 1.142; -0.0007; -100000
8.562; 1.94; -0.002; -100000
10.902; 2.9375; 0.0001; -100000
12.882; 2.323; 0.0015; -100000
14.88; 1.0664; -0.0022; -100000
17.4; 1.4247; 0.001; -100000
19.398; 1.446; -0.0004; -100000
21.378; 0.3224; 0.0011; -100000
23.382; 0.4686; -0.0017; -100000
25.38; -0.554; -0.0021; -100000
27.882; -0.7673; 0.0007; -100000
29.88; -0.1071; 0.0012; -100000
31.878; -1.0867; -0.001; -100000
34.158; -0.9554; 0.0008; -100000
36.162; -0.7966; 0.0036; -100000
38.742; 1.2244; 0.0003; -100000
40.74; 0.1679; 0.0026; -100000
42.72; -0.0652; 0.0025; 173.665
44.7; 0.3364; 0.0058; 256.688
46.698; -0.5255; 0.0031; 632.005
49.182; 0.1901; 0.0075; 661.272
51.138; 0.3339; 0.0011; 732.908
53.142; 0.267; 0.0073; 695.257
55.44; 0.0219; 0.0044; 687.096
57.438; -0.6886; 0.0149; 347.805
59.958; 0.1198; 0.0205; 455.176
62.082; 0.0362; 0.0387; 556.77
64.08; 0.0027; 0.0414; 715.24
66.078; -0.4453; 0.0541; 824.798
68.082; -0.7046; 0.0612; 881.801
70.662; -0.026; 0.0593; 785.412
72.678; 0.7984; 0.0547; 672.789
76.14; 11.8372; 0.0686; 747.668
78.18; 45.3608; 0.0726; 1104.97
81.102; 76.7278; 0.0675; 1383.9
83.118; 77.8738; 0.0418; 1731.92
85.14; 60.2256; 0.034; 2147.08
87.18; 25.2743; 0.0182; -995.284
