Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane, type PIR;;;;Self-supporting double skin steel faced polyurethane insulated sandwich element (sandwich panel);;;ISO 5660;SURSHIP-FIRE Project, VTT Research Report No. VTT-S-11586-09;test date 9.10.2008, specimen consisted of insulation material only (no steel faces); Owner Huurre Insulation Oy, Finland;;1;2009-04-06 13:23:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;2;74;17.1;36.7;29.7;14.6;10.3;7.5;442;267;0.00884;50;39
VectorData
Time (s);HRR (kW/m2);SPR (m2/s)
0;29.17593167;7.11E-05
1;45.70420873;0.002436138
2;57.95240256;-0.001804008
3;67.58106571;0.021981866
4;72.87306443;0.042093439
5;74.47598524;0.053412707
6;74.43734505;0.054018861
7;73.55364493;0.065835327
8;72.52466084;0.057165411
9;71.21980501;0.043894046
10;69.28002525;0.042005391
11;67.3343535;0.038593401
12;65.26005709;0.037484873
13;63.53477376;0.029545945
14;62.10983811;0.031956819
15;61.2508587;0.030338059
16;59.92048266;0.022887443
17;58.55732308;0.025308204
18;57.15491502;0.021253015
19;55.44248228;0.018433744
20;53.94728025;0.021516603
21;53.38167354;0.018019698
22;52.58120483;0.014317629
23;52.04728131;0.016678766
24;51.90095391;0.018561134
25;52.1055994;0.014419839
26;52.54735282;0.015815343
27;52.63379768;0.016109405
28;51.9969263;0.01040818
29;51.26253271;0.013655588
30;51.52312291;0.011289674
31;50.93279097;0.008723722
32;51.00694615;0.011255235
33;51.31938426;0.010574286
34;50.75961509;0.0066795
35;50.84165492;0.011783189
36;51.07201295;0.011798062
37;51.3275921;0.007993782
38;51.72418021;0.010627414
39;52.06168342;0.011146637
40;52.23022771;0.007501219
41;52.35715337;0.009584228
42;52.23673239;0.011841648
43;52.1385872;0.006145139
44;52.16677533;0.010019876
45;50.99885918;0.010543219
46;48.77571824;0.006683628
47;46.80208506;0.009168172
48;45.71913439;0.010621513
49;45.45244782;0.006378511
50;44.91268204;0.00809338
51;44.22436469;0.010059653
52;43.08571663;0.006007717
53;42.64213722;0.008236577
54;41.79543108;0.008831733
55;41.42714781;0.006171141
56;41.19824563;0.007860685
57;41.17684469;0.010819171
58;40.22656664;0.005722867
59;39.84847494;0.007340761
60;39.2079029;0.010575353
61;39.06599811;0.007611293
62;38.79634048;0.006287367
63;38.23401487;0.00860105
64;38.07973405;0.006027867
65;37.41682954;0.004631963
66;37.52042423;0.010798695
67;36.84084691;0.007146286
68;36.606428;0.007359342
69;36.4777166;0.008431793
70;35.9270591;0.008717255
71;35.61057007;0.004434601
72;35.65527858;0.007255334
73;34.96742392;0.007178336
74;35.07143224;0.005970495
75;34.48307151;0.007367533
76;34.48065339;0.00865497
77;33.27065712;0.004699227
78;32.87135222;0.005597991
79;32.46993753;0.009286032
80;32.32169954;0.00458856
81;31.67267555;0.005176425
82;31.4950982;0.007895746
83;30.82714278;0.00566741
84;30.34515604;0.006100414
85;30.46230316;0.008310176
86;30.67793301;0.004243909
87;30.20617658;0.005364839
88;30.00645242;0.008874652
89;29.12462754;0.005829534
90;28.95814729;0.005240086
91;29.00711954;0.009024235
92;29.10828673;0.006151794
93;28.8719308;0.006166989
94;28.63013289;0.009404694
95;28.53407179;0.006516576
96;28.21952811;0.004584579
97;28.49805714;0.008543889
98;28.59843256;0.00664009
99;28.39319395;0.004264401
100;28.44286603;0.007728298
101;28.39470022;0.005948268
102;28.62824004;0.005080585
103;28.84303715;0.008187662
104;28.84212061;0.004343946
105;28.58338119;0.003428028
106;28.5247491;0.007062889
107;28.75461335;0.00549307
108;28.95098197;0.003057119
109;29.48242338;0.008049626
110;29.17592227;0.005277052
111;28.86348514;0.003823043
112;28.86603465;0.00676651
113;29.02955732;0.005505916
114;28.90737446;0.002944284
115;29.2760352;0.006065444
116;29.15302822;0.006939375
117;28.96864829;0.003010628
118;28.76507573;0.005882164
119;29.01730473;0.007245667
120;29.05833038;0.003497864
121;29.00238829;0.003924565
122;28.86520743;0.007944391
123;28.89214904;0.003554255
124;28.80300525;0.003644887
125;28.76838173;0.006754052
126;29.00349374;0.005551789
127;29.0005428;0.002440515
128;29.05772178;0.006553911
129;28.65943417;0.004728616
130;28.76199703;0.002347213
131;28.75698694;0.00460295
132;29.05417605;0.007608743
133;28.62560159;0.002306355
134;27.93214715;0.004796879
135;27.51802009;0.007676386
136;27.21922882;0.00381933
137;27.38677331;0.003569902
138;27.67976548;0.00732235
139;27.82693156;0.005503607
140;26.7517382;0.002644642
141;26.24980248;0.006809601
142;26.31266576;0.003846456
143;26.62400958;0.003759331
144;26.68196961;0.005904002
145;26.27923541;0.006845985
146;25.37704444;0.002374498
147;25.00074365;0.00534943
148;25.08242956;0.006560379
149;25.23490672;0.004791624
150;25.20895342;0.005778874
151;25.46658396;0.006077383
152;24.4773834;0.003161863
153;24.25035291;0.006408201
154;24.22820872;0.005490511
155;24.52717582;0.002934859
156;24.80606779;0.006528358
157;24.62917974;0.003614592
158;24.22020564;0.003620458
159;24.01107563;0.006574822
160;23.16340604;0.003065863
161;23.19691137;0.004709287
162;23.3836012;0.007004222
163;23.17440949;0.002547984
164;22.88786111;0.005489685
165;23.02402889;0.005658165
166;23.34651437;0.004193686
167;23.50175725;0.006782791
168;23.42323722;0.002820321
169;23.5867832;0.00471759
170;23.33090086;0.007136929
171;22.53773531;0.002122654
172;22.41166843;0.00593459
173;22.6789408;0.004817604
174;22.82082441;0.002396924
175;22.50814373;0.005574182
176;22.39202609;0.002617219
177;22.50667987;0.003583198
178;22.37537872;0.006505572
179;22.73936915;0.002547403
180;22.75905834;0.003611378
181;22.64125706;0.006703155
182;22.77029221;0.002248529
183;21.75164542;0.004648734
184;21.73924405;0.006388661
185;21.91153942;0.003049031
186;22.0612358;0.006213264
187;21.6269296;0.003585385
188;21.54871021;0.002749931
189;21.60089676;0.006233075
190;21.67958775;0.00467854
191;21.99159167;0.001970054
192;21.74049577;0.006303024
193;21.59977566;0.005830794
194;21.46101159;0.001810501
195;21.19777268;0.006203478
196;21.51744871;0.004347203
197;21.79772599;0.002652693
198;21.75281742;0.006266664
199;21.34459518;0.006282371
200;21.30498472;0.002533974
201;21.34693483;0.007099987
202;21.79119541;0.003847767
203;22.10159635;0.003042942
204;21.9002928;0.005312611
205;21.81056348;0.005123459
206;21.63370493;0.003092377
207;21.70228872;0.006343547
208;21.74041109;0.005748755
209;22.00504409;0.002318772
210;21.10135073;0.005184982
211;20.65279812;0.005047589
212;20.45734763;0.00167043
213;20.66693418;0.004892408
214;21.03682617;0.006373144
215;20.86782055;0.002300286
216;20.7548969;0.005353592
217;20.61094962;0.004490006
218;20.25813302;0.001791451
219;20.04207749;0.006026233
220;19.4370062;0.003896054
221;19.4421843;0.003692748
222;19.4759302;0.006209432
223;19.35751852;0.003315548
224;19.54842668;0.003904167
225;19.81824656;0.006965434
226;19.86518244;0.003266211
227;19.79289517;0.004470499
228;19.69742779;0.006632079
229;19.44376296;0.001503286
230;19.77167392;0.006868169
231;19.86729997;0.005655772
232;20.21512577;0.002346769
233;19.77782116;0.005421285
234;19.12965839;0.00650617
235;18.79112838;0.002610734
236;18.66101285;0.005887643
237;18.71752615;0.005074338
238;18.7423926;0.00224124
239;18.94963131;0.005800101
240;18.94251615;0.004799715
241;18.78946109;0.002183931
242;18.71429697;0.00536729
243;18.78485755;0.005657268
244;19.13002089;0.002471928
245;18.87521016;0.005326705
246;18.72753676;0.005473621
247;18.47486473;0.003302782
248;18.2535667;0.0050341
249;18.44175782;0.005965853
250;18.50815676;0.002438011
251;18.37990615;0.005050052
252;18.22813165;0.00698749
253;18.09828918;0.002604744
254;18.13665844;0.004703817
255;18.43070326;0.006138983
256;18.51210384;0.002704414
257;18.69522568;0.002963866
258;18.60460597;0.006440959
259;18.55018509;0.003231443
260;18.73526836;0.004371373
261;18.78019493;0.007279809
262;18.84995644;0.003523414
263;17.94212177;0.003206748
264;17.56642822;0.006423799
265;17.47153676;0.005289253
266;17.59054597;0.002802163
267;18.17004333;0.006512678
268;17.97904402;0.002949987
269;17.82174384;0.002865374
270;17.4696004;0.00658123
271;17.60267451;0.004786722
272;17.77039357;0.002036001
273;17.93820686;0.006521581
274;17.6603095;0.003626959
275;17.26641885;0.00224114
276;17.44793945;0.006557229
277;17.38810612;0.003912562
278;18.03506752;0.003997326
279;18.42538418;0.006364608
280;18.39787979;0.002637182
281;18.21616339;0.001792321
282;17.85730962;0.006310737
283;17.94138081;0.002793503
284;18.04378393;0.003298174
285;18.27542309;0.006231069
286;17.85529814;0.00262613
287;17.48991262;0.003517819
288;17.71131624;0.005814073
289;17.38426152;0.00326114
290;17.5970139;0.003444531
291;17.76317966;0.006511407
292;17.57467633;0.002110998
293;17.25989379;0.003584197
294;17.3109607;0.005826417
295;17.48696029;0.003094569
296;17.31555251;0.004748712
297;16.76756379;0.005881015
298;16.38147802;0.002140475
299;16.25401303;0.005512819
300;16.38371367;0.005701283
301;16.21483282;0.001999019
302;16.16461253;0.005929904
303;16.43590168;0.004760502
304;16.0749089;0.001991078
305;16.02272721;0.004387911
306;15.30373125;0.005320457
307;15.08265249;0.002445202
308;15.40713373;0.004398594
309;15.29250165;0.007064323
310;14.88486456;0.001748432
311;15.08170494;0.004627561
312;15.03002808;0.006390872
313;15.08524835;0.003503914
314;15.18924102;0.005283436
315;14.25100468;0.006587218
316;13.98761641;0.001810493
317;13.84947971;0.005017654
318;13.93084299;0.006746239
319;14.03617173;0.003070332
320;14.13976245;0.005544476
321;14.06744597;0.005887207
322;13.96813207;0.003185214
323;13.67205804;0.003524687
324;13.73777312;0.006624315
325;13.77160923;0.002795996
326;14.04935579;0.004796105
327;14.04343104;0.006109983
328;13.69000337;0.003979536
329;13.67295248;0.002910204
330;13.84984029;0.008127344
331;14.20975087;0.004380619
332;14.36359546;0.002649024
333;14.26753403;0.007538072
334;14.12569817;0.005406836
335;13.9724847;0.00448426
336;13.93782625;0.006937835
337;13.91200031;0.00490719
338;14.12417254;0.003155906
339;13.9845681;0.007490261
340;14.03789649;0.004982331
341;13.74401322;0.003676499
342;13.78765829;0.006162305
343;13.87708207;0.005056854
344;14.23894066;0.003502978
345;13.93251973;0.007699047
346;13.89068363;0.004371464
347;13.70870098;0.00286291
348;13.64453665;0.006722618
349;13.99111219;0.003350774
350;14.11471527;0.003413555
351;13.67427742;0.006769688
352;13.31661379;0.005423521
353;13.22331528;0.00374904
354;13.48143992;0.006915988
355;13.88046827;0.00318552
356;13.7245919;0.004103748
357;13.45937985;0.006574288
358;13.22908734;0.00456594
359;13.32999344;0.0033514
360;13.49454371;0.00691031
361;13.70005446;0.005376997
362;13.73369523;0.003342739
363;13.31792959;0.006898296
364;13.28998169;0.00595156
365;13.42169689;0.004826862
366;13.53203775;0.006729042
367;13.92065055;0.005264195
368;13.83165153;0.002315773
369;13.59775218;0.007277895
370;13.56282896;0.005746006
371;13.46941412;0.003083832
372;13.50750532;0.007832945
373;14.00826598;0.0071051
374;13.77919391;0.002943534
375;13.49894683;0.006546619
376;13.40478863;0.006973075
377;13.46426209;0.002993191
378;13.65950138;0.006449628
379;13.85495196;0.005676294
380;13.53131143;0.004319466
381;13.16306622;0.004580819
382;13.15264521;0.007343355
383;13.49585757;0.003049506
384;13.70536138;0.005097035
385;13.81795585;0.006472262
386;13.68799278;0.002545555
387;13.56014841;0.004153464
388;13.35028888;0.006976371
389;13.37251227;0.003532435
390;13.65996624;0.003771391
391;13.88582043;0.008167151
392;13.72674577;0.003547227
393;13.37990858;0.004916164
394;13.37581129;0.006399284
395;13.43325734;0.004124921
396;13.68311743;0.003915795
397;13.36144046;0.007093166
398;13.37112574;0.004638587
399;13.35079263;0.002522167
400;13.15156706;0.00744376
401;12.57162438;0.007964808
402;12.47309271;0.004079897
403;12.68758588;0.005334424
404;12.38585185;0.00734301
405;12.23487166;0.00294374
406;12.26976864;0.005170169
407;12.31073538;0.006218577
408;12.55451246;0.00271366
409;12.38771981;0.004496003
410;12.38993298;0.008369964
411;12.36533424;0.003440373
412;12.16782471;0.003889284
413;12.22216595;0.006025591
414;12.56754054;0.004433332
415;12.44610317;0.003992763
416;12.41326965;0.007127448
417;11.25092721;0.005671077
418;11.05952926;0.00407178
419;11.17084453;0.007500139
420;11.49106932;0.005610517
421;11.37059502;0.003237134
422;10.95458041;0.006432451
423;10.92980405;0.006583813
424;10.93367153;0.002088597
425;11.14699177;0.005694571
426;11.55983441;0.005874815
427;11.60493988;0.003357091
428;11.25156713;0.00433905
429;11.18457404;0.006178212
430;11.27669583;0.002746878
431;11.45545718;0.004306088
432;11.57917676;0.007483089
433;11.37594915;0.003139151
434;11.20580217;0.004497697
435;11.15316236;0.006197652
436;11.29759008;0.003622304
437;10.77854232;0.002872312
438;10.50532016;0.007530222
439;10.41307496;0.004036256
440;10.16414667;0.003129182
441;10.17833364;0.006586802
442;10.30885668;0.00635422
443;10.26890149;0.002589112
444;10.38022096;0.006259586
445;10.11888976;0.004800253
446;9.94716243;0.001985071
447;10.1430084;0.005375869
448;10.1536694;0.006650035
449;9.996039389;0.002173441
450;9.87910168;0.00349109
451;9.69632715;0.006699911
452;9.635377941;0.00447421
453;9.359820376;0.00444429
454;9.464136068;0.007264816
455;9.80068949;0.00433078
456;9.642569906;0.004303313
457;9.39265229;0.007069957
458;9.262009461;0.005142759
459;9.378860432;0.003627693
460;9.572256352;0.006352545
461;10.11744245;0.005671188
462;9.964643775;0.003586374
463;9.842528216;0.005923978
464;9.817938796;0.006886423
465;9.770003336;0.003395566
466;9.842248054;0.003337501
467;10.12213184;0.006125781
468;9.874587634;0.003917422
469;9.629549261;0.003507462
470;9.364074938;0.007364669
471;9.521231751;0.003960052
472;9.7570051;0.003330089
473;10.30074365;0.005624381
474;10.10799412;0.006362723
475;9.73519353;0.002376099
476;9.812743948;0.00532112
477;9.889526866;0.006879696
478;10.1237729;0.00440697
479;10.20882105;0.003290127
480;10.06411343;0.006936829
481;10.17111042;0.005836324
482;10.13380818;0.004141659
483;10.11659328;0.006013289
484;10.30594175;0.006320099
485;10.34285969;0.0018073
486;10.35354136;0.00270942
487;10.13298751;0.005320805
488;10.26381667;0.003775974
489;10.40391675;0.001826771
490;10.68108276;0.005056045
491;10.55831214;0.00567819
492;10.42251165;0.003303839
493;10.44105616;0.003532842
494;10.42461515;0.007097622
495;10.421458;0.004718873
496;10.78629063;0.002645009
497;10.76515332;0.005347563
498;10.70062079;0.006461623
499;10.47136012;0.003302386
500;10.43243796;0.002579752
501;10.63166857;0.005570534
502;10.76596495;0.004412543
503;10.41142851;0.003029807
504;10.29556266;0.005957888
505;10.20096843;0.006990547
506;10.29712025;0.002515672
507;10.42186542;0.00355996
508;10.2651356;0.005365954
509;10.12985606;0.004512236
510;10.14498588;0.001439031
511;10.12647794;0.004708605
512;10.33186447;0.004991773
513;10.66729063;0.003528019
514;10.81178213;0.002873281
515;10.86564258;0.006420616
516;10.6955184;0.004385095
517;10.63760641;0.002996537
518;10.67994137;0.003655457
519;11.06147905;0.00695655
520;11.22842919;0.002748299
521;11.08117013;0.001654547
522;11.02027254;0.004399613
523;10.87895895;0.006033098
524;11.10240863;0.00138005
525;11.31896817;0.0035048
526;11.24610707;0.005612167
527;11.0649898;0.004626279
528;10.88771018;0.000732941
529;11.01554048;0.004214847
530;10.98420557;0.006208106
531;11.19618663;0.003650786
532;11.47823007;0.001729519
533;11.99056947;0.005236846
534;12.04241967;0.004644396
535;12.15752609;0.00306559
536;12.26900739;0.002732953
537;12.49049824;0.007023718
538;12.43928815;0.004805203
539;12.30517526;0.001987717
540;12.12154546;0.003590675
541;12.10575291;0.006549659
542;12.13229142;0.003407931
543;12.43413977;0.002858957
544;12.45041129;0.005024402
545;12.28947348;0.005716578
546;12.42341688;0.001993406
547;12.51672546;0.003178435
548;12.71914841;0.006209576
549;12.9836546;0.005400785
550;12.78897549;0.00131058
551;12.67588269;0.004014294
552;12.48723131;0.005627002
553;12.7224824;0.003603847
554;13.05706113;0.00158226
555;13.2485187;0.005201847
556;13.0048976;0.00510525
557;12.85519333;0.001955775
558;12.78969924;0.001597855
559;12.86349105;0.00624893
560;13.32863762;0.00448766
561;13.47899232;0.002009221
562;13.19086444;0.003315498
563;13.04800729;0.006660398
564;13.10531115;0.002451018
565;13.14002634;0.000996994
566;13.5927349;0.004449796
567;13.66683379;0.006245204
568;13.45185931;0.002533579
569;13.13690182;0.001433871
570;13.18698501;0.004638578
571;13.45147446;0.005917319
572;13.50880971;0.001765581
573;13.46266463;0.003032541
574;13.26619284;0.005138031
575;12.99537428;0.004640525
576;13.03417932;0.000653529
577;13.25334259;0.004037559
578;13.40835734;0.004697022
579;13.52692713;0.002443946
580;13.41816625;0.001540156
581;13.28978293;0.005576508
582;13.15359941;0.004366036
583;13.50450201;0.002495549
584;13.72473128;0.003202044
585;13.6470654;0.006040378
586;13.40172576;0.003696642
587;13.30153542;0.001951572
588;13.51506885;0.002001665
589;13.68304708;0.00547656
590;13.76861775;0.004136298
591;13.76320499;0.001764522
592;13.65013186;0.003215734
593;13.38239457;0.00498498
594;13.57248258;0.002683491
595;13.86771863;0.001592267
596;14.06702329;0.002544284
597;13.89551551;0.005522406
598;13.72750323;0.003122897
599;13.67062469;0.000186383
600;13.88334321;0.000612101
601;14.08531185;0.005351031
602;14.13549062;0.002957404
603;14.04550323;0.00200618
604;13.69353935;0.003916598
605;13.50880507;0.005471467
606;13.81578551;0.001243953
607;14.07714435;-8.80E-05
608;14.06284029;0.003022202
609;14.09950426;0.005670321
610;14.13045123;0.002337266
611;13.92752331;0.001068972
612;14.04816485;0.00345767
613;14.46602148;0.004608073
614;14.40940571;0.000820745
615;14.34763469;0.000379133
616;14.04862936;0.004036476
617;13.92130847;0.004868067
618;14.17968431;0.000143606
619;14.5235956;-9.35E-05
620;14.44942956;0.003670316
621;14.35207682;0.005247176
622;14.22122935;0.00071988
623;14.39672634;0.000869971
624;14.57826685;0.004934817
625;14.66996211;0.003789021
626;14.06080084;0.000973433
627;13.82021314;0.001185954
628;13.49533041;0.004608749
629;13.74911188;0.004716894
630;13.82895719;0.001169635
631;13.95365352;0.000983688
632;13.797983;0.004658764
633;13.71797428;0.003532502
634;14.07928722;0.00061534
635;13.97827027;0.000440819
636;14.2050722;0.004529074
637;14.36726847;0.003819394
638;14.26154732;0.001252893
639;14.06702925;0.000578196
640;14.14382357;0.00387175
641;14.20298702;0.003828756
642;14.43430898;0.000834384
643;14.59328136;-0.001186199
644;14.2484865;0.003650016
645;14.08074332;0.003764758
646;14.05358407;0.001570131
647;14.17176772;-0.000541408
648;14.27242332;0.003471798
649;14.26155408;0.003651576
650;14.14359756;0.000504779
651;13.83176998;-0.001368872
652;13.81690499;0.003410268
653;13.75526131;0.003829768
654;14.0007418;0.001472876
655;14.03138347;-0.001183142
656;13.82815721;0.002689588
657;13.62718051;0.003634399
658;13.67320682;0.000915979
659;13.88516591;-0.000744127
660;14.00420752;0.002340182
661;13.89128172;0.003252554
662;13.79992405;0.000979556
663;13.71624521;-0.000879139
664;13.61499903;0.00222673
665;13.45315177;0.003842659
666;13.15633061;0.001152998
667;13.08222337;-0.00019974
668;13.02343698;0.001749802
669;13.17257636;0.004159601
670;13.3495432;0.001043623
671;13.4101997;-0.000947343
672;13.81220043;0.00159735
673;13.59945959;0.0047558
674;13.26587454;0.000407815
675;13.16214486;-0.000639873
676;12.42325792;0.002126467
677;12.34850219;0.003039193
678;12.4706557;-0.000214763
679;12.30642846;-0.00126354
680;12.21642758;0.001547367
681;12.13533427;0.004368715
682;12.45800736;0.000624116
683;12.81305157;-0.00056765
684;12.88840061;0.001750225
685;12.86816041;0.003881356
686;12.60936431;0.000355229
687;12.51478607;-0.000558913
688;12.85638726;0.001083949
689;13.08927354;0.004587365
690;13.08681564;0.000902908
691;12.97833876;-0.001581138
692;12.62037444;-0.000499504
693;12.59975897;0.003324034
694;12.71357354;0.002197224
695;12.87487708;-0.00030509
696;13.07344585;-0.001010777
697;12.95923574;0.002848159
698;12.66766611;0.003475462
699;12.81618136;-0.000515796
700;12.97263392;-0.00154387
701;13.17658648;0.000943132
702;13.41963491;0.003485048
703;12.98516464;0.001061229
704;12.84097539;-0.001348237
705;12.83310297;-0.001076456
706;12.92077789;0.003576512
707;13.12722574;0.002312954
708;13.03931162;2.00E-05
709;12.79763997;-0.001560225
710;12.72456433;0.002506693
711;12.63232528;0.002626522
712;12.87623991;0.000760106
713;12.51158002;-0.002040779
714;12.29670269;0.000599254
715;12.025494;0.003141778
716;12.09142771;0.002161948
717;11.98373132;-0.000827611
718;12.19175538;-0.000850233
719;12.49579779;0.002841802
720;12.23282261;0.003228272
721;12.10288384;-0.000436335
722;11.88690426;-0.001998801
723;11.9365865;0.001686887
724;12.30541987;0.002620131
725;11.70545514;0.001349932
726;11.1954696;-0.002089108
727;11.00869282;8.09E-05
728;11.07953576;0.002453276
729;11.05670094;0.00236487
730;11.28271793;-0.001842724
731;11.51460063;-0.001039176
732;11.31579489;0.001555667
733;11.17898168;0.003134338
734;11.13759206;-0.000850686
735;11.30251767;-0.002355509
736;11.43313413;0.000460667
737;11.5409697;0.003178817
738;11.42241748;0.001322244
739;11.29209999;-0.001989119
740;11.39209686;-0.00078064
741;11.25658704;0.00291664
742;11.53791741;0.002592058
743;11.61322188;-0.002273775
744;10.635133;-0.00062645
745;10.26796055;0.002646519
746;10.36710749;0.002765845
747;10.29789402;-0.001531187
748;10.46777319;-0.001564904
749;10.65519662;0.001103885
750;10.3346701;0.002937031
751;10.22848029;-0.001592049
752;10.24803662;-0.001670949
753;10.37473758;0.001509152
754;10.63110511;0.003072555
755;10.46694975;-0.000691237
756;10.24009678;-0.001665716
757;9.967377378;0.000696073
758;10.0417133;0.003570545
759;10.2998841;0.001158208
760;10.27392842;-0.00194611
761;10.12591593;-0.0004433
762;10.19857006;0.002710929
763;9.140152258;0.002282772
764;8.870137693;-0.001717322
765;9.100943179;-0.001692
766;9.18557053;0.001589982
767;9.184435936;0.002824133
768;9.099990401;-0.001266954
769;8.940612026;-0.001614151
770;9.038089467;5.71E-05
771;9.444721832;0.003274815
772;9.53732985;0.001129718
773;9.218402186;-0.001763624
774;9.088915688;-0.001879938
775;8.957165757;0.00216219
776;9.004149936;0.001766163
777;9.466978215;-0.000998949
778;9.896463925;-0.002814692
779;9.418798931;0.000676248
780;9.250192155;0.0031733
781;9.380888907;0.00031513
782;9.549547189;-0.002500035
783;9.870657901;-0.000222192
784;9.953144178;0.002076526
785;9.462119052;6.74E-05
786;9.356898746;-0.001665833
