Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane, type PUR B3;;;;Polyurethane thermal insulation board;;;ISO 5660;SURSHIP-FIRE project, VTT Research Report No. VTT-S-11586-09;test date 9.10.2008; Owner SPU Systems Oy, Finland;;1;2009-04-06 13:36:04
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;2;178;14.9;82.2;;14.13;9.3;22.6;1686;1054;0.00884;48;36
VectorData
Time (s);HRR (kW/m2);SPR (m2/s)
0;26.10652722;-0.002139055
1;48.49093897;-0.000643086
2;69.06829204;0.00293334
3;88.69225891;0.012039488
4;107.0050293;0.059303774
5;118.2458061;0.097303897
6;126.6299527;0.167563477
7;131.1946615;0.176929615
8;135.9363693;0.177530234
9;139.2444311;0.163648191
10;140.6607861;0.173375942
11;140.1094601;0.17403223
12;139.6777451;0.187818424
13;139.9668426;0.163080853
14;140.8759361;0.166930255
15;140.5679406;0.152355798
16;140.5894964;0.165445322
17;140.1137729;0.165050355
18;140.7914762;0.161545584
19;141.4355869;0.139812416
20;142.7534244;0.158926397
21;144.1942152;0.169216618
22;144.7006036;0.161662581
23;143.8128192;0.176915634
24;142.3682236;0.170066955
25;141.0962643;0.187950472
26;139.7178357;0.189467369
27;139.6829042;0.13894252
28;139.7181361;0.168838176
29;138.6575904;0.187645597
30;138.9092352;0.175445136
31;139.4925928;0.17415009
32;139.0918764;0.164485097
33;137.8278866;0.150855353
34;135.8011046;0.166875966
35;133.8194529;0.200023077
36;132.563762;0.168481841
37;131.9785779;0.166770877
38;130.9678654;0.155694689
39;130.7810336;0.172420305
40;130.1967752;0.134122909
41;129.0048909;0.141693173
42;128.8248586;0.135762387
43;128.9811519;0.147723752
44;129.0809149;0.14168531
45;128.9484872;0.163551552
46;129.6538662;0.15580689
47;129.8834257;0.154538737
48;129.8521622;0.148280692
49;130.503069;0.158069587
50;130.8024053;0.167124358
51;130.063117;0.130768374
52;128.7688955;0.136857951
53;125.8611198;0.118959237
54;124.2766478;0.138506791
55;122.5060595;0.135286159
56;121.2579787;0.134912086
57;122.1036414;0.115578895
58;123.0631308;0.142642569
59;124.0398142;0.162127193
60;125.7914974;0.13614553
61;127.2190694;0.154795071
62;128.0580497;0.190086585
63;128.3477288;0.178648719
64;129.2351489;0.19212936
65;129.7053723;0.179530399
66;131.403657;0.177779341
67;132.2594113;0.145677867
68;133.5454408;0.143363178
69;134.2520109;0.175022515
70;134.4206239;0.15532286
71;134.0497484;0.140944341
72;134.4278742;0.170281156
73;134.4994396;0.138907834
74;135.9454297;0.142872986
75;136.8808646;0.137447893
76;137.8742663;0.14260353
77;138.7545554;0.129162226
78;139.2136901;0.135711154
79;142.2300337;0.128034894
80;145.2288461;0.130118481
81;148.6694973;0.153696368
82;151.4715375;0.143557268
83;154.9956671;0.151962029
84;158.1965649;0.188917864
85;162.2806745;0.152505351
86;165.9709295;0.133489503
87;168.6361524;0.160370024
88;172.2954007;0.155968827
89;174.3474859;0.119648239
90;176.5852567;0.122131454
91;177.6208118;0.13916127
92;176.7592338;0.11811711
93;171.7087232;0.124828603
94;161.6812623;0.122675323
95;151.0720226;0.101196322
96;142.2568425;0.090728633
97;135.0393067;0.096124604
98;125.8176051;0.093365163
99;117.7684429;0.072455967
100;110.1283856;0.059424025
101;103.1814118;0.048782627
102;96.02964971;0.044097002
103;90.06453305;0.04980682
104;83.41830819;0.045202647
105;76.74750095;0.030720186
106;70.6000305;0.02325743
107;65.20294291;0.023689563
108;61.0800689;0.022019056
109;56.35255719;0.015873614
110;51.775256;0.013630189
111;46.44864013;0.012270411
112;40.79995087;0.010877379
113;36.32493085;0.00784219
114;32.4838107;0.005286473
115;28.82939817;0.00705361
116;25.09752977;0.008365279
117;22.38592423;0.00397288
118;20.37723116;0.001539251
119;18.87834132;0.004407944
120;17.41813262;0.006182236
121;15.81369358;0.003913354
122;14.52425471;0.000474338
123;12.64523026;0.000538558
124;11.53668922;0.004347517
125;10.83353106;0.001592253
126;9.683153643;-0.000684328
127;8.312949737;-0.000949588
128;7.690043784;0.003263802
129;6.453352921;0.00329251
130;5.620469882;0.000165322
131;5.140525559;-0.000752774
132;4.66702392;0.001339133
133;4.74760276;0.002964201
134;4.062945578;0.001331066
135;4.031851872;-0.001846919
136;4.400929468;-0.000447952
137;4.674289276;0.003621259
138;4.499478084;0.002546493
139;4.19105181;-0.000289267
140;4.20318072;-0.002459168
141;3.406074621;0.001441423
142;3.55287846;0.002272172
143;3.817808168;0.001467128
144;4.629636757;-0.003030766
145;4.867573088;-0.001110699
146;4.766476902;0.001424068
147;4.724398157;0.002806078
148;4.800064336;-0.00203512
149;4.159499312;-0.000509439
150;4.237564654;0.002010883
151;4.362884539;0.000818646
152;3.518601342;-0.002706364
153;3.326951339;-0.000607443
154;3.095246891;0.001947779
155;3.413143016;0.001440822
156;2.630692141;-0.001148456
157;2.221437621;-0.00163695
158;1.669679613;0.001726682
159;1.324093674;0.001261869
160;1.382668782;-0.002692203
161;1.620008793;3.59E-05
162;1.67308731;0.002467952
163;1.697503571;-0.000304719
164;0.839821923;-0.002473608
165;0.591373627;0.000284055
166;0.685790393;0.002397497
167;0.922425064;1.20E-05
168;0.758019929;-0.002413171
169;0.703788162;-0.001678949
170;0.537740308;0.00269947
171;0.505812651;0.000690369
