Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane, type PUR B3;;;;Polyurethane thermal insulation board;;;ISO 5660;SURSHIP-FIRE project, VTT Research Report No. VTT-S-11586-09;test date 9.10.2008; Owner SPU Systems Oy, Finland;;1;2009-04-06 13:39:45
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;2;180;16.3;89;;14.0;10.3;22.1;1632;1031;0.00884;48;36
VectorData
Time (s);HRR (kW/m2);SPR (m2/s)
0;25.9852992;0.003625012
1;47.33354557;0.000467729
2;70.40252717;-0.002183772
3;91.1110021;-0.000210799
4;109.0759218;0.028737423
5;123.0685047;0.091204946
6;130.3812427;0.130403576
7;135.9248347;0.168208909
8;138.390937;0.188167305
9;141.0235775;0.159002838
10;143.1540116;0.178871314
11;144.8404087;0.188179417
12;145.3808216;0.18663322
13;147.018288;0.179263637
14;147.1220587;0.178792866
15;146.8667229;0.17760944
16;147.2267652;0.165986401
17;146.9528925;0.169721556
18;146.6725509;0.170596759
19;145.7087548;0.18435302
20;145.1208691;0.183491198
21;144.5125088;0.153923482
22;144.8631705;0.154330421
23;144.8411363;0.162150839
24;143.8669902;0.136247245
25;143.3700266;0.145474452
26;142.2886963;0.156583497
27;141.816732;0.168047887
28;139.996741;0.163821524
29;139.8624159;0.18423147
30;138.5720777;0.187956947
31;137.2294264;0.193169636
32;135.7082646;0.155785139
33;133.0591687;0.164348772
34;131.7619696;0.15618107
35;129.8302945;0.164192333
36;128.0298016;0.143781608
37;128.0230293;0.153755314
38;127.9008881;0.16135319
39;128.8643826;0.129177271
40;129.4082658;0.137802189
41;131.3063347;0.133049136
42;132.9411572;0.145961085
43;133.4950169;0.148673641
44;134.021108;0.149003861
45;134.6615731;0.149086753
46;135.6076345;0.131358764
47;136.5740692;0.142702886
48;136.6721603;0.124396114
49;137.8188587;0.134542806
50;137.5678302;0.155826918
51;137.9481967;0.129572927
52;138.4228357;0.142914722
53;137.8856505;0.121984
54;137.7175129;0.136263802
55;137.8925681;0.154049682
56;137.3989889;0.147432939
57;136.8461172;0.139635954
58;136.6461671;0.132267249
59;136.5363665;0.138217121
60;136.0218547;0.156039861
61;135.7110159;0.139675208
62;135.716612;0.149521836
63;134.6998355;0.145256927
64;133.6793486;0.165172507
65;132.3199605;0.123322322
66;132.2368267;0.13943115
67;132.9486362;0.148827382
68;133.5521985;0.138791477
69;135.819228;0.181155669
70;135.9695877;0.173007979
71;136.6900436;0.159897359
72;138.0420693;0.145490047
73;140.154135;0.195112855
74;141.3856188;0.168950139
75;144.2136292;0.140277609
76;145.2670403;0.144744128
77;146.4528724;0.131880802
78;147.5824966;0.162512052
79;148.9750338;0.149291662
80;151.3815781;0.155973264
81;154.0395111;0.136798149
82;156.5131771;0.135912618
83;158.7132291;0.123661906
84;161.950347;0.143051878
85;164.5776038;0.178307724
86;167.2456554;0.149010101
87;170.2301837;0.138590203
88;173.3313491;0.11611532
89;177.2076839;0.117848454
90;179.1341262;0.130088666
91;180.1200128;0.119852789
92;174.6885124;0.083101718
93;162.7934302;0.108267124
94;151.8075504;0.110597739
95;141.9080779;0.10867744
96;133.0535984;0.079983034
97;125.5179019;0.070145457
98;119.8347809;0.055054623
99;114.0261485;0.071777704
100;106.481221;0.051608233
101;98.87726362;0.039065344
102;92.03239852;0.041791416
103;85.45814041;0.044355593
104;79.60794172;0.035773048
105;74.27937361;0.031503837
106;69.00309167;0.0192556
107;64.05246878;0.018540448
108;58.76375186;0.017998599
109;53.82215646;0.019197419
110;49.26680458;0.009989883
111;44.24717365;0.008429708
112;39.07875991;0.010949433
113;34.63295342;0.009528086
114;31.14510819;0.008096549
115;27.42752728;0.005284715
116;25.24277827;0.005974157
117;23.22167251;0.006974757
118;21.49461182;0.010327969
119;20.76784748;0.006164679
120;20.26831531;0.005662049
121;20.07530964;0.004882881
122;20.26233152;0.006966013
123;20.59248629;0.01046158
124;20.17543696;0.005483603
125;19.90069409;0.002875222
126;19.63079447;0.001448971
127;20.77001838;0.003820392
128;22.17371898;0.004622433
129;22.43347125;0.003437531
130;22.53079165;-0.000752849
131;23.18108707;0.000837986
132;23.53785706;0.003058322
133;23.83076351;0.004760273
134;23.37490532;0.002561326
135;22.97088618;-0.000129689
136;22.91624476;0.000138723
137;22.14923976;0.002076402
138;21.9516022;0.004071061
139;21.0646998;0.00316828
140;21.11965803;0.000778811
141;20.35715945;-0.000550918
142;19.40205153;0.002023905
143;19.31740726;0.004412239
144;20.14721833;0.003072727
145;20.38141422;5.39E-05
146;20.81766628;-0.0016889
147;21.37922498;0.00033086
148;21.37477089;0.002400042
149;21.26299824;0.002764397
150;22.20306125;-0.002011551
151;22.50744279;-0.001458106
152;22.90604711;0.0001698
153;22.08304747;0.003739184
154;21.90931134;0.002935178
