Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Melamine face;Calcium silicate board;;;;;;ISO 5660;EUREFIC;CS000041_EUREFIC4;;1;2003-08-06 09:09:56
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;58;149;13.8;63;NA;15.4;9.0;NA;NA;24;0.01;12.5;1055
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.182; 0.8349; -0.0006; -461.647
3.198; 0.6485; -0.0001; -458.086
5.658; 0.1181; 0.0072; -452.991
7.638; -0.6445; 0.0149; -379.253
9.882; -0.5602; 0.0264; 13.8433
11.88; -0.9513; 0.0437; 101.461
13.878; -1.1935; 0.0687; 195.262
16.338; -1.5074; 0.0957; 281.27
18.342; -0.3667; 0.1465; 328.603
20.34; 0.2413; 0.1744; 349.984
22.362; 2.52; 0.2053; 301.285
24.342; 51.5825; 0.2308; 250.527
26.862; 97.7247; 0.2503; 203.419
28.878; 90.1231; 0.25; 191.095
30.882; 65.6958; 0.2434; 199.895
33.078; 41.4659; 0.2348; 185.071
35.1; 30.9273; 0.222; 165.628
37.602; 24.7616; 0.2101; 150.394
39.6; 20.8494; 0.1965; 137.609
41.58; 18.9827; 0.1919; 129.384
43.578; 18.3348; 0.184; 126.226
45.582; 17.7961; 0.18; 127.036
48.042; 17.7357; 0.1758; 130.571
50.022; 18.3682; 0.1689; 138.774
52.02; 20.0646; 0.1642; 152.72
54.222; 20.4233; 0.1616; 160.502
56.202; 19.1046; 0.1598; 168.156
58.638; 18.9344; 0.1582; 181.58
60.642; 37.3568; 0.1614; 196.768
62.64; 63.3907; 0.1628; 207.48
64.638; 94.3922; 0.1641; 221.586
66.642; 109.526; 0.1667; 231.951
69.12; 118.108; 0.1644; 229.839
71.1; 127.162; 0.1598; 219.561
73.08; 134.803; 0.1568; 196.943
75.078; 141.561; 0.1531; 168.708
77.298; 143.135; 0.141; 138.654
79.74; 147.244; 0.1346; 108.36
81.72; 149.358; 0.1224; 79.4188
83.718; 145.904; 0.116; 57.2145
85.722; 137.971; 0.1031; 40.6941
87.72; 129.369; 0.0978; 28.4584
90.162; 122.873; 0.0935; 20.4987
92.142; 113.927; 0.0825; 14.5174
94.122; 108.088; 0.0784; 11.1106
96.102; 100.104; 0.075; 8.8518
98.1; 96.421; 0.0732; 6.8405
100.782; 91.9234; 0.0653; 5.5416
102.78; 87.1644; 0.071; 4.926
104.76; 83.4748; 0.0645; 4.858
106.74; 78.323; 0.0657; 4.6714
108.72; 76.4071; 0.0649; 4.5382
111.12; 74.2352; 0.0621; 4.0564
113.082; 72.3553; 0.0576; 3.7895
115.098; 71.0372; 0.0586; 3.2691
117.102; 67.6704; 0.0574; 3.1313
119.118; 65.5692; 0.0526; 3.0233
121.86; 63.648; 0.0581; 3.2243
123.858; 60.702; 0.0518; 3.7953
125.838; 59.4042; 0.0558; 4.5879
127.842; 58.3306; 0.0509; 5.3487
129.84; 58.7884; 0.0526; 5.9178
132.24; 57.1077; 0.0522; 6.3584
134.22; 55.074; 0.0517; 6.4114
136.218; 54.155; 0.0522; 6.587
138.222; 53.2957; 0.0521; 6.6917
140.22; 52.2579; 0.0531; 6.8241
142.68; 51.121; 0.048; 7.194
144.918; 50.9247; 0.054; 7.1558
146.922; 51.5884; 0.0469; 7.062
148.92; 50.2533; 0.0539; 7.0699
150.918; 48.5943; 0.0507; 7.2052
153.378; 47.6867; 0.0494; 6.9563
155.358; 47.6246; 0.0463; 7.4063
157.362; 46.8351; 0.0496; 7.7014
159.342; 44.0922; 0.0468; 7.6692
161.322; 44.5239; 0.0444; 7.7953
163.8; 44.4842; 0.0489; 7.8931
165.78; 44.2928; 0.0465; 7.3083
167.958; 43.4048; 0.0445; 6.4613
169.962; 44.6474; 0.043; 5.7933
171.96; 43.6868; 0.0463; 5.0631
174.378; 43.3166; 0.044; 4.4354
176.382; 43.3826; 0.0452; 4.2111
178.38; 42.588; 0.047; 4.3011
180.378; 41.9105; 0.0456; 4.2997
182.4; 41.1253; 0.0447; 4.2118
184.86; 41.6693; 0.0448; 3.7207
186.858; 40.2742; 0.0445; 3.332
189.078; 40.9311; 0.0435; 2.9429
191.058; 39.2849; 0.0439; 2.4207
193.062; 36.6697; 0.0444; 2.2751
195.462; 36.5004; 0.043; 2.5804
197.46; 37.6799; 0.0435; 2.9591
199.458; 37.9274; 0.0445; 3.6558
201.462; 38.0076; 0.0441; 4.496
