Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR EPS;Calcium silicate board;;;;;;ISO 5660;EUREFIC;CDK11313_EUREFIC11;;1;2003-08-06 09:39:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;54;553;22;124;75;NA;31.6;NA;NA;1986;0.01;25;37
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; 2.43837; -0.0310692; 0
5; 2.40512; -0.0177559; 0
10; 2.40371; 0.00739873; 0
15; 2.39913; 0.0429026; 0
20; 2.4043; 0.0192312; 0
25; 7.22714; -0.0162727; 741.07
30; 2.40581; 0.0118347; 1017.12
35; -2.41626; 0.00887604; 1724.26
40; 2.41767; 0.00887604; 1736.32
45; 16.9004; 0.00887604; 1392.57
50; 79.2358; 0.0059171; 1515.98
55; 191.358; 0.0325475; 881.521
60; 398.881; 0.0059171; 19799.9
65; 533.537; 0.00443776; 47995.9
70; 553.053; 0.0281092; 8832.49
75; 521.547; 0.11539; 2441.18
80; 438.025; 0.134623; 2250.41
85; 364.871; 0.0665733; 4166.75
90; 295.557; 0.121309; 2024.86
95; 251.344; 0.124268; 1668.7
100; 215.624; 0.0488195; 3332.93
105; 164.743; 0.085803; 1973.85
110; 123.452; 0.143499; 942.091
115; 99.6984; 0.116871; 695.839
120; 68.0213; 0.0887637; 705.113
125; 41.164; 0.0591749; 747.636
130; 30.0438; 0.0517784; 368.875
135; 15.8312; 0.0562167; 122.447
140; 18.2844; 0.0384626; 81.6404
145; 14.0505; -0.00147934; -1117.95
