Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR particle board;;;;;;;ISO 5660;EUREFIC;Type B1, EUREFIC6;;1;2003-08-06 09:56:54
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;67;75;2.5;14;8.1;NA;4.3;NA;NA;111;0.01;16;628
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; -1.74107; -0.0384694; 0
5; -6.92414; 0.0207143; 0
10; -1.72426; 0.00887756; 0
15; -1.72051; 0.00887756; 0
20; -1.72005; 0.00887807; 0
25; -1.71729; 0.008874; 0
30; -1.72015; 0.008874; 0
35; 3.44475; 0.00739899; 0
40; -6.85785; 0.0192312; 0
45; -1.7174; 0.0177521; 0
50; -1.72489; 0.0162725; 0
55; -1.71618; 0.0266296; 0
60; 18.8061; 0.0384669; 0
65; 44.5775; 0.0236669; 181.417
70; 75.1733; 0.0325455; 92.9785
75; 74.105; 0.0606547; -17.9634
80; 63.2298; 0.103555; -12.714
85; 47.9259; 0.1006; -10.583
90; 43.0884; 0.0769308; -7.52717
95; 28.3847; 0.082844; -3.7392
100; 13.4431; 0.0621338; 17.3541
105; 13.563; 0.0414235; 72.9127
110; 13.5604; 0.0443777; 164.186
115; 8.51032; 0.0473409; 190.495
120; 3.41168; 0.0221919; 331.38
125; 8.51459; 0.0355036; 239.335
130; 3.42063; 0.04882; 181.209
135; 3.40581; 0.023671; 366.157
140; 3.4212; 0.0221919; 416.702
145; 8.59049; 0.0591731; 156.237
150; 3.41898; 0.0458613; 210.347
155; 3.42897; 0.0207128; 445.43
160; 8.54038; 0.0813599; 110.294
165; 3.4188; 0.0443771; 197.395
