Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR Particle board;;;;;;;ISO 5660;EUREFIC;CDK8203_EUREFIC8;;1;2003-08-06 10:10:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;120;69;9.2;40;29;NA;4.4;NA;NA;130;0.01;12;754
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; -4.31893; 0.0340241; 0
5; -4.25158; -0.0133138; 0
10; -4.26487; 0.0192312; 0
15; -4.24984; 0.0251505; 0
20; -4.26137; 0.0429026; 0
25; -4.24593; 0.0769251; 0
30; -4.22966; 0.0606547; 0
35; -4.24908; 0.0606547; 0
40; 0.845123; 0.0710078; 0
45; 0.846951; 0.081365; 0
50; -4.21741; 0.0798894; 0
55; -4.21734; 0.081369; 0
60; 5.90583; 0.0695282; 0
65; 0.838627; 0.0695287; 0
70; 5.86786; 0.0843241; 0
75; 10.9612; 0.0591751; 0
80; 5.87134; 0.0591751; 0
85; 10.9317; 0.082844; 0
90; 5.88144; 0.081369; 0
95; 5.86371; 0.0695323; 0
100; 20.9686; 0.0710073; 0
105; 15.9352; 0.0695328; 0
110; 15.9396; 0.0828446; 0
115; 20.9627; 0.0695282; 0
120; 20.9664; 0.0695328; 214.465
125; 26.0109; 0.081365; 131.074
130; 20.8815; 0.0798859; 130.649
135; 25.8055; 0.081365; 131.063
140; 30.7231; 0.065094; 150.89
145; 30.8148; 0.103559; 86.6443
150; 30.301; 0.090239; -48.412
155; 35.812; 0.0650904; 183.936
160; 25.6135; 0.0932017; 86.9078
165; 15.6548; 0.0769308; 101.627
170; 31.0441; 0.090243; 201.158
175; 30.888; 0.090239; 240.468
180; 40.652; 0.0784068; 158.356
185; 40.2887; 0.081365; 86.6552
190; 40.3835; 0.0665736; 101.379
195; 40.17; 0.090243; 65.6666
200; 45.3215; 0.102076; 59.7357
205; 50.0493; 0.0769272; 69.6019
210; 49.9877; 0.0798854; 58.6289
215; 59.4496; 0.0798899; 48.2181
220; 69.412; 0.0769267; 57.9053
225; 64.1211; 0.103555; 33.6867
230; 64.1669; 0.0769313; 45.153
235; 64.1936; 0.0784063; 38.0565
240; 63.9197; 0.0917185; 30.5145
245; 59.1551; 0.0784068; 30.7952
250; 54.4078; 0.081365; 24.0018
255; 49.7676; 0.0680527; 33.6002
260; 44.8219; 0.0828486; 33.039
265; 40.19; 0.0710073; 65.4026
270; 40.0972; 0.0591751; 95.149
275; 35.2885; 0.0739706; 92.7875
280; 30.4792; 0.0606542; 111.349
285; 20.5986; 0.0636134; 121.539
290; 20.7734; 0.0961578; 92.7334
295; 10.7845; -0.291438; -28.9268
300; 10.7659; -0.0266266; -348.459
305; 15.8458; 0.38464; 31.8465
310; 15.8274; 0.0917196; 141.701
315; 10.8311; 0.0650904; 190.789
320; 10.8494; 0.0636134; 187.237
325; 10.8758; 0.0399434; 283.179
330; 10.8297; 0.0547389; 206.566
335; 15.8756; 0.0547394; 184.677
340; 10.8635; 0.041419; 256.13
345; 15.8497; 0.0562149; 194.643
350; 10.8434; 0.0429026; 258.565
355; 10.848; 0.0443817; 234.931
360; 10.8756; 0.0429026; 235.71
365; 15.8478; 0.0562144; 184.432
370; 15.8168; 0.0443817; 220.505
375; 10.9105; 0.032549; 315.513
380; 10.8896; 0.0443817; 234.026
385; 10.8745; 0.0547353; 196.62
390; 10.8921; 0.0547353; 190.83
395; 15.868; 0.041423; 256.145
400; 15.885; 0.0576981; 161.753
405; 5.87415; 0.0532557; 196.324
410; 15.8953; -0.0162816; -637.019
