Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR Particle board;;;;;;;ISO 5660;EUREFIC;CDK9303_EUREFIC9;;1;2003-08-06 10:19:08
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;25;253;25;143;88;NA;14.1;NA;NA;1044;0.01;79;170
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; 2.15044; -0.0547323; 0
5; 2.13776; -0.0369848; 0
10; 2.12949; 0.0133158; 0
15; 17.483; 0.00887807; -83.6263
20; 93.8049; 0.00295614; 91.7092
25; 132.654; 0.039944; -25.6697
30; 84.671; 0.115392; 578.872
35; 50.5662; 0.124265; 956.817
40; 76.7271; 0.0680532; 487.594
45; 126.895; 0.0384644; 475.805
50; 188.712; 0.0473384; 552.154
55; 238.514; 0.0976379; 594.063
60; 252.582; 0.14202; 898.608
65; 245.607; 0.192319; 976.288
70; 239.335; 0.198238; 1098.5
75; 231.263; 0.186401; 1201.78
80; 218.797; 0.179007; 1114.81
85; 210.179; 0.156817; 1164.12
90; 204.287; 0.159771; 1011.03
95; 204.387; 0.161251; 978.048
100; 205.473; 0.149418; 1122.25
105; 196.083; 0.152377; 1019.73
110; 179.701; 0.14054; 1136.8
115; 181.463; 0.143499; 985.485
120; 176.517; 0.133146; 1141.2
125; 167.079; 0.122788; 1184.46
130; 173.665; 0.127226; 970.992
135; 154.215; 0.105036; 1142.55
140; 149.18; 0.0976374; 1370.53
145; 140.617; 0.0887639; 1170.56
150; 126.817; 0.081365; 1112.06
155; 107.772; 0.0606542; 1309.13
160; 98.9718; 0.0532598; 1330.21
165; 79.8317; 0.0458613; 1333.56
170; 65.4322; 0.0251465; 2243.95
175; 50.7889; 0.016273; 2250.8
