Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric vandalize protected;Foam;;;F1A-1-1;upholstery for passenger seats, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 14:33:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;25;270.80;82.58;;;31.50;29.37;24.89;;1942;;154.74;0.0088;Shrinkage. Glowing. End flame at 493s.;2010-09-09;c_LSFIRE_F1A-1-1_35c;42.0;1.84;40;;;;;;;;;0.85;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.935528975;31.5;0.043607405
3;6.821425662;31.45816908;0.043607405
5;7.233718066;31.26940748;0.043607405
7;7.152509945;31.26633268;0.043607405
9;6.812940582;31.38186745;0.069410424
11;5.831731897;31.22475833;0.088823564
13;4.331643017;31.20895016;0.098750288
15;3.272378571;31.14827291;0.106282494
17;2.935628978;31.15884835;0.139199418
19;2.679771714;31.0765143;0.339494329
21;1.987471143;31.02578112;0.535193209
23;1.092580668;30.99622049;0.527780299
25;-0.128962728;30.98348041;0.590782828
27;26.01453858;30.91273417;0.926416651
29;74.00759738;30.64679796;1.101693224
31;129.5363142;30.51199147;1.272620843
33;171.6575459;30.17586709;1.566138209
35;207.907729;30.02474599;2.039137873
37;222.9647197;29.80337838;2.135834295
39;222.2200446;29.58365453;2.168536483
41;211.9510402;29.23546532;2.118315295
43;197.9067896;29.27811863;2.538348997
45;177.0664872;29.09444986;2.78985992
47;171.0482497;28.96305581;3.246494468
49;169.763666;28.807767;3.716245875
51;165.5840364;28.71102641;4.64351567
53;160.5371541;28.56124911;4.969143508
55;160.3525517;28.41781243;5.199665417
57;155.293087;28.28943484;5.167287832
59;148.6608476;28.1881662;5.355695382
61;146.8398873;28.04996226;5.271934752
63;141.0533267;27.86764401;5.171007122
