Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric vandalize protected;Foam;;;F1A-1-1;upholstery for passenger seats, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 15:03:55
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;13;319.26;80.27;;;32.64;31.49;22.61;;2810;;153.14;0.0088;Shrinkage. Glowing. End flame at 502s.;2010-09-08;c_LSFIRE_F1A-1-1_50b;42.0;1.84;40;;;;;;;;;0.85;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
Time;HRR(t);m(t);SPR(t)
s;kW/m2;g;m2/(m2s)
1;6.553425426;32.64;0.334336074
3;6.100936145;32.45595013;0.340920021
5;5.062559994;32.45595013;0.36347949
7;4.850267849;32.27404943;0.381455155
9;4.123279314;32.3437644;0.557153498
11;-1.190190298;32.30698055;0.720954219
13;-6.55318479;32.22681832;0.881556561
15;20.47778123;32.13204059;1.213790769
17;82.52338701;31.89058177;1.632025423
19;142.3655513;31.52621134;2.008598198
21;186.7532317;31.39826176;2.257811693
23;228.4100357;31.16026077;2.813077438
25;260.8436666;30.73397252;3.378166567
27;282.2118233;30.42327047;4.399208939
29;275.7746095;30.22214758;5.146529522
31;272.674007;29.95232746;6.502920587
33;276.1894742;29.66656319;7.816615372
35;261.6344684;29.55514217;9.000369222
37;253.2716911;29.33850282;9.469231502
39;238.9923609;29.14119579;10.00044748
41;219.5282763;28.86317798;9.953087141
43;206.9673703;28.77566062;9.348850491
45;185.6017445;28.62051703;8.553661466
47;175.2416394;28.37314543;8.105246582
49;165.2331105;28.2223048;7.795261796
51;155.5362796;28.05934203;7.164520873
53;151.2301109;27.95306858;7.041557884
55;143.9456016;27.84140682;6.848844658
57;137.2059419;27.81681887;6.367037018
59;135.690148;27.64061891;5.818886856
61;131.3315189;27.45450899;5.888758642
63;129.9941391;27.29219364;5.737326118
65;129.2579076;27.15656317;5.58964122
67;131.7852369;27.02112939;6.02492662
69;127.3834792;26.85764879;6.132330372
