Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seat, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 15:46:14
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;63;350.06;74.76;;;39.67;33.81;19.56;;1492;;166.34;0.0088;Melting of the surface. Shrinkage. End flame at 549s.;2010-11-04;c_LSFIRE_F1A-2-2_35b;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
Time;HRR(t);m(t);SPR(t)
s;kW/m2;g;m2/(m2s)
1;4.454114139;39.67;0.133060235
3;4.655111109;39.69844466;0.16761998
5;4.89775131;39.92463214;0.210497528
7;4.624987366;39.6452658;0.233565392
9;4.543232177;39.81180679;0.252254507
11;4.19204379;39.73461366;0.241069554
13;3.274186426;39.7388688;0.266154764
15;2.612165848;39.77017516;0.353407222
17;2.270798595;39.66418493;0.514915245
19;1.868052587;39.79407907;0.755091455
21;1.670626289;39.73099976;1.037464466
23;1.963538295;39.71144259;1.321119547
25;1.97440603;39.71116831;1.539865156
27;1.740823246;39.66583974;1.737047682
29;1.840627004;39.58532628;1.778246312
31;1.979628425;39.6203585;1.809456477
33;1.864474708;39.29937071;1.781907533
35;1.601828189;39.4375105;1.84398734
37;1.295823213;39.49562218;1.901361739
39;1.545889719;39.45276109;2.019704579
41;1.285526593;39.45276109;2.149579585
43;1.243607608;39.41207231;2.295168476
45;1.164727528;39.25101485;2.297370217
47;0.895813147;39.19138925;2.30259772
49;1.087458051;39.16588196;2.351954219
51;1.088060199;39.08125585;2.580945498
53;1.383668712;39.02846377;2.741226462
55;1.380702366;39.01867581;2.948769872
57;1.639771998;38.9670714;3.187972413
59;1.178412034;38.88033406;3.466899797
61;-5.507735396;38.90078426;3.724594062
63;-19.92511004;38.76739622;4.287325143
65;-9.605733073;38.71685841;5.403480138
67;36.72942273;38.47858853;6.984078294
69;83.08650289;38.2128394;8.787182748
