Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seat, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:15:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;23;313.55;85.02;;;41.47;38.97;19.32;;1541;;172.18;0.0088;Melting of the surface. Shrinkage. End flame at 904s.;2010-11-03;c_LSFIRE_F1A-2-2_50b;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
1;6.052307634;41.47;0.333343239
3;6.110940742;41.37876074;0.330735378
5;6.232507538;41.42828923;0.328952018
7;6.490246113;41.42828923;0.365165836
9;5.498550313;40.84305053;0.479162526
11;5.079804619;41.29630898;0.698902016
13;4.280265379;41.24184328;1.005326176
15;3.175308558;41.20332355;1.352873968
17;2.6946945;41.19600822;1.757681875
19;2.695462513;41.16941807;2.099063748
21;1.873516602;41.15681108;2.528389072
23;-2.722281785;41.07115166;2.570882674
25;2.359303667;41.00619339;3.327744489
27;23.37526962;40.89549134;4.901680749
29;52.16027442;40.72254223;6.967380778
31;87.13640495;40.47125011;9.891707576
33;126.5723258;40.05824932;13.49931116
35;166.1735662;39.56464856;16.53801111
37;204.2761941;39.36869118;18.38383632
39;233.0164914;38.90608236;19.82424505
41;257.5426398;38.73759324;20.40946677
43;284.9121376;37.87568073;19.69286416
45;312.8245109;37.19428287;18.94250256
47;310.6563997;36.72105924;18.24535524
49;313.5539359;36.28423077;17.16965486
51;304.518671;35.86624313;15.07360592
53;300.356105;35.51854438;13.71404146
55;287.1551224;35.07450041;12.17861295
57;271.6201549;34.68626947;10.48164718
59;267.4587944;34.4167141;8.843507447
61;253.2556604;34.12139706;8.008150676
63;249.7145471;33.8519634;7.130211071
65;245.5367081;33.58771998;6.144804982
67;238.5766324;33.58771998;5.484424514
69;233.120745;33.04813042;5.185644924
71;226.7035794;32.87223629;4.688030319
73;218.9459848;32.61972814;4.474654244
75;210.671641;32.3765905;4.327856092
77;205.474543;32.20990566;4.411603802
79;201.279454;31.95176422;4.094876582
81;199.1634936;31.76129067;3.979659834
83;192.6465193;31.54811258;3.684837304
85;193.2417564;31.38128574;3.405498835
87;187.6124649;31.15511578;2.997426995
89;179.5543063;30.98120742;2.691968403
91;175.8321857;30.77146814;2.408805734
93;177.1646878;30.64317278;2.233748804
95;171.0375534;30.41023411;2.028860126
97;165.6331246;30.22635685;1.707182296
99;164.7511457;30.0646295;1.506375222
101;158.7163989;29.89736814;1.299139292
103;157.9732477;29.81683863;1.086969707
105;151.9777954;29.5630376;0.88103794
107;150.8678734;29.46150213;0.729323838
109;145.3711312;29.35298603;0.604814845
111;137.849147;29.14537131;0.461976221
113;131.8067962;29.05604782;0.355544678
115;126.311945;28.85543615;0.325115156
117;120.6757358;28.52542466;0.297127963
119;114.3348826;28.78340543;0.28337251
121;111.7387277;28.6252813;0.297922642
123;107.5818763;28.4518587;0.300287398
125;106.5719678;28.41758864;0.290775433
127;105.1570039;28.27929448;0.290299486
129;104.0023725;28.24975984;0.300606831
131;104.2998454;28.12327356;0.286774352
133;104.396523;28.04838055;0.323665226
135;105.6168993;27.95517999;0.316793831
137;107.1999305;27.83545442;0.357684794
139;109.6646817;27.73015506;0.345671118
141;109.8159301;27.42153014;0.395216568
143;110.9290478;27.53880179;0.355720977
145;115.3898076;27.45745235;0.388485977
147;115.4781725;27.30323944;0.384306777
149;113.6032614;27.187542;0.415743532
151;118.4640343;27.15587372;0.380760922
153;117.6716742;27.01701159;0.406722857
155;120.3271719;26.9285203;0.436801741
157;119.1889241;26.79288879;0.442148114
159;121.0479917;26.66968117;0.494512069
161;122.5523835;26.63125219;0.515802418
163;120.6185108;26.54275236;0.506222498
165;119.4413277;26.40357795;0.490817241
167;119.7216264;26.34093535;0.531148229
169;118.8243154;26.20536469;0.494997551
171;117.6892373;26.20536469;0.529081761
173;118.2236224;25.96375321;0.575429793
175;121.8046969;25.83986445;0.593520591
177;121.8591251;25.87868739;0.559345026
179;127.6553213;25.64963432;0.593352085
181;127.4924237;25.54594386;0.646562601
183;135.9049354;25.37307643;0.72072753
185;133.7880939;25.34263111;0.844376236
187;140.3457375;25.12101455;1.067635538
189;147.2211123;25.07928609;1.222933053
191;152.1164289;24.86723114;1.343344575
193;153.7808932;24.75697588;1.437952937
195;165.5154615;24.68004959;1.532211894
197;166.9194666;24.78638028;1.575504963
199;171.2384164;24.27111697;1.688070486
201;176.1389158;24.04446978;1.702669042
203;179.2719472;23.90785339;1.775439445
205;184.6330286;23.77553951;1.894834332
207;188.4174008;23.62276629;2.013800565
209;196.354104;23.42253256;2.086200142
211;197.4462929;23.30060822;2.241636305
213;205.5576094;23.10876918;2.410686604
215;204.497639;22.93292683;2.501981301
217;210.8868578;22.71277558;2.578404768
219;216.0444955;22.5160714;2.726204883
221;220.6340714;22.29151888;2.766352695
223;225.2033446;22.38399986;2.906590264
225;230.708127;21.87136878;2.931587423
227;235.5419452;21.66068785;2.964236041
229;235.3208584;21.55044968;2.98824803
231;236.9220765;21.40101544;3.07495042
233;235.0041901;21.17840546;3.001380505
235;238.9349058;20.96331473;3.18149078
237;236.8292306;20.79957598;3.322182648
239;236.2937767;20.60967948;3.465102391
241;240.1262119;20.36405268;3.592144818
243;240.6867165;20.16289492;3.643595619
245;250.4700001;20.07780348;3.568587684
247;251.7303637;19.80634561;3.500671586
249;256.1749229;19.53530412;3.29754701
251;251.4986792;19.38334229;3.157904929
253;246.9738725;19.19096517;3.072311788
255;242.1971382;18.99205369;2.950826365
257;239.7453571;18.81342698;2.789408274
259;236.3819968;18.62268065;2.643906678
261;226.2118072;18.42470974;2.583867952
263;221.4953567;18.33439817;2.499443822
265;215.0398293;18.1203174;2.451337754
267;213.9201394;17.93688641;2.502862341
269;215.2074218;17.80305437;2.534937414
271;212.5144792;17.60424164;2.550354902
273;216.521246;17.46144746;2.58309119
275;210.7077661;17.31285558;2.59445691
277;207.8348216;16.65284008;2.645385448
279;209.4225501;16.94836904;2.778636037
281;211.3179197;16.8336143;2.654003785
283;211.9049902;16.68509075;2.700766473
285;209.011745;16.67527185;2.668600536
287;203.432864;16.40453409;2.631155641
289;204.156131;16.22074704;2.514063217
291;200.2972501;16.05394209;2.716180273
