Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seat, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:18:42
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;7;428.44;93.00;;;39.75;39.17;20.90;;1578;;283.17;0.0088;Melting of the surface. Shrinkage. End flame at 304s.;2010-11-08;c_LSFIRE_F1A-2-2_75a;28.0;2;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
1;8.302739288;39.75;0.207295828
3;10.32206415;39.71;0.260968476
5;11.1383104;39.69002918;0.534235243
7;6.436694867;39.72867019;0.625456153
9;-1.889455888;39.65472191;1.861890549
11;10.40673933;39.69388497;4.359961433
13;57.18286302;39.41471943;7.65476371
15;116.0120073;39.05960208;11.26559362
17;158.5773789;39.05960208;16.37534558
19;219.1584367;38.5756757;20.51500216
21;284.1571967;37.66110701;22.61701693
23;339.3998434;36.98192549;23.80835966
25;371.4800464;36.32965679;23.39566483
27;419.0712425;35.66229813;20.64832902
29;418.7967822;35.05158532;17.80895815
31;399.4925573;34.57691813;15.47597324
33;386.9067794;34.07164466;12.42769729
35;371.6604074;33.70266382;10.55038634
37;350.1556386;33.36213291;9.861627782
39;346.3130958;33.36213291;8.722767086
41;342.1611978;32.6331724;7.699375114
43;323.701832;32.33450099;7.483631479
45;319.9236487;31.99441698;7.058212926
47;308.7292324;31.67605983;6.486487377
49;312.6733991;31.44521183;6.185211491
51;301.1245041;31.14714764;5.760409877
53;294.8383772;30.84496314;5.529539571
55;280.7513447;30.84496314;5.286677741
57;286.8615087;30.33324065;4.813755417
59;275.9087618;29.96848534;4.362087929
61;259.8898409;29.79860441;4.119902654
63;253.5571894;29.60791799;3.594431784
65;248.7352189;29.3359605;3.147080127
67;244.8680348;29.0846011;2.750447231
69;240.7767985;28.78810558;2.397462584
71;227.92985;28.48557938;2.060342261
73;225.2618273;28.40386393;1.797339232
75;217.0298792;28.86919727;1.529965386
77;213.5059764;28.03621177;1.347783572
79;204.3511749;27.84200123;1.188353064
81;204.8117605;27.71543524;1.034560382
