Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:21:30
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;10;439.39;96.43;;;40.20;39.87;21.35;;1377;;293.44;0.0088;Melting of the surface. Shrinkage. End flame at 374s.;2010-11-08;c_LSFIRE_F1A-2-2_75b;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
1;3.441819336;40.2;0.049765625
3;3.694737021;40.2;0.041063461
5;3.946941198;40.09366606;0.208437671
7;2.280007412;40.0583303;0.680584092
9;-1.720308935;40.0583303;1.152284939
11;1.724900418;40.0660503;2.548254794
13;25.51800649;39.93254612;4.976871487
15;66.03978353;39.62449708;9.241458007
17;115.6059528;39.46540216;13.76584756
19;172.530642;38.83977843;19.48860115
21;240.5956366;38.45757535;24.12002905
23;318.8706624;37.64156942;26.88716956
25;380.597655;36.93397106;27.38020151
27;404.3853056;36.21837643;25.56820792
29;437.6714237;35.44870041;23.21993738
31;434.7097323;34.91374186;19.99621433
33;439.3912364;34.64117487;16.99585689
35;430.0931521;33.67783387;13.82467183
37;397.0767138;33.16621592;12.2934121
39;390.0614192;32.71168331;9.985741542
41;371.4835811;32.71168331;8.501254871
43;371.2189476;32.01678694;7.488091293
45;356.0303006;31.65499583;6.946305908
47;346.9195238;31.24355038;6.527480675
49;328.4611989;31.01910146;6.239593189
51;324.4775806;30.77016488;5.976942377
53;308.9748813;30.41900146;5.644176443
55;299.3062756;30.41900146;5.194592172
57;286.2395792;29.7867603;4.699477393
59;280.8291048;29.54846868;3.993310825
61;274.534387;29.25172007;3.532837357
63;267.8358019;29.01160342;3.163528121
65;257.109369;28.71670393;2.95083851
67;249.7059922;28.53177901;2.636319619
69;251.5796088;28.30401718;2.455355432
71;243.4067626;27.98738589;2.085946203
73;243.1946915;27.80199399;1.757167032
75;240.9604586;27.62114739;1.410703108
77;238.929388;27.37690217;1.141290401
79;235.5135333;27.49847821;0.869375071
81;232.2268617;26.87139592;0.811290863
