Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:24:31
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;9;397.03;92.85;;;39.41;39.07;21.97;;1407;;263.65;0.0088;Melting of the surface. Shrinkage. End flame at 346s.;2010-11-09;c_LSFIRE_F1A-2-2_75c;28.0;2;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
1;3.095758326;39.41;0
3;3.535881633;39.41;0
5;4.203069708;39.30629447;0.166477812
7;3.867766355;39.2630937;0.569152665
9;0.20390973;39.32962884;0.935680001
11;5.025644306;39.25323926;2.534057447
13;27.83961755;39.16555681;5.35152515
15;73.99293157;39.16555681;8.792813525
17;126.3044109;39.16555681;13.45210496
19;187.4480196;38.20208377;18.82169797
21;257.6815317;37.62046034;22.88539625
23;313.1444899;36.84351722;24.99214181
25;363.9413269;36.14396908;25.75354155
27;387.2534973;35.49015393;24.10595054
29;390.8551115;34.91331995;21.40863816
31;397.0333905;34.35812613;19.04241877
33;383.884842;34.19485747;16.52829481
35;383.5043651;33.36147468;14.56881353
37;362.5276927;32.68966619;13.50924811
39;359.9888124;32.5693964;12.41479771
41;339.6956261;32.10778646;10.92830651
43;333.1540811;31.65038582;9.971550098
45;331.4190128;31.33317959;8.915886593
47;318.8593657;31.66724743;7.825339354
49;302.5382087;30.74848483;7.087248272
51;291.3205248;30.3835743;6.377603423
53;284.9319163;30.3835743;5.996491361
55;276.5336577;30.3835743;5.604310229
57;265.926966;29.5061103;5.32403047
59;257.0468199;29.24327035;4.791937374
61;255.6726664;29.06260444;4.273039814
63;244.3255589;28.45925746;3.714649642
65;238.038273;28.45925746;3.052000786
67;239.417828;28.27126851;2.396364679
69;233.7301506;28.08482697;1.928038134
71;223.7022786;27.80398276;1.580008388
73;222.3785962;27.75534376;1.197565159
75;221.2331486;27.40380659;1.044939278
77;215.0852407;27.16451883;0.865588524
79;212.0766815;26.70240983;0.766202484
81;209.6746333;26.70240983;0.66376277
83;207.1776269;26.63393407;0.669672608
85;207.8201263;26.17261109;0.625814845
87;199.9774688;26.24456627;0.557386224
89;201.7387263;26.24456627;0.559673227
91;196.9369364;25.92527073;0.549382877
93;198.9113724;25.92527073;0.545650634
95;193.8429439;25.51392903;0.551505894
97;187.2868667;25.40450973;0.567001103
99;187.970061;25.20941826;0.574090178
101;189.4324847;25.20941826;0.593860291
103;190.6412168;24.72469386;0.566217104
105;190.4495501;24.72469386;0.644703098
107;199.3787885;24.59805164;0.714445495
109;199.0345572;24.39421823;0.800115117
111;196.69172;24.27588856;0.836397054
113;202.1066741;24.04526268;0.949607133
115;205.2806642;23.81807151;1.018478526
117;206.5851295;23.76706767;1.151568917
119;210.2946807;23.76706767;1.287019739
121;210.5370306;23.37477723;1.460514599
123;206.4988676;23.08735369;1.578362271
125;210.1739205;23.00921999;1.641752794
127;214.4735043;22.82309453;1.633268417
129;210.2749184;22.82309453;1.654205039
131;212.4966002;22.42597356;1.620317456
133;216.6905857;22.42597356;1.666073075
135;217.3859066;22.42597356;1.712189959
137;212.0258157;21.98913281;1.751914682
139;211.31737;21.82183869;1.744731172
141;213.6496029;21.57366187;1.817763548
143;213.933413;21.44542005;1.823850199
145;214.5659329;21.33804068;1.968477394
147;214.6175124;21.10800692;2.104267055
149;214.6201393;20.92212631;2.239117077
151;215.3745097;20.71496528;2.382305274
153;222.8100249;20.53705878;2.553009425
155;223.8419708;20.3745666;2.65956753
157;230.2414461;20.3745666;2.955928183
159;235.8729518;19.81109767;3.14220233
161;246.9915972;18.8442284;3.424107355
163;248.2049569;19.5650793;3.584091963
165;265.0191082;19.34251643;3.752264388
167;272.6320672;19.10840334;3.627770542
169;292.0201091;18.89059198;3.687022569
171;300.5052688;18.59765794;3.687913822
173;320.2392585;18.59765794;3.719214932
175;333.4618219;18.04787688;3.758855972
177;342.0272809;17.59539009;3.875539967
179;353.400107;17.44521284;4.015864415
181;357.8625685;17.20592545;4.035439744
183;368.9274382;17.19328544;4.218160647
185;372.7086976;16.84260083;4.145348453
187;380.4729804;16.63713935;4.329257529
189;389.1844681;15.89651532;4.361013033
191;378.8434502;15.7315183;4.420131029
193;380.6371162;14.96466543;4.505107955
195;373.8273042;15.14405374;4.675050978
197;376.49236;14.84973012;4.671771583
199;381.062056;14.84973012;4.701461935
201;387.1891125;14.46248231;4.669645039
203;388.820231;14.02389431;4.61882012
205;388.9097496;13.66958057;4.765493407
207;392.981718;13.37576017;4.807739818
209;390.6897811;13.05092034;4.770734264
211;392.0279843;12.74095833;4.949184711
213;384.8722704;12.50522739;5.039285245
215;380.188423;11.99431006;4.926182303
217;378.5734279;11.69432066;5.026101176
219;372.2844591;11.73465415;5.158458264
221;352.8953229;11.47853181;5.158935198
223;344.3009118;11.18442341;5.163643153
225;328.0360603;10.97744902;5.182843415
227;320.6394202;10.61411853;5.105214117
229;306.5686062;10.48966213;5.108760444
231;315.4478847;10.26199425;5.022569971
233;303.2946287;9.95089427;4.93833902
235;298.3372198;9.95089427;5.036797883
237;298.7366554;9.95089427;4.927021001
239;285.0854594;9.95089427;4.826840138
241;296.4263062;9.21516762;4.857483145
243;285.5883297;8.98713791;4.851761099
245;284.7061419;8.77231574;4.831807072
247;280.3057082;8.77231574;4.971753407
249;271.9698398;8.44525974;4.934085832
251;275.1170661;8.44525974;4.904543764
253;272.4069346;8.06636606;4.917618765
255;257.6354993;8.06636606;4.745912842
257;254.7802962;7.73806084;4.596746702
259;248.4943289;7.52091802;4.508106346
261;241.1205213;7.52091802;4.250097222
263;228.0707739;7.52091802;3.929715718
265;222.0409173;7.52091802;3.750361799
267;211.3394986;6.9013132;3.427083966
269;203.4802355;6.9013132;3.131849978
271;196.352294;6.9013132;2.942685015
273;190.4707127;6.60696047;2.769641359
275;185.752437;6.47058234;2.475624176
277;177.2535935;6.29717677;2.307238034
279;171.4844661;6.19378991;2.155214948
281;165.6121615;6.11326902;2.007741169
283;160.7387974;6.07145368;1.761582765
285;153.8507581;6.05166891;1.627171745
287;149.5966605;5.93604353;1.42013631
289;141.5559907;5.83706143;1.219001487
291;137.5339025;5.683005;1.021860076
293;130.9221678;5.63201675;0.915879519
295;120.8317577;5.63201675;0.811284778
297;119.5047669;5.94548209;0.753565055
299;110.1729106;5.4630539;0.687532831
301;106.9538616;5.42236197;0.577952642
303;103.1534672;5.34244776;0.492721941
305;97.06293292;5.27986407;0.372297158
307;93.30930813;5.27169761;0.294421769
309;86.95803544;4.64288402;0.233335885
311;82.89652124;5.22637895;0.196172367
313;78.7031809;5.19885608;0.141352062
315;75.93887046;5.32845057;0.093027026
317;69.68252534;5.08487917;0.046676382
319;66.33270248;5.07444353;0.033441491
321;62.76646859;5.09731783;0.016521108
323;60.31102452;5.09731783;0.016521108
325;57.73230511;5.12580868;0.016521108
327;53.92515451;4.86867573;0.016521108
329;51.68759458;4.35576928;-6.7224E-15
331;47.24798903;4.91821513;0.022270987
333;45.56757353;4.88717438;0.023533226
335;42.11159357;4.91732825;0.023533226
337;40.31146744;4.91732825;0.023533226
339;37.81947448;4.51601931;0.023533226
341;36.7646675;4.8438291;0.017917104
343;35.10936666;4.55129587;0.036352686
345;33.78401607;4.55129587;0.036352686
347;32.01092463;4.81155524;0.036352686
349;32.6417083;4.70325415;0.036352686
351;31.19881509;4.70325415;0.019697821
353;31.7281142;4.70325415;0.001435875
355;30.63840145;4.704703;0.036165997
357;30.34667401;4.704703;0.041940537
359;30.86377457;4.74008197;0.041940537
361;30.4477093;4.68328535;0.043667125
363;30.96839595;4.68328535;0.04223125
365;31.10689423;4.63450078;0.011082298
367;30.54380658;4.66476539;0.024046143
369;31.06420369;4.66476539;0.024046143
371;30.35297039;4.66476539;0.022319556
373;31.10122134;4.40629537;0.033270227
375;31.18494681;5.05306643;0.044607316
377;30.52398207;4.6173179;0.039716451
379;30.68344017;4.6173179;0.067445713
381;31.03456511;4.6173179;0.067445713
383;31.50179722;4.54075989;0.056495042
385;32.11999737;4.5275976;0.053992047
387;31.71888559;4.51562473;0.064219818
