Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminium plate 2mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-10 08:17:38
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;116;225.9;9.67;;;56.79;5.06;18.78;;737.44;;36.47;0.0088;End flame at 173s.;2010-11-23;c_LSFIRE_IN1-8-1_35a;5.0;2;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.53503382;56.79;0.178923352
3;3.678086118;56.75706723;0.204641529
5;3.78501291;56.67769161;0.228474004
7;4.623641202;56.67769161;0.265019418
9;5.573486549;56.67769161;0.262449343
11;6.154894807;56.82247956;0.257382179
13;5.513005545;56.81920316;0.268766691
15;4.455583107;56.81240928;0.276710528
17;3.402904102;56.7659193;0.264428966
19;2.743070626;56.79036964;0.254661449
21;2.762000354;57.35307996;0.246318826
23;2.512424227;57.35307996;0.217344403
25;2.022743636;56.77625422;0.192448662
27;2.008917019;56.69913341;0.183337619
29;2.03445641;56.75819222;0.183635841
31;2.010885846;56.73516044;0.182393959
33;2.015793306;56.74197146;0.1993244
35;2.019624155;56.74034343;0.233082477
37;2.021703728;56.74555321;0.258835475
39;2.012494965;56.39316157;0.279982862
41;1.975611376;56.78945733;0.317758465
43;1.995957776;56.79602084;0.339610352
45;1.997047347;56.56872338;0.3429534
47;1.962276851;56.74700606;0.323543313
49;2.006173441;56.74700606;0.307655993
51;2.014564842;56.72842228;0.301226047
53;2.00785666;56.77300996;0.272672395
55;2.010807333;56.76263808;0.265203325
57;2.017734469;56.76263808;0.274305239
59;2.015818327;56.76263808;0.300169945
61;2.030993038;56.76140648;0.29472601
63;1.975462288;56.7300578;0.342652456
65;2.008763992;56.7244216;0.394415866
67;1.99369273;56.72299339;0.451291981
69;1.994279533;56.70777816;0.511739456
71;1.998737214;56.76914802;0.606521399
73;1.978272517;56.68124283;0.670124431
75;2.015385445;56.73408634;0.711538839
77;1.976841697;56.74695624;0.733193995
79;1.990056008;56.73335563;0.769568736
81;1.992047193;56.72997369;0.799628975
83;2.010725808;56.71547256;0.828552574
85;1.97599968;56.67493646;0.914174771
87;2.005084141;56.66980489;1.03502716
89;1.992317935;56.66980489;1.087197295
91;2.005955549;56.68347032;1.159065101
93;2.011480098;56.63748497;1.281288329
95;2.007034213;56.63748497;1.407291011
97;2.0064168;56.63748497;1.529716695
99;2.012769997;56.56402038;1.637690253
101;2.019831476;56.63029896;1.796643664
103;2.002174346;56.62742219;1.873816145
105;1.976855655;56.52519426;1.919973814
107;1.993450529;56.58458789;1.926137086
109;2.024789059;56.56097755;2.121555799
111;2.01300681;56.53415455;2.058506633
113;1.177558845;55.59893774;2.159813353
115;-2.65046754;56.50377122;2.066544919
117;-7.942886534;56.50377122;4.395872723
119;12.3726834;56.39332174;7.008602808
121;67.71865847;56.16948068;9.69254545
123;116.9813764;55.85888834;12.71671956
125;164.2136425;55.51435717;16.15146349
127;195.0712063;55.70333262;17.34295486
129;217.2311714;54.84258219;17.64659198
131;225.8977779;54.49736798;17.57703557
133;215.4410444;54.02922709;16.84285091
135;200.6189445;53.9388062;15.38281797
137;175.6290775;53.64964816;13.42311317
139;160.5034113;53.71521317;11.80897328
141;146.4184593;53.3188917;9.938518322
143;132.4774685;53.18857917;8.130263535
145;120.4164364;53.0225005;6.488863775
147;111.420355;52.97981887;5.158492857
149;102.3546341;52.84150659;3.656977391
151;93.04902719;52.83844715;2.934819736
153;83.3423568;52.78914147;2.207638989
155;74.46079737;52.7600776;1.721382434
157;66.53346129;53.05534595;1.220634005
159;59.34868434;52.60007923;0.980042634
161;53.47587099;52.80553634;0.666912078
163;46.39053424;52.71738312;0.474991821
165;41.59846647;52.68555123;0.369382389
167;36.75958123;52.8797536;0.288711738
169;33.02722359;52.01348964;0.24573108
171;29.14251378;52.63286415;0.27377911
173;26.18630824;52.56474862;0.288202048
175;22.4734326;52.56474862;0.299790875
177;19.88629363;52.64541584;0.326282252
179;17.74458984;52.60101512;0.346257505
181;16.48352673;52.61658285;0.321224232
183;15.35992711;52.63180237;0.315156481
185;14.29482515;52.60068459;0.28427701
187;13.57008445;52.62923471;0.276988017
189;12.84998538;52.59639301;0.260408194
191;11.9394515;52.55410782;0.220000049
193;11.54451751;52.51530795;0.18343128
195;10.72924799;52.51224851;0.169542959
197;9.781449207;52.51224851;0.148498413
199;9.532471304;52.51224851;0.120314943
201;9.17300163;52.53921883;0.130501519
203;8.620678045;52.50065039;0.15105052
205;8.35935526;52.54811483;0.185489236
207;8.133535303;52.47495077;0.205746776
209;7.842495073;52.57443694;0.242893468
211;7.519873957;52.48887334;0.27019896
213;7.630527172;52.57271302;0.285611028
215;7.367340776;52.46829618;0.265798476
217;7.086874986;52.52349895;0.2511391
219;6.97522007;52.66957957;0.235716291
221;6.619354374;52.63227701;0.199096021
223;6.361622364;52.62795831;0.166692145
225;6.15212294;52.62795831;0.151536192
227;5.883728442;52.61807875;0.148720439
229;5.961470625;52.68406652;0.154714217
231;6.162669183;52.68731907;0.176118418
233;6.178267686;52.68697382;0.212538488
