Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminium plate 2mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-10 08:20:48
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;114;219.84;9.47;;;56.81;4.90;16.76;;696.55;;37.74;0.0088;End flame at 187s.;2010-11-23;c_LSFIRE_IN1-8-1_35b;5.0;2;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.903242904;56.81;0.145897892
3;6.171295341;56.02385468;0.149833873
5;8.138894862;56.77248101;0.141752663
7;8.735411923;56.94674855;0.135032165
9;8.490415453;56.85980389;0.136367186
11;7.791322966;56.80219631;0.158881482
13;6.985363128;56.79052855;0.18504512
15;5.567938798;56.77173209;0.210381107
17;4.079610492;56.76967818;0.231306603
19;3.029334994;56.76967818;0.221877372
21;2.343074496;56.78977641;0.210199298
23;1.907941885;56.78332325;0.177723505
25;1.570311305;56.74691372;0.171453206
27;1.482034727;56.70641404;0.171394371
29;1.396119065;56.70641404;0.215842075
31;1.382031683;56.75204421;0.23147729
33;1.167749894;56.80878608;0.262872027
35;1.146314606;56.8190701;0.267153391
37;1.17611139;56.8190701;0.267359553
39;1.154863687;56.77626795;0.231795112
41;1.182151193;56.75649703;0.224383013
43;1.167456633;56.75121386;0.226989482
45;1.164691034;56.7575197;0.237334411
47;1.17640507;56.7575197;0.255406787
49;1.162184462;56.79333299;0.293554125
51;1.176105867;56.84582239;0.309809126
53;1.170437859;56.84582239;0.316805833
55;1.16444356;56.78873767;0.325413123
57;1.18723954;56.79778527;0.319709117
59;1.181161313;56.76696856;0.317608152
61;1.182741414;56.73913735;0.336687094
63;1.149263482;56.8468456;0.361566292
65;1.161515411;56.84629703;0.41542634
67;1.157670864;56.69008989;0.456748542
69;1.164476364;56.76733445;0.505695865
71;1.167966474;56.76733445;0.535328466
73;1.179367;56.76733445;0.564750286
75;1.152353713;56.78392431;0.585730657
77;1.182202567;56.74963941;0.657868298
79;1.156303625;56.72685727;0.751570151
81;1.185141661;56.76547285;0.828278606
83;1.160584193;56.71303113;0.914937589
85;1.152324363;56.79365227;0.989292704
87;1.164540348;56.83195821;1.066072719
89;1.258934514;56.75445759;1.077654898
91;1.173655437;56.7109065;1.116852254
93;1.169932292;56.70422245;1.180144177
95;1.158763969;56.75033208;1.333288413
97;1.168043985;56.69394325;1.43488286
99;1.157899959;56.69394325;1.550729969
101;1.17086794;56.7594279;1.727614053
103;1.149357256;56.72645334;1.764195464
105;1.188158228;56.62701807;1.736944426
107;1.143809508;56.69031006;1.791669607
109;1.175142495;56.81198373;1.835945194
111;0.196934417;56.56677319;1.950202931
113;-2.922138069;56.59484815;1.831004015
115;-11.6147281;56.64487007;3.453408754
117;-3.387192691;56.57914649;5.903337171
119;44.36587777;56.5986608;8.853590561
121;100.9321449;56.24330989;12.62028991
123;156.5076495;55.90406135;15.68741894
125;207.7444949;55.34254674;17.45371829
127;219.7238674;55.13173521;18.11047339
129;219.8428322;54.90449078;17.61844196
131;212.8342647;54.67828187;15.89699774
133;196.8474287;54.50542861;14.8786192
135;179.5819004;54.50542861;12.82408893
137;162.5952531;54.09899401;11.02076776
