Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminium plate 2mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-10 08:23:01
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;106;221.81;7.95;;;56.49;4.94;13.94;;828.22;;36.98;0.0088;End flame at 194s.;2010-11-23;c_LSFIRE_IN1-8-1_35c;5.0;2;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.481229589;56.49;0.195429259
3;4.655302257;56.47012953;0.212382072
5;4.431775728;56.56806775;0.245057947
7;4.035037335;56.5084448;0.283012085
9;4.088090226;56.58481025;0.287465995
11;4.159396559;56.60229643;0.294934059
13;4.39594106;56.46249135;0.285117292
15;3.824810374;56.42566777;0.270758499
17;2.831420388;56.31636772;0.25434371
19;2.001959555;56.43279748;0.282736155
21;1.293499051;56.15680544;0.297185436
23;0.881085992;56.15680544;0.318637132
25;0.427421437;56.4441868;0.326030856
27;0.283846469;56.43911652;0.318644573
29;0.560702876;56.31424851;0.286814764
31;0.821425478;56.39750028;0.266766022
33;0.849762205;56.42797687;0.269886784
35;0.921530039;56.39811527;0.288921178
37;0.548656412;56.57491985;0.3117211
39;0.791785355;56.40646242;0.320104805
41;0.638873195;56.36696827;0.323095063
43;0.402674002;56.3793567;0.32512516
45;0.132198489;56.41246433;0.327918049
47;-0.009121565;56.41835732;0.331025771
49;-0.009189305;56.41835732;0.356162147
51;-0.009596311;56.43556878;0.367658947
53;-0.009441133;56.42033049;0.370585612
55;0.0128125;56.37499878;0.366386589
57;0.180828625;56.36478786;0.380352363
59;0.113156681;56.37280631;0.392988821
61;0.178221741;56.37280631;0.432033766
63;-0.009431384;56.38681463;0.465167136
65;-0.00898258;56.35739114;0.490235425
67;0.001423615;56.30201624;0.504788759
69;-0.009303799;56.283102;0.526042147
71;0.009185254;56.283102;0.559016965
73;0.294285545;56.35315852;0.602587039
75;-0.009586762;56.35315852;0.700206517
77;-0.009351364;56.34496367;0.770876275
79;-0.00916631;56.35051543;0.802867324
81;-0.009522613;56.24870945;0.861519366
83;-0.009080902;56.26255341;0.939579485
85;-0.009572493;56.2620994;0.936540528
87;-0.009763576;56.30976093;1.037416073
89;-0.009522537;56.31154228;1.182353
91;0.001615867;56.57788634;1.268876902
93;-0.009561062;56.17765766;1.333762365
95;-0.00898041;56.38123926;1.43367284
97;0.278818193;56.26081111;1.487757123
99;0.166775908;55.66608781;1.515525458
101;0.043011045;56.10030226;1.657972599
103;-0.36409263;56.42770985;1.777215762
105;-2.257504576;56.27894312;1.615082104
107;-9.786298458;56.21000138;2.412249855
109;-6.370637451;56.09576793;4.675271779
111;22.52151746;56.06489517;7.39986595
113;70.23816828;55.76388094;10.66482354
115;114.5034843;55.69528043;14.00532837
117;147.7771891;55.22823211;16.78001407
119;182.7549561;54.98965551;18.76332905
121;205.6236306;54.6275734;19.35621506
123;221.8095501;54.26573036;18.95051379
125;217.7504672;54.0809348;18.11661275
127;202.2605;53.84973853;16.33096174
129;183.0964323;53.66460222;13.66871105
131;164.5946245;53.48997806;11.59241731
133;146.9008181;53.28827226;9.428896222
135;134.5022603;53.18356437;7.791086418
137;120.3328148;53.14311111;6.270112319
139;108.906572;53.06728691;4.934478404
141;101.5878827;52.95042241;3.645939963
143;91.05422847;52.88767537;2.933206264
145;83.06524399;52.82719886;2.249935672
147;77.64754957;52.76137061;1.941330467
149;67.09895727;52.80014037;1.602167884
151;60.50056181;52.74665285;1.387044511
153;54.35764387;52.78777942;1.137962018
155;49.53987916;52.69299325;0.90662087
157;44.29164754;52.66155708;0.72800463
159;40.00628919;52.63815141;0.595875147
161;36.26743791;52.65821369;0.5396709
163;32.10554599;52.64874211;0.49123776
165;28.88285954;52.65504573;0.481705403
167;26.65399056;52.63031273;0.43047656
169;24.2446327;52.56330222;0.399361446
171;22.35258122;52.54693998;0.360558737
173;20.62242166;52.5688776;0.328559134
175;18.6867347;52.58499306;0.306813534
177;17.22910055;52.5997812;0.320192844
179;15.81347264;52.56317642;0.300101479
181;14.74702243;52.52706952;0.278804959
183;14.23651948;52.47011715;0.277555383
185;13.01880695;52.47748977;0.285579075
187;12.33518885;52.53599263;0.291016183
189;11.57395026;52.53980208;0.309935016
191;11.197469;52.5138203;0.311911459
193;10.63540573;52.50821746;0.320887501
195;9.933495043;52.48156575;0.327229105
