Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminum plate 2 mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-10 08:53:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;49;172.36;9.91;;;56.72;5.00;17.19;;650.37;;62.67;0.0088;Flashing from 46s. End flame at 125s.;2010-11-24;c_LSFIRE_IN1-8-1_50a;5.0;2;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.147581648;56.72;0.03233309
3;9.492901704;56.62345755;0.03073839
5;8.639901864;56.61187279;0.041958744
7;7.72795005;56.63028159;0.09755441
9;7.053676723;56.64516942;0.183455335
11;6.546729987;56.7304293;0.272685804
13;5.586375869;56.77836129;0.38008751
15;4.57897982;56.77836129;0.467407058
17;3.767627941;56.67213234;0.503401123
19;3.227012436;56.6243552;0.496607236
21;2.74284799;56.63077856;0.503179272
23;2.660528952;56.59015293;0.536635364
25;2.61287607;56.56451586;0.56416615
27;2.503645346;56.60177451;0.607320931
29;2.332704668;56.61406301;0.750039445
31;1.972023872;56.61510843;0.832569446
33;1.560414766;56.63539595;0.942275172
35;1.91358549;56.59191939;1.020924257
37;1.916556243;56.55419572;1.082679464
39;1.523786472;56.54029205;1.093453554
41;1.360473088;56.48758026;1.209281458
43;1.498464622;56.47785427;1.261572537
45;1.858384068;56.51400227;1.447468779
47;0.363860073;56.47140872;1.648012806
49;-4.941973226;56.49808011;2.611821499
51;-3.006733869;56.38616793;4.455762029
53;23.30793154;56.391809;6.735485035
55;63.95767445;56.24429593;8.79898339
57;100.5996963;56.10673603;10.76802457
59;118.903674;56.10673603;12.31074305
61;137.5024652;55.58563185;12.95502738
63;156.5538105;55.58563185;13.4275362
65;165.4812698;55.58563185;13.96721224
67;172.3558158;55.05109569;14.71837238
69;168.7954786;54.86739822;14.90723344
71;167.3520231;54.62040479;14.58147994
73;165.6894107;54.67331892;14.12060124
75;158.0580675;54.18827623;13.27821453
77;154.3266554;54.11016521;12.3298508
79;146.0694289;54.11016521;11.22731809
81;138.3125635;53.84723586;10.75145728
83;129.0529191;53.72026234;10.13739121
85;126.2567506;53.60754569;9.332360508
87;121.9096889;53.45250261;8.433049806
89;116.9569838;53.33809893;7.685351749
91;111.5991197;53.21302899;6.419777134
93;103.9554073;53.17651668;4.929743929
95;96.28683564;53.1779295;4.010133338
97;87.91228522;53.0969671;3.000378399
99;80.21272581;53.09843095;2.086672924
101;72.4208687;53.06159028;1.477723364
103;64.74752463;53.35231231;1.043242554
