Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminum plate 2 mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-10 09:01:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;9;163.43;9.54;;;57.05;5.08;16.67;;947.97;;99.64;0.0088;End flame at 84s.;2010-11-22;c_LSFIRE_IN1-8-1_75a;5.0;2;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.411373787;57.05;0.273838826
3;4.041551442;57.05;0.410062693
5;3.652669612;56.96736953;0.749075618
7;0.786854339;56.86506439;1.441556399
9;-2.420764807;56.86106839;2.699154277
11;0.568042713;56.6337669;5.623412345
13;36.44622661;56.68894197;8.815893101
15;85.81808548;56.52034541;11.62771703
17;123.9024002;56.33534554;13.85113648
19;146.2529807;56.33534554;15.38387668
21;163.429028;55.98188234;14.52530209
23;160.058828;55.77316132;13.14676849
25;148.9308707;55.75181447;11.83085479
27;140.9624945;55.71787661;10.82682477
29;132.5065922;55.57901825;10.05908892
31;129.2137842;55.43346213;10.38255767
33;129.2144161;55.34342016;10.99768705
35;128.0909705;55.33869264;11.20085249
37;127.6329848;55.04849454;11.43533236
39;125.0524488;54.97465912;11.81970094
41;122.2967873;54.73034622;11.58990428
43;123.3939713;54.71958131;11.35508527
45;119.696534;54.66631982;11.60497307
47;116.33187;54.54322546;11.68632097
49;118.3862074;54.43640843;11.54322622
51;115.5017308;54.33036685;11.01837475
53;115.7273904;54.25255577;10.11625247
55;111.8446768;54.16234608;9.268781028
57;107.0100097;54.08000205;8.087313859
59;103.9486079;54.00496025;6.81248838
61;98.30231262;53.99763153;5.816354082
63;90.85495599;53.9227313;4.910960483
65;83.78993719;53.87144041;3.722075312
67;73.50778881;53.87444567;2.864243391
69;63.19292645;53.86108537;1.949887929
71;54.04080531;53.81746555;1.312175367
73;46.10416307;53.8375737;0.806462432
75;40.76464078;53.8366563;0.564729924
77;36.11254968;53.79309565;0.363021254
79;32.61728231;53.78076167;0.264099592
81;30.32023911;53.775621;0.230726246
83;28.8489669;53.80197565;0.238650239
85;26.66137202;53.75022769;0.256991927
87;25.75712646;53.9312548;0.293394887
89;24.91633054;53.76364971;0.316504981
91;24.59069866;53.47042928;0.309448481
93;24.4776766;53.47898799;0.269340606
95;24.52207313;53.69951766;0.236209207
97;23.19164941;53.6443542;0.210121737
99;23.00330623;53.63591058;0.209396293
101;22.42434324;53.70888159;0.223567698
103;22.57159692;53.63756496;0.258214246
105;22.58063569;53.62421083;0.285639189
107;22.03919903;53.636763;0.298883094
109;22.24431542;53.61245192;0.289976615
111;21.95280962;53.62194872;0.289953428
113;21.2927624;53.61091552;0.272038707
115;21.34516433;53.60999521;0.269033401
117;20.82994458;53.63388154;0.247038211
119;20.14024539;53.54142426;0.211410407
121;20.22900228;53.54817539;0.223879579
123;19.40924443;53.47586764;0.228060743
125;19.13180769;53.47586764;0.235396609
127;18.66353754;53.54197609;0.270512973
129;18.61663276;53.55720024;0.335978453
131;18.70067985;53.34776875;0.333548798
133;18.60317414;53.34776875;0.314310779
135;18.34942573;53.46298838;0.265466915
137;17.60155591;53.47162696;0.235352182
139;17.5828878;53.4856567;0.193250819
141;17.20489139;53.41858112;0.169853462
143;16.82110963;53.43072014;0.187255089
145;16.96101486;53.43166115;0.229476917
147;16.20415311;53.50114333;0.251262152
149;16.50971759;53.45685116;0.278001665
151;15.67481288;53.45451826;0.286566823
153;15.70922911;53.43254297;0.293181564
155;15.59380347;53.4196107;0.270993108
157;15.31557736;53.40932646;0.261115125
159;14.92637228;53.40978353;0.240555761
161;14.21388634;53.36797746;0.227946499
163;13.93202305;53.3529479;0.233863027
165;13.36398259;52.97496233;0.240769123
167;13.11896461;53.35500671;0.24017505
169;13.22843997;53.34225995;0.250106706
171;12.96387762;53.34383773;0.278669157
173;12.8729684;53.35004321;0.270972796
175;12.46039798;53.33898604;0.270737139
177;12.0289175;53.32265607;0.27360545
179;11.28954051;53.33141844;0.261740186
181;11.15238333;53.25447757;0.227088883
183;10.34856716;53.29338438;0.211622072
185;10.06411187;53.2868725;0.209417617
187;10.023537;53.28267283;0.222466243
189;9.52146377;53.29201607;0.240848582
191;9.151738087;53.32130264;0.305116641
193;8.827580192;53.27820778;0.34667576
195;8.736173448;53.27552382;0.359294475
197;7.843037229;53.30714003;0.359420092
199;7.673987135;53.3411632;0.365381818
201;7.114897195;53.26670554;0.318695798
203;6.396400783;53.2610076;0.280274379
205;6.074420739;53.23535761;0.261815621
207;6.069036066;53.20714782;0.226236134
209;5.665987186;53.21021516;0.218788706
211;5.436467939;53.19312134;0.235702642
213;4.836459368;53.17377702;0.256464966
215;4.620648701;53.16868936;0.289435452
217;4.243473928;53.17871112;0.31216297
219;3.891165165;53.17509814;0.297804498
221;3.741425184;53.16567539;0.268582309
223;3.247555619;53.17106366;0.232776715
225;3.184177231;53.12523182;0.202855361
227;3.029928362;53.12255983;0.216136689
229;2.812969665;53.11209588;0.243730805
231;2.869363173;53.10750086;0.291560063
233;2.707993351;53.13713813;0.325451359
235;2.442275282;53.15235357;0.323564402
237;2.19863485;53.14874929;0.300220762
239;2.009821195;53.13871591;0.267960934
241;1.800945608;53.12724053;0.226776777
243;1.622528955;53.10826797;0.231767061
245;1.655944869;53.0933121;0.258117414
247;1.575892585;53.10803199;0.286307698
249;1.511304768;53.13151389;0.314006909
251;1.598117548;53.15061932;0.334792437
253;1.309403475;53.15061932;0.318652663
255;1.230227913;53.19783725;0.295366364
257;0.995635027;53.12809004;0.261055245
259;0.953195043;53.08183672;0.245566169
261;0.855770124;53.07894327;0.237932236
263;0.903992501;53.06495782;0.231527285
265;0.945109283;53.03190832;0.250557227
267;0.887912906;53.06710812;0.287206254
269;0.928757007;53.04486455;0.316735564
271;0.820890373;53.05107002;0.331925789
273;0.76322042;53.06646227;0.348796587
275;0.850082103;53.07382366;0.345887166
277;0.778652291;53.06133358;0.320374526
279;0.701595236;53.06155757;0.284175689
281;0.434617053;53.03379904;0.250856701
283;0.435407593;53.0393612;0.225661943
285;0.367537993;53.00218828;0.205489516
287;0.282008233;53.00218828;0.225079162
289;0.299802995;52.97795742;0.265043807
291;0.407798426;52.9865695;0.321379514
293;0.352969711;52.99382452;0.35052595
295;0.451453869;52.98467006;0.37865307
297;0.111210751;53.03915536;0.36710709
299;0.157137056;52.99949632;0.337548299
301;0.145850311;52.98825655;0.300187646
303;0.093346394;52.96708396;0.264204022
305;0.143974088;52.96210847;0.231892028
307;0.098330777;52.91778363;0.21342483
309;0.099146698;52.94397019;0.21703168
311;0.088934844;52.9486861;0.237290864
313;0.098552677;52.9486861;0.293619723
315;0.094793273;52.95425153;0.342633685
317;0.112412969;52.93196694;0.384046476
319;0.106320371;52.94403517;0.387715489
321;0.102732498;52.97930866;0.351689939
323;0.103819934;52.93967359;0.304581844
325;0.111410838;52.92400398;0.261368098
327;0.11378927;52.90073736;0.223928378
329;0.10163223;52.88501766;0.22696244
331;0.104484839;52.89318138;0.270641996
333;0.111394937;52.87800733;0.307584117
335;0.110883999;52.88607048;0.334398059
337;0.104016565;52.90159233;0.375102955
339;0.12328526;52.88238379;0.378389453
341;0.12706813;52.86869639;0.345198455
343;0.125708405;52.82642745;0.313317013
345;0.124834028;52.7998695;0.289568427
347;0.128096347;52.79986042;0.264710238
349;0.12621898;52.75845552;0.263498032
351;0.123856674;52.77643734;0.296140581
353;0.125979803;52.77529013;0.325632785
355;0.125056229;52.78667729;0.337087241
357;0.124807794;52.86137058;0.336666108
359;0.13120966;52.80579434;0.311165154
361;0.12458867;52.78689548;0.273207334
363;0.129992524;52.78391091;0.255688735
365;0.125123775;52.75636186;0.239647262
367;0.140520482;52.75446243;0.251395608
369;0.135720803;52.76188263;0.270463735
371;0.139880639;52.77126726;0.307079138
373;0.140510292;52.76869547;0.309030627
375;0.142529048;52.74551127;0.330237637
377;0.139233741;52.77773812;0.306229911
379;0.146729328;52.74347932;0.287384743
381;0.140591304;52.71500996;0.253098897
383;0.134166433;52.70270865;0.248113049
385;0.143990385;52.6698748;0.258043253
387;0.143950206;52.68601018;0.294058499
389;0.140073738;52.66605524;0.315328182
391;0.153114605;52.70098638;0.333069637
393;0.155962215;52.69269596;0.32462802
395;0.161116694;52.66312368;0.300357666
397;0.15464694;52.65689207;0.274093718
399;0.141428212;52.6169357;0.272181443
401;0.148637801;52.62034212;0.282073422
403;0.154176977;52.61887615;0.311446546
405;0.152542245;52.64881112;0.321539294
407;0.149639534;52.67293633;0.306987341
409;0.15094686;52.64482674;0.295053062
411;0.149236902;52.63275269;0.274456896
413;0.156305846;52.6278186;0.249135223
415;0.150788472;52.6071942;0.246928827
417;0.149271351;52.61618348;0.262599885
419;0.145491563;52.58430769;0.274655416
421;0.149586731;52.58430769;0.295974591
423;0.155399309;52.7760369;0.322639731
425;0.166332813;52.64058895;0.3274424
427;0.148785491;52.45468184;0.301000727
429;0.152867508;52.62117094;0.276242442
431;0.161552856;52.59246559;0.239469217
433;0.162264977;52.5896375;0.230886026
435;0.154218899;52.56588405;0.232275823
437;0.149749088;52.5811318;0.272604486
439;0.15616426;52.57963353;0.289152512
441;0.151509907;52.58862571;0.325273915
443;0.164204414;52.61246193;0.307786829
