Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminum plate 2 mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-10 09:04:24
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;10;184.29;10.39;;;56.94;4.93;18.58;;847;;104.45;0.0088;End flame at 101s.;2010-11-22;c_LSFIRE_IN1-8-1_75b;5.0;2;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.084615758;56.94;0.161643944
3;4.318879538;56.86444445;0.27741801
5;2.688237732;56.68434557;0.618023781
7;-1.546416706;56.68434557;0.783211832
9;-9.431726753;56.58307158;2.343661572
11;-6.214565079;56.58968824;5.374152976
13;38.6982351;56.30685761;9.140933047
15;88.99279936;56.3377959;12.52788418
17;138.4823201;56.07524198;15.75442198
19;170.69432;55.52119999;16.7335572
21;184.2906264;55.91249888;15.64952624
23;178.1355137;55.91249888;13.98442442
25;161.1687801;55.91249888;12.45336791
27;148.904861;55.25217104;11.0715502
29;135.2890764;54.96318447;10.90036924
31;133.6360608;54.95755522;11.47160639
33;132.432875;55.01934344;11.70464436
35;128.1721286;55.01934344;12.2061525
37;127.6669395;55.01934344;12.4057818
39;126.4489729;54.70753737;12.88062316
41;125.7746893;54.33003976;13.2085615
43;123.2779039;54.19908113;14.08689471
45;122.8240251;54.11426621;14.37759281
47;124.8282521;54.05796331;15.65078902
49;124.7742696;53.90850793;15.30580644
51;125.3515815;53.77455274;14.4443421
53;119.8843035;53.67359825;12.51084075
55;115.3325166;53.51385209;10.821312
57;109.2769206;53.51385209;8.502300815
59;104.7678943;53.42650441;6.794082544
61;99.96581568;53.37677457;5.398554457
63;93.75923618;53.39934017;4.320561233
65;86.06920582;53.34677699;3.3125727
67;79.61443863;53.32246577;2.298078384
69;68.64182561;53.33969963;1.624585197
71;59.15254559;53.27062645;1.103979035
