Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 12:05:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;32;269.24;33.25;;;18.90;15.16;19.31;;501.23;;77.16;0.0088;End flame at 348s;2010-11-23;c_LSFIRE_IN1-8-2_35a;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.653133432;18.9;0.068585776
3;6.790618461;18.86039764;0.067352889
5;7.323684559;18.70971688;0.055323783
7;7.753766489;18.79638458;0.054311875
9;6.77042297;18.79321639;0.067594769
11;6.194368596;18.80548308;0.099844546
13;4.881003146;18.64171278;0.136451165
15;3.690528048;18.71942448;0.208532394
17;2.497100205;18.74172394;0.318747899
19;2.308805166;18.69383576;0.475528076
21;2.002742695;18.62414524;0.641872257
23;1.96817317;18.53649291;0.952064269
25;1.710616873;18.55158225;1.407884335
27;1.280532932;18.54996762;1.774189014
29;0.445777054;18.52770887;2.583276278
31;-5.281044636;18.42763717;3.120711056
33;-6.295143181;18.44107117;4.678990215
35;11.43596007;18.21891384;7.67659191
37;58.49601905;18.04711111;10.76917852
39;125.7534831;17.34870116;14.89807415
41;187.1304377;16.95954267;19.50695922
43;238.5153701;16.46589554;21.97792789
45;269.2433279;15.97100129;21.07664962
47;267.8338109;15.4393359;19.09740802
49;242.4825073;15.2450012;14.88588707
51;208.0853468;14.98001332;10.32148639
53;174.3190352;14.7654604;6.458774791
55;146.3423695;14.68924172;4.229848602
57;131.6242196;14.59701014;2.912833561
59;116.2513196;14.61925817;2.12815986
61;103.325914;14.36310201;1.418043431
63;95.26034198;14.26066408;0.926231625
65;84.97097094;14.25949677;0.551204128
67;76.38905208;14.08843653;0.292812607
69;69.89892999;13.99751315;0.188038412
71;63.23943144;13.87020702;0.127663156
73;58.61223947;13.93508418;0.105995656
75;54.87292182;13.83787639;0.122130453
77;48.55521901;13.77694955;0.144488455
79;48.96450688;13.88291996;0.188922639
81;47.39462915;13.6621619;0.237721997
83;44.3576923;13.58487663;0.267116022
85;42.84233879;13.50197711;0.261395134
87;41.71307038;13.41115659;0.268248706
89;40.19548153;13.37585009;0.23802126
91;40.06050255;13.33457202;0.231295827
93;39.58632463;13.26640507;0.219293109
95;40.21245215;13.23219463;0.226907128
97;41.84741353;13.16991834;0.184569751
99;44.31893771;13.08321046;0.174276489
101;45.80928945;13.00239164;0.158767619
103;47.62948358;12.98624642;0.19046988
105;50.44575692;12.85897083;0.224848802
107;52.69315026;12.815296;0.31728489
109;55.05353651;12.78702605;0.4041748
111;57.57211881;12.7129395;0.481265752
113;59.84535747;12.56919511;0.586019114
115;62.14827671;12.68080332;0.662875269
117;65.69148156;12.39479311;0.719135536
119;65.97994324;12.36947867;0.810892781
121;68.27111969;12.2772053;0.865669266
123;68.35669583;12.20425499;0.814927318
125;69.78312643;12.15025328;0.79653887
127;68.58822887;12.03071549;0.760679994
129;68.44561941;11.97370952;0.693950446
131;69.86429272;11.89170249;0.66934992
133;68.50898961;11.81072189;0.707251735
135;67.84552268;11.79146901;0.714332712
137;69.00075592;11.65305333;0.709904504
139;67.12513844;11.6826031;0.677270414
141;67.11787965;11.60624085;0.640827411
143;66.82221789;11.53528285;0.610679355
145;66.87529492;11.48648984;0.584569914
147;67.15756082;11.38396245;0.578822353
149;66.82698876;11.36706776;0.583279055
151;65.25467076;11.2982601;0.595458022
153;65.60026455;11.2396186;0.599611339
155;65.36971458;11.24343554;0.636901017
157;65.46149162;11.16662597;0.651885145
159;64.1296653;11.13224196;0.61420293
161;63.32374637;11.00380924;0.58861248
