Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 12:40:45
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;30;317.28;37.34;;;19.07;14.93;22.57;;561.19;;85.27;0.0088;End flame at 405s;2010-11-23;c_LSFIRE_IN1-8-2_35c;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.834003324;19.07;0.035653904
3;9.596464983;18.97747378;0.067517229
5;8.88664717;19.02621428;0.113332823
7;7.90391813;18.99508149;0.136384206
9;7.178599933;19.00091002;0.141282036
11;6.14685314;19.16757315;0.159919278
13;4.981578465;19.16757315;0.189253064
15;3.801688424;18.8748746;0.238144852
17;2.909111795;18.95991695;0.369664905
19;2.417128874;18.92250832;0.534084261
21;2.2805962;18.87334086;0.852859818
23;2.336858138;18.77160471;1.211111498
25;2.271183482;18.74280708;1.584382402
27;1.036527904;18.72232582;2.191787178
29;-3.510612759;18.70427132;2.328144707
31;-9.205609542;18.6496514;3.323352032
33;-2.447585051;18.61149117;5.727799663
35;27.77471195;18.39352845;9.260472703
37;75.43072261;18.10049508;14.78594446
39;150.264604;17.48294948;20.26017744
41;239.7874195;17.06730227;24.22319144
43;290.5805038;16.14973658;24.94160019
45;317.2812949;15.56851265;23.14622256
47;289.7338389;15.21574173;18.21739579
49;247.3252057;14.98672088;13.2346885
51;205.9294192;14.88576633;8.58734904
53;172.3022973;14.73497468;5.603823121
55;151.8290718;14.59749542;3.706593756
57;133.9434789;14.43789938;2.568502665
59;119.9971767;14.36277784;1.859643197
61;109.5441917;14.35123266;1.258135018
63;98.54861613;14.22646613;0.727300009
65;90.65670021;14.11449447;0.441337149
67;83.2874893;14.11449447;0.239964504
69;76.50536195;14.11449447;0.160837982
71;70.70118838;13.71524695;0.131482886
73;64.95388412;13.86109399;0.164354801
