Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 14:08:44
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;16;338.53;39.00;;;19.28;16.39;20.94;;584.17;;115.09;0.0088;Glowing. End flame at 804s;2010-11-29;c_LSFIRE_IN1-8-2_50a;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;1.205162822;19.28;0.055950364
3;0.971548816;18.96330863;0.057952756
5;1.200595158;19.33493903;0.093847546
7;1.257618647;19.16962435;0.249222756
9;1.148816415;19.34188904;0.549421209
11;-0.297433457;19.2063869;1.10375687
13;-0.169547544;19.24037734;2.019325937
15;-10.36425526;19.18721508;2.660820597
17;-13.10911954;19.04284385;5.606021334
19;11.75536292;18.78447133;12.28869904
21;69.94366452;18.40863803;19.91637107
23;141.5985493;18.04434947;28.23238839
25;219.546606;17.93707462;35.39044225
27;318.6814499;17.66852066;36.82881813
29;338.5327656;17.29770853;32.15914898
31;319.2883079;16.9488506;25.99851515
33;266.4043368;16.616931;17.92144318
35;219.014426;16.21347919;11.23647497
37;177.1837264;15.85414228;7.536858316
39;155.0958934;15.44286726;5.751354551
41;137.3991072;15.2034281;4.171869877
43;120.9741302;14.9924268;3.336733447
45;110.7735106;14.75123763;2.407248379
47;100.8797258;14.67853799;1.713226948
49;94.53488884;14.63744722;1.237226332
51;89.63911488;14.56117947;0.89230549
53;85.01198361;14.52057043;0.642693079
55;82.47040861;14.48238848;0.455453241
57;78.12876564;14.48238848;0.328935877
59;76.77519583;14.29239491;0.290319892
61;72.77761026;14.13067398;0.202572645
63;72.86228754;14.04044835;0.139015329
65;69.72762617;13.94688089;0.127561817
67;69.8614634;13.80986048;0.122482847
69;69.2225691;13.74316566;0.099991755
71;68.70199107;13.56505576;0.073421681
73;68.52144972;13.56250624;0.075452529
75;68.07749861;13.43285507;0.044394792
77;67.35193201;13.33120154;0.051385019
79;68.78716312;13.27146106;0.058408561
81;68.98344161;13.19329988;0.094737307
83;68.99640172;13.19329988;0.10682335
85;69.41652374;12.93583601;0.138182591
87;70.371892;12.95049757;0.139020349
89;71.00465258;12.88263688;0.188417821
91;71.49537487;12.76091505;0.208512262
93;72.95093793;12.70424717;0.222951502
95;73.35745249;12.49569011;0.236533344
97;72.48179345;12.3957486;0.27276578
99;72.7538224;12.34019323;0.292470682
101;73.46299163;12.2915518;0.340230316
103;74.46289765;12.18271749;0.385790823
105;74.81820598;12.18271749;0.497805297
107;76.12334169;12.00324076;0.576969317
109;74.70051682;12.00324076;0.659635883
111;74.1016024;12.00324076;0.707677614
113;77.37584203;11.8340852;0.734815115
115;75.51163727;11.94897193;0.769857761
117;76.58459481;11.89448146;0.757121701
119;76.3693548;11.81365152;0.754313443
121;75.45512873;11.96080031;0.740644586
123;74.71592407;11.66295801;0.760298849
125;76.64750607;11.5934127;0.722130404
127;75.06044089;11.5934127;0.72514617
129;74.52373833;11.66335801;0.681098285
131;73.10392519;11.38604507;0.637161068
133;73.73554374;11.19874188;0.595988168
135;72.96348764;11.19874188;0.510613191
137;71.04298073;11.19923419;0.480348422
139;71.67543844;11.07844169;0.434335691
141;71.86644606;11.04011663;0.398392595
143;68.81659968;10.87648752;0.391420524
145;68.90691189;10.87648752;0.398053105
147;68.45483382;10.94568763;0.369762345
149;67.22030496;10.94568763;0.332051125
151;66.97622755;10.94568763;0.328539231
153;65.72241405;10.70625936;0.290802226
155;64.52749002;10.80745856;0.272267883
157;64.01908572;10.64260974;0.243329384
159;63.25337136;10.59797217;0.252335033
161;63.20053336;10.60901786;0.227384586
163;61.60493673;10.59941111;0.226479047
165;60.31134092;10.589001;0.199354597
167;60.19937089;10.58448994;0.175510606
169;59.49743498;10.39305838;0.154666679
171;58.82670378;10.41160264;0.128158586
173;57.70557785;10.31892701;0.077065998
175;57.00439052;10.3201198;0.047637431
177;56.07078319;10.3201198;0.022992845
179;54.75218454;10.23033889;0.003704948
181;53.75965877;10.23033889;7.09016E-15
183;54.06150431;10.16955995;7.09016E-15
185;53.96014838;10.16955995;0.009391312
187;54.11531111;10.08309058;0.011824273
189;54.16022402;10.06504584;0.011824273
191;52.17342936;10.00703517;0.041821275
193;53.58845416;10.06398622;0.056400305
195;51.257913;10.06398622;0.053840088
197;51.13512933;10.06398622;0.05637229
199;51.36425078;9.99239764;0.068881833
201;50.60539138;9.95097594;0.038884831
203;51.13100295;9.97358704;0.024305801
205;50.4672128;9.85795175;0.017474705
207;49.07829991;9.85795175;0.012509543
209;49.32351861;9.85795175;7.09433E-15
211;47.74488463;9.733903;7.09433E-15
213;49.26991265;9.68063272;7.09433E-15
215;47.96992822;9.68063272;7.09433E-15
217;49.38804934;9.61177828;7.09433E-15
219;47.73318531;9.61177828;7.09433E-15
221;47.18555229;9.59361383;7.09433E-15
223;46.70818252;9.60238019;7.09433E-15
225;45.94040736;9.60224317;7.09433E-15
227;46.79429184;9.50300551;8.9321E-05
229;45.93416481;9.52530603;0.019196639
231;45.54989392;9.43651983;0.024127477
233;45.26377899;9.46420593;0.024127477
235;44.88150535;9.46420593;0.040659561
237;44.40369988;9.4790925;0.04057024
239;43.49282205;9.42428087;0.021462922
241;44.45157154;9.42185779;0.016532084
243;44.44761866;9.4807949;0.016532084
245;43.65470924;9.26624023;7.09155E-15
247;44.09614864;9.27785932;7.09155E-15
249;43.72017409;9.27785932;7.09155E-15
251;43.85286373;9.2779465;7.09155E-15
253;42.60533565;9.19719156;0.000446913
255;42.88162742;9.19719156;0.000446913
257;41.84486958;9.11906836;0.012203029
259;42.40513377;9.09402409;0.02195585
261;42.17749332;9.09402409;0.026115574
263;42.69254495;9.09402409;0.02566866
265;41.40270586;9.08072038;0.02566866
267;41.06098856;9.06320994;0.013912545
269;40.78580432;9.0037225;0.004159724
271;40.22153441;8.86135673;7.09502E-15
273;41.46789954;8.80258151;7.09502E-15
275;40.40914757;8.77585595;7.09502E-15
277;40.66776668;8.7459344;7.09502E-15
279;40.35167576;8.75967756;7.09502E-15
281;40.02789062;8.72120426;7.09502E-15
283;39.90437623;8.73143431;7.09502E-15
285;40.61022047;8.75383627;0.00598384
287;40.37508271;8.74428058;0.008721188
289;40.59723076;8.76854556;0.016202074
291;40.43715854;8.75582074;0.035493648
293;39.65641706;8.75582074;0.054983292
295;39.93692317;8.75582074;0.053047779
297;39.37397535;8.72604042;0.051090345
299;39.68136798;8.70622203;0.043609459
301;40.0719617;8.70842684;0.025516489
303;38.55298365;8.70842684;0.006026845
305;38.28239559;8.66445225;0.001978518
307;39.34279928;8.66445225;0.001198604
309;38.86172832;8.54114484;0.001198604
311;38.01371866;8.49091976;7.11323E-15
313;37.64305475;8.5246235;0.005971875
315;38.3959096;8.51343855;0.005971875
317;37.41060213;8.47351108;0.008073831
319;38.3197409;8.45074614;0.019984604
321;37.63987162;8.43726679;0.038778673
323;37.33695804;8.45184662;0.052151995
325;37.33247769;8.4069903;0.052151995
327;37.40643899;8.37913737;0.055585707
329;37.29250249;8.37913737;0.048863037
331;37.02226883;8.35099357;0.041509326
333;37.15988949;8.34801328;0.024054854
335;37.29984722;8.34801328;0.024054854
337;36.35002475;8.18312071;0.018519186
339;36.16254961;8.18312071;0.013331083
341;36.62520421;8.22496933;0.001890725
343;36.29644777;8.09063354;7.11514E-15
345;35.45116839;8.09063354;7.11514E-15
347;36.43670255;8.09063354;7.11514E-15
349;36.16265651;8.09063354;7.11514E-15
351;35.77153499;8.0930023;0.003446841
353;35.68259574;8.0930023;0.016047434
355;35.52303625;8.05826955;0.03048015
357;36.63660935;8.04633876;0.053750627
359;35.7092667;8.10647876;0.068514326
361;35.43730063;8.01647237;0.080781664
363;36.35649219;8.16713799;0.068181071
365;35.53345072;8.05676282;0.053964761
367;35.84478232;8.05676282;0.030694285
369;36.48710037;7.8759207;0.015930586
371;35.43913487;7.88917072;0.000216406
373;35.62149222;7.88917072;0.000216406
375;35.41698298;7.88917072;0.009156921
377;36.0801905;7.79633836;0.028584463
379;36.30778717;7.83010476;0.043402003
381;36.15135423;7.94999438;0.047710257
383;36.09965742;7.81215906;0.047710257
385;36.25360103;7.81215906;0.038553336
387;36.22015432;7.74986665;0.019125793
389;35.92715052;7.74986665;0.004308254
391;35.45547719;7.73131181;7.11653E-15
393;35.90949132;7.73131181;0.002919556
395;35.57051676;7.57126829;0.002919556
397;35.48685574;7.57126829;0.006823515
399;35.34545882;7.54304036;0.030125509
401;35.51432147;7.54304036;0.033291
403;34.49177897;7.54304036;0.038889468
405;34.81308064;7.54304036;0.046477953
407;34.93726183;7.39308291;0.055152892
409;35.05193883;7.54542642;0.031850898
411;35.07691332;7.50671194;0.028685407
413;35.13726364;7.49962058;0.020167383
415;34.95015199;7.4536705;0.012578899
417;35.24177911;7.39794013;7.10543E-15
419;35.10312356;7.39794013;7.10543E-15
421;34.89918116;7.34587274;0.004240701
423;34.49861601;7.45458012;0.007222712
425;34.44515393;7.45458012;0.016979301
427;34.29586274;7.37413336;0.036249144
429;35.11166469;7.29976641;0.051416944
431;34.72221893;7.26331106;0.047176243
433;34.12070447;7.32071693;0.044194232
435;34.43338962;7.32071693;0.034437643
437;34.34421744;7.19292586;0.0151678
439;34.35564723;7.15245368;7.11653E-15
441;33.87627453;7.12293344;7.11653E-15
443;33.62084066;7.10983678;7.11653E-15
445;34.07035858;7.13203778;0.00856771
447;33.40407583;7.36823527;0.019016658
449;33.34776446;7.40034109;0.025678427
451;33.60092178;6.96571347;0.048981021
453;33.20945921;7.24639469;0.05722672
455;33.49110891;6.99463035;0.052133308
457;33.02995222;7.14077673;0.042788599
459;33.55576628;6.94817787;0.03612683
461;34.03334347;6.96171988;0.023540041
463;33.88828998;7.04308571;0.015294342
465;33.69658351;7.04308571;0.011820045
467;33.77371227;7.04308571;0.010715806
469;32.98462427;6.79805503;0.010715806
471;33.32295363;6.86569601;0.016617734
473;33.43673919;6.8460104;0.028643973
475;33.80222715;7.01075681;0.031965118
477;32.99907595;6.8341623;0.052789024
479;32.65244417;6.80373918;0.065860764
481;33.35065496;7.04223331;0.076553923
483;33.5663576;7.04223331;0.076201062
485;33.03900079;6.80249927;0.073744672
487;34.00760735;6.77750981;0.052920766
489;33.91262353;6.73669003;0.040430872
491;32.56917156;6.68714812;0.013119979
493;33.24501162;6.61829417;0.001446602
495;33.06711131;6.70363228;0.000581846
497;32.63714906;6.6205884;0.000581846
499;32.91413485;6.56371956;7.12867E-15
501;32.71462003;6.48443145;0.002653117
503;32.36172039;6.56257148;0.002653117
505;32.89997869;6.56453975;0.014044009
507;32.326682;6.61101916;0.02346749
509;32.75632893;6.54274933;0.047424193
511;32.28251361;6.44961649;0.057308606
513;31.98898966;6.44961649;0.057308606
515;31.68292212;6.51620891;0.045917714
517;31.82607099;6.32617062;0.036494234
519;31.81903765;6.32617062;0.014674526
521;30.87681418;6.33972401;0.002136995
523;31.35023255;6.33972401;0.002136995
525;31.95841675;6.33972401;0.002249953
527;31.11383367;6.34312402;0.002249953
529;31.5101232;6.27836141;0.00720076
531;30.95412514;6.23024932;0.018265409
533;30.76619305;6.31396676;0.018265409
535;31.57508647;6.29577538;0.03254618
537;31.41260861;6.2882095;0.03254618
539;31.33192829;6.28928547;0.025458378
541;31.24071768;6.28633306;0.014393729
543;30.81085912;6.16818335;0.014393729
545;30.49953899;6.03147929;7.13318E-15
547;30.90079315;6.08338225;7.13318E-15
549;30.56010906;6.08338225;7.13318E-15
551;30.1710954;6.34793172;7.13318E-15
553;30.57250764;5.97055659;0.015970646
555;30.4711415;6.00863213;0.035478536
557;30.15902749;6.11907943;0.041492433
559;30.74921656;6.11907943;0.04507707
561;30.09457484;6.11907943;0.045330849
563;30.00373447;6.03717401;0.029360203
565;30.50148067;5.99544221;0.009852312
567;29.58464371;5.96397293;0.003838415
569;29.51842555;5.96397293;0.000253779
571;29.40303961;6.1015419;0.001081475
573;29.7715189;5.82544482;0.001081475
575;28.89154392;5.89497234;0.015011294
577;29.25886062;5.98092199;0.032157794
579;29.37456151;5.90947092;0.034762461
581;29.4851184;5.89605647;0.042995294
583;29.18436006;5.81253999;0.050201721
585;29.08733267;5.83029195;0.036271902
587;28.7035028;5.83029195;0.019125402
589;28.85572631;5.75491346;0.016520734
591;28.345228;5.74559806;0.007206427
593;28.88099125;5.61169256;0.003195977
595;28.48617101;5.61169256;0.005431031
597;28.68393818;5.69960279;0.01865955
599;28.07746582;5.62025026;0.030749064
601;28.06841552;5.89756801;0.041611689
603;28.30015791;5.70214366;0.038415712
605;28.62773064;5.70214366;0.036180658
607;28.28760372;5.69277346;0.022952139
609;28.35134753;5.69277346;0.010862624
611;28.22186031;5.69277346;7.14151E-15
613;28.36966118;5.57296605;7.14151E-15
615;28.35692444;5.44658748;0.009592094
617;28.0527507;5.42758553;0.024586999
619;27.86041035;5.50074959;0.055968131
621;27.74476046;5.50898903;0.074342586
623;27.71580152;5.43095269;0.074342586
625;27.83645679;5.42539851;0.064750492
627;27.47860032;5.46942454;0.049755587
629;27.42351625;5.43787353;0.018374455
631;27.13943619;5.39827443;7.14706E-15
633;27.1593089;5.39827443;7.14706E-15
635;26.65710957;5.33226118;0.006037261
637;26.97363365;5.3354551;0.006388433
639;26.73656339;5.30066289;0.020103668
641;26.5459295;5.26482421;0.027826682
643;26.928846;5.26482421;0.035829943
645;27.06984022;5.29555038;0.029792682
647;27.06059197;5.24250447;0.029441511
649;26.40070836;5.28303097;0.015726275
651;26.61892366;5.28303097;0.011561128
653;26.10154065;5.16109905;0.003557867
655;26.76036251;5.2264312;0.003996508
657;27.00584919;5.1511274;0.010073252
659;26.56774003;5.1511274;0.01199988
661;26.38161049;5.15722452;0.033513399
663;26.37629534;5.06727342;0.033513399
665;26.46765282;5.12736358;0.033074758
667;26.03604454;5.07641526;0.026998014
669;26.13854352;5.04401617;0.025071386
671;26.34753057;5.09608821;7.13873E-15
673;27.36668785;5.02529595;7.13873E-15
675;26.17786945;5.02884018;7.13873E-15
677;25.89726947;5.00046802;0.016030898
679;25.62978198;5.00258341;0.016030898
681;25.94350446;5.00258341;0.032853743
683;26.20129557;4.91746164;0.032853743
685;26.06910155;4.91746164;0.032853743
687;25.75071135;4.89717202;0.016822845
689;25.29874307;4.87506841;0.016822845
