Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 14:33:21
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;9;455.70;45.45;;;20.04;17.05;23.68;;839.72;;187.26;0.0088;Distortion. Glowing. End flame at 216s.;2010-11-22;c_LSFIRE_IN1-8-2_75a;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.436661562;20.04;0.321600068
3;5.357063733;20.04;0.62121594
5;0.735916764;19.95004097;1.471091852
7;-11.69727184;19.97957698;2.70081053
9;-8.033657582;19.97115964;8.888203423
11;36.93652959;19.60800274;18.01269177
13;128.0404517;19.00122999;26.08727713
15;257.8100997;18.30567983;33.97888371
17;429.7682023;17.30895941;36.35683636
19;455.7011923;16.53046669;31.79327033
21;412.3092479;16.20424709;24.1096028
23;331.214061;16.20424709;16.76111075
25;262.1873859;15.89001396;8.815176173
27;224.1319155;15.89001396;5.928120182
29;191.0143123;15.45605152;4.927876316
31;168.6034103;15.43293114;3.984858174
33;153.1636797;15.11127111;3.455269849
35;142.8074085;15.11127111;3.115030998
37;133.7535134;14.60878417;2.827640106
39;123.8255393;14.60878417;2.504035648
41;119.3475101;14.67151775;2.257132885
43;115.321236;14.47206986;2.061070235
45;109.5869968;14.2063898;1.917912999
47;106.3945396;14.03774016;1.730390211
49;102.607103;14.03774016;1.616679486
51;100.8009968;13.83101591;1.534246326
53;98.88074527;13.83101591;1.444539924
55;95.74612425;13.65374348;1.344117064
57;93.90797386;13.56797089;1.275335161
59;92.7692436;13.39120451;1.29327742
61;91.06102526;13.41104676;1.30055086
