Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 14:39:41
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;9;386.67;44.31;;;19.21;16.15;24.33;;839.33;;159.81;0.0088;Distortion. Glowing. End flame at 237s.
;2010-11-22;c_LSFIRE_IN1-8-2_75b;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.012630929;19.21;0.103774923
3;5.549587934;18.85960018;0.360325143
5;1.896661775;19.24845034;0.935556777
7;-12.34559901;18.94124482;1.779708119
9;-20.48086113;18.84821615;7.391444393
11;7.407850508;18.70381681;14.70856394
13;86.41452054;17.94945039;24.29813615
15;196.0660945;17.83288604;30.75764634
17;368.1951107;16.87694069;32.77686726
19;386.6702663;15.9904878;29.00955334
21;364.9835408;15.51527733;22.90705549
23;299.7180663;15.79645747;14.14427729
25;244.7378234;14.8882991;8.112483242
27;207.4225239;14.8882991;6.005631793
29;178.3111018;14.8882991;4.957449588
31;162.0778766;14.74763666;4.399746413
33;151.5930209;14.47155326;4.057786051
35;138.354265;14.47155326;3.674774549
37;132.1277927;14.31367818;3.556282221
39;129.8493841;14.31367818;3.203269676
41;125.5789977;14.24283306;2.934957145
43;119.2844891;14.05005909;2.763565479
45;115.5092789;14.05005909;2.632924605
47;113.439064;13.65031833;2.461970408
49;110.2572344;13.52110037;2.524050573
51;107.8442705;13.32616232;2.577422108
53;106.2325687;13.03358748;2.440444568
55;104.5011313;12.90290964;2.367935207
57;103.2511287;12.77517561;2.318731699
59;99.06134135;12.57128403;2.174234804
61;98.58660513;12.53021971;2.165721832
63;95.96923672;12.24713641;2.184081121
65;96.636965;12.22322926;2.262136735
67;96.55049344;12.12304983;2.368473205
69;96.97547388;12.01839204;2.460823923
71;95.54110961;11.95494826;2.547431048
73;96.12395786;11.83749275;2.647950353
75;96.20265305;11.80887916;2.728003529
77;96.67989239;11.66311326;2.781711752
79;97.46278719;11.66311326;2.922919202
81;97.26800402;11.47758211;3.004691424
83;99.41988889;11.47758211;3.195959046
85;99.82932397;11.0852493;3.292847001
87;99.92361817;11.0852493;3.292350137
89;101.2486865;11.0852493;3.35455522
91;102.5367229;10.95705185;3.333710712
93;101.5858085;10.95705185;3.277202343
95;102.7128058;10.91493744;3.226631713
97;99.94718482;10.91493744;3.246116907
99;101.4009994;10.81838868;3.181947582
101;99.31680847;10.81838868;3.084596489
103;100.1799707;10.72266174;2.932317943
105;97.8395976;10.72266174;2.803464317
107;96.96940846;10.71476563;2.652069431
109;94.57520752;10.71476563;2.533244599
111;92.66034732;10.4992021;2.379168758
113;92.35016418;10.4992021;2.383950426
115;89.54661907;10.28984075;2.260868401
117;89.85738672;10.28984075;2.146250506
119;86.259741;10.06014749;2.05482906
121;85.32816581;10.06014749;1.933049909
123;82.91013274;9.95346244;1.639429406
125;80.11626592;9.95346244;1.520079347
127;77.61199357;9.79049955;1.409793768
129;75.33061383;9.79049955;1.179715315
131;73.58120677;9.74148222;1.040752185
133;71.54142857;9.47299546;0.909627337
135;69.47418043;9.47299546;0.797373789
137;66.9342262;9.61815289;0.701885209
139;64.05107702;9.61815289;0.63157792
141;63.7143007;9.40560408;0.557570719
143;60.89221134;9.40560408;0.475686033
145;59.86760253;9.30606552;0.385345161
147;56.66631538;9.30606552;0.332909438
149;55.62403594;9.30606552;0.311138783
151;53.68043212;9.12075971;0.297698775
153;53.68462465;9.12075971;0.301783134
155;51.60358937;9.12075971;0.257577655
157;50.9359214;8.95074252;0.198967811
159;50.41609877;9.09252078;0.152875936
161;50.2307933;9.09252078;0.188711785
163;48.67176538;9.09252078;0.179170827
165;46.9299355;9.09252078;0.1865685
167;46.55648554;9.02975487;0.186337047
169;46.04266478;8.99845865;0.188974768
171;45.42335184;8.99845865;0.145183513
173;44.9336167;9.07718968;0.145791657
