Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 14:44:37
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;8;417.88;43.96;;;19.30;16.59;23.44;;682.17;;176.86;0.0088;Distortion. Glowing. End flame at 189s.
;2010-11-22;c_LSFIRE_IN1-8-2_75c;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.133786179;19.3;0.087808227
3;5.706408637;19.29470727;0.421157188
5;-1.812892105;19.21344644;1.07786021
7;-10.83909373;18.95958456;3.259467114
9;-6.993091564;18.90595747;9.35245643
11;41.08870115;18.66613051;17.12594968
13;154.8597007;17.93414195;25.83793342
15;295.6575187;17.1821195;29.80430973
17;417.882094;16.25672631;29.80157606
19;416.7438065;15.45363685;25.30355406
21;356.5970294;15.0049247;18.76187683
23;285.0433172;14.77710794;10.75894053
25;233.9570965;14.56472149;7.150799179
27;199.4869519;14.53933455;5.734927198
29;173.2096799;14.27587102;4.706540277
31;156.465491;14.05360909;4.097483482
33;147.9610845;13.87724467;3.684819389
35;138.5494401;13.65820107;3.164993
37;133.3206166;13.580694;2.846550788
39;124.2013724;13.45781574;2.695628149
41;120.3504158;13.32121643;2.294215946
43;113.8475131;13.14561109;1.942775324
45;111.441811;12.9381832;1.781129024
47;108.2236702;12.9381832;1.673379149
49;102.9170687;12.77324232;1.558179212
51;100.4670076;12.65950128;1.574981468
53;99.20391676;12.52063542;1.630096288
55;97.24671502;12.37492023;1.551531873
57;97.0285167;12.37492023;1.455160021
59;94.4856026;12.12616904;1.456672627
61;89.34452664;12.04059717;1.443896754
63;91.06079706;11.96121855;1.380525603
65;89.0213327;11.86137953;1.441347304
67;89.12101711;11.72955622;1.517722141
69;88.57933673;11.60658722;1.570002198
71;88.35488788;11.53467554;1.671780129
73;90.28828417;11.44466182;1.784181235
75;90.81968847;11.35358636;1.930342902
77;92.98279659;11.27537039;2.088240435
79;93.87899659;11.13518014;2.278769994
81;94.03824455;10.98541654;2.405030441
83;94.78257169;10.96669689;2.585226285
85;96.68286233;10.87282854;2.709288404
87;98.0094517;10.76563308;2.924908443
89;98.23699483;10.68439254;3.001621468
91;100.8707965;10.52174917;3.163947176
93;102.9578043;10.42459255;3.173366729
95;102.1706887;10.34523422;3.353974023
97;103.7070086;10.24796306;3.280552826
