Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 15:18:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;169;107.97;33.85;;;56.73;28.89;10.54;;415.42;;38.74;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. Unidentifiable end flame.
;2010-11-04;c_LSFIRE_IN-1-10_35a;4.0;4;;;;;;;;;;5.67;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.164308227;56.73;0.210187536
3;9.82499131;56.79979016;0.246416734
5;8.394034935;56.68770409;0.281322937
7;7.455673115;56.68770409;0.313691965
9;6.462794736;56.61210898;0.296082122
11;5.944648514;56.69067246;0.261682768
13;4.674395847;56.65825986;0.234854523
15;3.542728927;56.66463052;0.228069354
17;2.852109385;56.66396035;0.228309641
19;2.304797337;56.68148985;0.250164582
21;2.472045148;56.59945337;0.303223709
23;2.393413446;56.57515731;0.301114458
25;2.772959746;56.66535802;0.272803438
27;2.925723384;56.6389293;0.239687208
29;2.538097056;56.64384712;0.245100911
31;2.259969704;56.65373418;0.23319997
33;1.775038534;56.63350684;0.264145385
35;1.658036962;56.65548756;0.290578935
37;1.367625865;56.5749441;0.277035954
39;1.033631878;56.80543922;0.258985778
41;0.887033042;56.80543922;0.22147599
43;0.973783427;56.58162869;0.163858702
45;1.083140316;56.41557627;0.162258688
47;0.903976467;56.57022235;0.200999867
49;0.746605647;56.49519241;0.230815381
51;0.791590106;56.45910752;0.278727074
53;0.409510066;56.40863078;0.338643796
55;0.284758192;56.37661033;0.340104781
57;0.439548107;56.24169069;0.359597804
59;0.512166303;56.18407187;0.407052856
61;0.981086911;56.16676951;0.437213852
63;1.021418456;56.09909808;0.493377947
65;0.798344805;56.06115481;0.617571922
67;0.93743778;56.02772008;0.795349994
69;0.927925119;55.83309664;0.96492901
71;0.882562357;55.66669172;1.150696043
73;0.578991003;55.8241235;1.324216155
75;1.090113143;55.59408587;1.514536166
77;1.4437815;55.36664644;1.643700216
79;1.564017086;55.23471607;1.843855752
81;1.863625467;55.171993;2.028905635
83;1.814840538;55.08885991;2.211851959
85;1.534460714;54.88596457;2.326220688
87;1.585172643;54.81595692;2.387305153
89;1.312538631;54.63318017;2.277413366
91;1.050185286;54.63318017;2.147970683
93;1.72180801;54.36900657;2.005858823
95;2.00253953;54.2451622;1.893038612
97;1.907669177;54.14049197;1.790648466
99;1.796034276;54.08014102;1.737757122
101;1.726475303;53.93506379;1.647884943
103;1.447229327;53.83548066;1.541661326
105;2.120567328;53.65024982;1.377770198
107;2.161948905;53.56932761;1.209122297
109;2.220365283;53.67692175;1.057109269
111;2.33816565;53.48521953;0.984334937
113;2.29565655;53.09460819;0.925986368
115;2.183421254;53.19597524;0.926234485
117;2.189311607;53.16832778;0.963578649
119;2.170120325;53.04199879;0.95423919
121;2.588658419;52.85599278;0.906054564
123;2.52806483;52.85599278;0.84930471
125;2.653852393;53.13526269;0.758969923
127;3.151781313;53.13526269;0.710633464
129;3.364822667;52.2441166;0.715491347
