Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 15:34:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;219;84.49;31.46;;;56.89;25.03;11.49;;348.54;;34.17;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. Unidentifiable end flame.
;2010-11-04;c_LSFIRE_IN-1-10_35d;4.0;;;;;;;;;;;5.67;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.21022951;56.89;0.050514547
3;5.193831363;57.1319352;0.100585632
5;6.351281628;57.08296435;0.116511544
7;7.30702276;57.224755;0.156207764
9;7.250420954;57.224755;0.189576783
11;6.081315824;57.04991211;0.194540714
13;5.051427452;57.04991211;0.136010569
15;4.285446725;56.79521886;0.113589297
17;2.828946555;57.28041473;0.063749473
19;2.271345992;57.14206602;0.064464636
21;2.387989296;57.26575771;0.085696757
23;2.438115066;56.74603276;0.123584733
25;2.351312156;56.93786086;0.15948228
27;2.072196189;57.24777178;0.191992094
29;1.658354004;57.20910102;0.185240912
31;1.507415629;57.26570092;0.160559927
33;1.31952429;57.25260227;0.135229799
35;1.089822615;57.23578634;0.108278337
37;1.050324953;57.19826949;0.084761667
39;0.993028189;57.21704774;0.107600231
41;1.047762141;57.30360615;0.114949924
43;1.136684925;57.21188242;0.145794933
45;1.194857507;57.21188242;0.180808818
47;0.822565537;57.15818982;0.204642441
49;0.09552481;57.1132266;0.205421328
51;-0.042071382;57.1132266;0.26940152
53;-0.343765385;57.06601341;0.415501122
55;0.237672783;56.81070527;0.532713599
57;1.046262223;56.80386854;0.646552396
59;0.934465378;56.76555939;0.76505554
61;0.598964556;55.96418865;0.895218429
63;0.754973355;55.96418865;0.9363236
65;0.37484491;56.64238519;1.07711687
67;0.502276506;56.40285693;1.220800994
69;0.281152085;56.39652484;1.333163067
71;-0.060776501;56.19644519;1.381906775
73;-0.040174918;55.52606894;1.391743126
75;0.340160079;55.52606894;1.41191762
77;0.487037173;55.29653221;1.484640489
79;0.605903579;55.74127062;1.675178631
81;0.642993758;55.32190343;1.821938272
83;0.232372064;54.99317946;2.006680528
