Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 15:38:18
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;184;111.86;30.40;;;56.63;27.79;9.84;;324.86;;37.69;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. Unidentifiable end flame.
;2010-11-04;c_LSFIRE_IN-1-10_35e;4.0;;;;;;;;;;;5.67;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.992431153;56.63;0.051787575
3;10.21698415;56.63;0.079396079
5;10.21183242;56.0870172;0.100529599
7;9.705561277;56.29278019;0.109905282
9;8.285103763;55.96135784;0.102261373
11;6.539908745;55.95304523;0.077935721
13;5.405547833;55.9301372;0.052675684
15;4.016918463;55.90867827;0.053017507
17;2.714141966;55.99394348;0.066509813
19;2.143609115;55.9922817;0.100822801
21;2.094665501;55.95836323;0.129073881
23;1.920207533;55.93789214;0.129163472
25;1.425057317;55.97775057;0.108995871
27;1.404141158;55.93001559;0.082955188
29;1.175137818;56.10028566;0.065021367
31;0.984554825;56.00491964;0.068269854
33;0.5217846;55.95637896;0.115040733
35;0.312094291;55.98018752;0.15130381
37;0.196857443;55.98523122;0.174275487
39;-0.054209648;55.85154319;0.153616502
41;-0.170966;55.89245482;0.116096823
43;-0.242352505;55.91249574;0.063715192
45;-0.119147792;55.83806151;0.033467812
47;-0.178118793;55.80212876;0.072148725
49;0.005178492;55.80037913;0.131879398
51;-0.260608838;55.73330395;0.222169241
53;-0.53606205;55.286262;0.323753661
55;-0.459750666;55.68572059;0.371239226
57;-0.902130124;55.56304728;0.379084843
59;-0.762978948;55.48046223;0.386173725
61;-0.660234317;55.42300947;0.383929405
63;-0.669460995;55.41117296;0.41885296
65;-0.874441406;55.37117524;0.528879118
67;-0.961060468;55.24714767;0.644437699
69;-1.341780364;55.21907807;0.77694712
71;-1.534261326;55.09102945;0.924577964
73;-0.921750196;55.20100053;1.026728341
75;-1.246643997;54.86001308;1.119691982
77;-1.112766811;54.8445991;1.308161843
79;-1.132692731;54.67290672;1.46508241
81;-0.987912535;54.60876509;1.64743737
83;-1.07788593;54.50160059;1.900920871
85;-0.569613916;54.34960467;2.075909915
87;-0.729476619;54.23210954;2.074821418
89;-1.016511708;54.08132271;2.112709052
91;-0.835743166;53.61155164;2.032543983
93;-0.57486869;53.61155164;1.856789001
95;-0.702723299;53.691351;1.735222672
97;-0.6948377;53.66562728;1.697445649
99;-0.86189767;53.47980395;1.645613101
101;-1.013797564;53.25954464;1.579986645
103;-1.090136308;53.16235131;1.486210754
105;-1.14093305;53.04672741;1.3933799
107;-1.131288601;52.80831235;1.267914866
109;-0.747606907;52.78474701;1.126523363
111;-0.914017712;52.31878806;1.061706255
113;-0.983316854;52.59426353;1.025614705
115;-0.764343058;52.40184293;1.00313262
117;-0.723839067;52.40184293;0.979926367
119;-0.813048476;52.04462293;0.945179428
121;-0.685235813;51.98720017;0.94952813
123;-0.693775249;51.7155502;0.936502807
125;-0.645179434;51.15040455;0.958632852
127;-0.398150869;51.44162882;1.006746203
129;-0.771679657;51.3112654;1.042701607
131;-0.535572125;51.17599756;0.985164737
133;-0.378534673;51.03115979;0.961657363
135;0.028494845;50.84037149;0.862462185
137;0.127336086;50.84037149;0.73985856
139;0.468766816;50.54649223;0.698132085
141;0.640359152;50.39746789;0.694265056
143;0.176099557;50.29285873;0.705524326
145;0.233637362;50.22940495;0.712073895
147;0.243708862;50.04195413;0.715359017
149;0.123648761;49.94256707;0.692416541
151;0.533050254;49.86586143;0.663345376
153;0.473682297;49.47287368;0.629677866
155;0.796011338;49.47287368;0.58671721
157;1.207947346;49.15566425;0.600410778
159;0.833225974;49.01460378;0.585093834
161;1.09475552;49.01460378;0.578626757
163;1.01163738;48.64069534;0.599967717
165;0.836254869;48.64069534;0.611255864
167;0.920306151;48.21575195;0.581587422
169;0.961809013;48.00304294;0.541914888
171;0.93050466;47.87764501;0.516922509
173;1.235213986;47.66202924;0.438869057
175;2.036507995;47.66202924;0.45632811
177;2.242755366;47.43762782;0.446660251
179;2.610478614;47.21791708;0.442468521
181;3.338146014;47.05428392;0.379555262
183;3.809335737;46.88009728;0.35692182
185;6.241455775;46.67815925;0.288401896
187;7.286205976;46.43989205;0.249507983
189;8.774880398;46.38394946;0.225102869
191;11.08265986;46.41794616;0.251570777
193;13.69176199;46.10762114;0.266297726
195;14.84123195;46.08674184;0.254400625
197;16.6892957;45.73253307;0.22608685
199;19.50067724;45.53079004;0.176280832
201;22.10559944;45.46414986;0.135441754
203;23.4445375;45.13731426;0.097787722
205;25.25056862;45.13731426;0.101275351
207;26.11594779;44.94573954;0.121949808
209;26.88650607;44.78456047;0.189723773
211;28.0780987;44.68110791;0.241462796
213;28.9777777;44.1806788;0.251519578
215;29.18016059;43.36142972;0.240654592
217;28.3637822;43.36142972;0.217103547
219;29.40454557;42.86656117;0.15199996
221;29.88358352;43.44265567;0.107381059
223;30.93086072;43.2646312;0.11672266
225;31.15806428;43.09101134;0.154332386
227;32.40280022;42.93457224;0.178956372
229;32.32787323;42.74055468;0.219599424
231;32.33391664;42.51484345;0.21589795
233;33.60859611;42.37226531;0.179414149
235;34.09698948;42.16004326;0.125348537
237;34.38712325;41.98675286;0.097702196
239;33.4733365;41.88043746;0.084234061
241;33.33274697;41.71520092;0.113253386
243;34.45295743;41.55033617;0.155171921
245;35.14257047;41.35185883;0.183028117
247;36.00821813;41.17658202;0.199855556
249;36.03606464;40.97290775;0.185974926
251;37.08417372;40.7414821;0.153194937
253;37.91843237;40.6160665;0.103056344
255;38.41395957;40.43554402;0.092247673
257;38.55967593;40.28947465;0.095682955
259;38.59634882;40.14662276;0.13118348
261;38.25355587;39.98318942;0.169068818
263;37.75985074;39.75706409;0.202626241
265;38.0650162;39.58033121;0.199050734
267;36.88221911;39.35095841;0.174501905
269;36.87252787;39.19875409;0.12809397
271;36.5582392;39.05947163;0.104150017
273;36.71522076;38.87372812;0.102744746
275;36.6786666;38.6613716;0.096772032
277;38.08164279;38.42113031;0.139485002
279;37.75549282;38.3423954;0.188035418
281;37.322664;38.13106317;0.186674593
283;37.25667817;37.90967833;0.184026353
285;37.47924233;37.69857109;0.183568889
287;37.98126909;37.3934671;0.148058318
289;39.61309532;37.16691534;0.15520634
291;40.08567659;36.99236335;0.1758771
293;41.52870088;36.8521434;0.21368655
295;42.40917962;36.65850298;0.242190094
297;43.60836832;36.38277251;0.262707746
299;44.93423603;36.12848758;0.207994384
301;46.83567923;35.86774467;0.17395273
303;49.12668046;35.66455093;0.12336707
305;49.51735706;35.46715198;0.124175348
307;51.77195771;35.30545541;0.145375955
309;50.66744127;35.06707196;0.180648757
311;52.00642853;34.89236783;0.20340472
313;53.42333247;34.70622896;0.219846496
315;52.57020367;34.45288098;0.180531921
317;55.77043125;34.33940743;0.131723679
319;54.28504608;34.33940743;0.090589343
321;56.60116343;33.95761709;0.102106611
323;56.60985421;33.77354928;0.111075285
325;58.46154537;33.42727865;0.128609574
327;59.6303328;33.14848285;0.169803232
329;59.27937358;32.93626026;0.171122038
331;61.17466067;32.69804127;0.144246919
333;62.18138189;32.49817484;0.133624643
335;63.32033616;32.51427024;0.151146441
337;65.43942594;32.13789111;0.171316714
339;66.15388173;32.04609881;0.228574181
341;67.99014301;31.80929999;0.260001673
343;68.85541128;31.45191071;0.288405137
345;70.19929348;31.70616457;0.293870976
347;72.13254659;31.10070512;0.272483205
