Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 15:41:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;195;104.27;33.21;;;56.74;29.04;11.00;;113.07;;37.72;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. Unidentifiable end flame.
;2010-11-10;c_LSFIRE_IN-1-10_35f;4.0;;;;;;;;;;;5.67;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.711248256;56.74;0
3;4.768826198;56.34512066;0
5;5.835103515;56.34512066;0
7;6.697393731;56.54426817;0
9;6.753686328;56.00177394;0
11;5.921117989;56.56142321;0
13;4.412429946;56.61485814;0
15;3.265676161;56.70344904;0
17;2.346758457;56.5908653;0
19;1.572799759;56.55728003;0
21;1.22785819;56.55950376;0
23;1.186176565;55.864592;0
25;0.767873633;56.53222434;0
27;0.572695632;56.50672562;0
29;0.621392713;56.50921024;0
31;0.524597027;56.51207682;0
33;0.548845471;56.26522219;0
35;0.218775631;56.56706585;0
37;0.309770659;56.50252458;0
39;0.388166502;56.54154998;0
41;0.178242774;56.58264644;0
43;0.147053387;56.63981526;0
45;0.073246869;56.63981526;0
47;-0.2856834;56.63981526;0
49;-0.631926383;56.45626923;0
51;-0.763415743;56.32793562;0.099823439
53;-0.567121226;56.38368535;0.190721983
55;-0.380062421;56.44159881;0.422343548
57;-0.076554747;56.31384698;0.663074626
59;0.228006203;56.21660436;0.864080744
61;0.647399653;56.15706288;0.952079305
63;0.616592045;56.15706288;1.030318927
65;0.312463885;56.15706288;0.938270985
67;0.370100617;56.15706288;0.810029405
69;0.384212297;56.15706288;0.703285406
71;0.462670418;55.68199739;0.604092349
73;0.204828553;55.5694174;0.588092831
75;0.25888886;55.55085076;0.606411176
77;0.223178036;55.45622777;0.706689497
79;0.320007188;55.35703838;0.808656514
81;0.334994486;55.30411774;0.896746951
83;0.756098429;55.24832354;0.950612121
85;1.121659799;55.11926243;0.995456936
87;0.955243788;55.07923525;1.051318688
89;0.998179084;54.84125947;1.087220316
91;0.903796689;54.90130882;1.153192799
93;1.054863019;55.119361;1.148180397
95;1.156631952;54.65054082;1.131556026
97;1.289321925;54.42687011;0.979097554
99;1.27582895;54.39604;0.859679587
101;1.318925119;54.30601715;0.703101484
103;1.386699616;54.1804419;0.61627857
105;1.358421826;54.1804419;0.512597241
107;1.56270726;54.06847101;0.497651189
109;1.344815736;53.91255315;0.498662202
111;0.940763117;53.82938471;0.498030495
113;0.841773245;53.70522428;0.471128969
115;0.722706418;54.13238604;0.488678382
117;0.872231321;53.60678007;0.466461297
119;1.101498312;53.37883064;0.443052689
121;1.265559671;53.29656273;0.453451789
123;1.206367374;53.13584919;0.473346469
125;1.848252726;53.0156964;0.443496558
127;2.040444618;53.0156964;0.451723329
129;2.156819139;53.0156964;0.38944623
131;2.214048393;52.59393567;0.400287023
133;2.250390454;52.19806151;0.370489014
135;2.020475924;52.10130586;0.396468906
137;1.99371785;52.10130586;0.382622685
139;1.735811933;51.77818112;0.441802458
141;1.473085684;51.65734584;0.394264775
143;1.33731565;51.5831034;0.365503256
145;1.408136141;51.5831034;0.37097223
147;1.333367092;51.28886361;0.377013231
149;1.243144395;51.17556576;0.395714305
151;0.268466387;50.93802017;0.389240999
153;1.039289112;50.87020571;0.411241368
155;1.359493739;50.87020571;0.375532711
157;1.366495343;50.51049734;0.349618358
159;1.384702743;50.34684168;0.290775211
161;1.216015;50.18856563;0.318732131
163;1.080353455;50.01435166;0.282405758
165;1.238950383;49.95948478;0.300139607
167;2.146029904;49.73625764;0.294916917
169;2.269735903;49.61896929;0.28399666
171;2.320592578;49.59413592;0.249611036
173;2.886417122;49.30417431;0.259971078
175;2.937505213;49.13917777;0.212869953
177;2.861804097;49.02432637;0.17553286
179;2.700108611;48.80402902;0.144235544
181;2.831385999;48.63522466;0.097953293
183;2.650033999;48.4739497;0.052317127
185;3.179654414;48.30715639;0.026259695
187;2.839728485;48.18596807;0.018422891
189;1.683657155;48.09134562;0.045227032
191;3.128895503;47.9457375;0.078571098
193;3.453449346;48.01367356;0.082866135
195;4.704584176;47.61495318;0.072420047
197;6.594406004;47.49341704;0.069301474
199;8.24178355;47.41940499;0.037639103
201;10.3161255;46.70498289;0.004295038
203;11.64282756;46.7250719;-1.02002E-16
205;12.54022054;46.84468748;-1.02002E-16
207;13.85327803;46.87067388;-1.02002E-16
209;14.71734712;46.03548703;0.001700337
211;15.73717779;45.90465675;0.001700337
213;17.56517231;45.61521535;0.001700337
215;17.34671429;45.73666488;0.001700337
217;18.1008361;45.25023353;0.001700337
219;19.54932493;45.06754938;-1.02002E-16
221;19.21281354;45.52305813;-1.02002E-16
223;18.88480156;45.31859262;-1.02002E-16
225;18.66750242;45.23908263;-1.02002E-16
227;18.47375252;44.971662;-1.02002E-16
229;19.02975517;44.62309891;-1.02002E-16
231;19.4693399;44.03504475;-1.02002E-16
233;19.93437116;43.89282047;-1.02002E-16
235;21.88632521;43.89282047;-1.02002E-16
237;23.23664172;43.78222153;-1.02002E-16
239;24.46090385;43.6685278;0.00279944
241;25.15874483;43.31059959;0.00279944
243;25.43693044;43.27553523;0.00279944
245;26.14835415;43.27553523;0.00279944
247;28.1629868;43.27553523;0.00279944
249;29.04215674;42.69197936;-1.02002E-16
251;29.37657216;43.16767109;-1.02002E-16
253;29.31512172;42.39082516;0.011850617
255;30.02447896;41.99429852;0.011850617
257;30.4836237;42.12741602;0.011850617
259;31.01820674;42.02639558;0.011850617
261;30.59828188;41.18455089;0.011850617
263;31.80823047;41.93371668;-1.01308E-16
265;32.2667251;41.44438309;-1.01308E-16
267;32.6986863;41.32793528;-1.01308E-16
269;31.85000025;41.32793528;-1.01308E-16
271;32.19826859;40.93519235;-1.01308E-16
273;32.43994149;40.79712702;-1.01308E-16
275;33.56138034;40.62137664;-1.01308E-16
277;33.88552598;40.35320986;-1.01308E-16
279;34.63165975;40.11545212;-1.01308E-16
281;34.63582765;39.98366264;-1.01308E-16
283;34.7253725;39.71541014;-1.01308E-16
285;34.96270988;39.58014765;-1.01308E-16
287;34.46427067;39.48749286;-1.01308E-16
289;35.2830124;39.13429925;-1.01308E-16
291;37.47627903;38.98493152;-1.01308E-16
293;37.68245833;38.76722005;-1.01308E-16
295;38.36625333;38.57666425;0.00364357
297;39.13638615;38.61968016;0.00364357
299;38.05459809;38.52849964;0.00364357
301;39.4913173;38.10586516;0.009031252
303;41.79474321;37.86938723;0.009031252
305;44.49037742;37.5913441;0.005387682
307;44.97423512;37.35007692;0.005387682
309;46.86478179;37.15082709;0.005387682
311;47.3306706;37.10843903;-1.00614E-16
313;48.99300565;36.86964576;-1.00614E-16
315;49.46750074;36.86964576;-1.00614E-16
317;49.29760419;36.19140262;-1.00614E-16
319;49.37718858;36.2432647;-1.00614E-16
321;49.87179522;35.77571416;0.001506781
323;50.93330209;35.77571416;0.001506781
325;51.14097591;35.31837371;0.001506781
327;52.55198496;35.09490496;0.001506781
329;54.20592768;34.80364533;0.001506781
331;56.01349871;34.60585798;-1.00614E-16
333;58.30662243;34.35990602;-1.00614E-16
335;58.85226498;34.16237421;-1.00614E-16
337;59.33454236;33.96792594;0.002684832
339;60.75258754;33.79461358;0.002684832
341;61.55334715;33.61106487;0.002684832
343;63.4578314;33.41336859;0.002684832
345;66.5853746;33.2401473;0.002684832
347;65.97321131;33.04566207;0.004700297
349;68.22061667;33.42939329;0.004700297
351;68.75589945;32.65115826;0.004700297
353;69.57252366;32.37058015;0.004700297
355;73.15824144;32.09741198;0.004700297
357;72.53337945;32.00830358;-1.00614E-16
359;75.96231347;31.78652929;-1.00614E-16
361;76.79633669;31.648007;-1.00614E-16
363;78.69532309;31.49236396;-1.00614E-16
365;79.25434688;31.38112646;0.010440466
367;80.77516859;31.24758145;0.041041093
369;81.32957394;31.07556765;0.070565429
371;83.80368189;30.89989763;0.095276427
373;85.54701113;30.72043103;0.115639415
375;86.57856618;30.58134196;0.11594795
377;89.34477769;30.37752306;0.115794299
379;93.01070039;30.13933246;0.13934957
381;93.84576893;30.03598543;0.169190514
383;95.92782127;29.88006811;0.179763514
385;95.24078361;29.76592545;0.250551271
387;97.01262501;29.60153855;0.303396667
389;99.93054382;29.44704193;0.348587995
391;99.48563689;29.27854292;0.400213944
393;102.0725957;29.13674959;0.483092957
395;101.1032563;29.01743197;0.500586815
397;102.2404953;29.01743197;0.528915146
399;101.6595946;28.7082973;0.532368334
401;102.7460344;28.53045658;0.509027521
403;104.2654016;28.39241108;0.449896787
405;101.7507648;28.22666509;0.438157092
407;103.5057259;28.04384762;0.415937527
409;103.170492;27.83590803;0.431269873
411;100.9724654;27.8515363;0.475482614
413;102.4510322;27.85639948;0.56471689
415;102.531206;27.64081049;0.612307856
417;100.9291432;27.46730366;0.653503224
419;100.6688254;27.46730366;0.630258934
421;100.2480483;27.46730366;0.600908381
423;101.0146379;27.11422041;0.58904161
425;100.7636953;26.96185645;0.555728736
427;100.7004973;26.82354738;0.514926975
429;100.5571768;26.72630477;0.495432406
431;99.649988;26.58007522;0.490500998
433;95.41475254;26.49450091;0.452485528
435;94.95135306;26.44516737;0.432389529
437;95.5317983;26.37893808;0.431311607
439;96.85175202;26.23214872;0.444763869
441;92.49017907;26.14145623;0.411905404
443;91.61666897;26.06449185;0.38778894
445;90.89614458;25.90678847;0.358710958
447;87.32793072;25.84216202;0.30202981
449;87.29297485;25.70159868;0.266654736
451;85.73485242;25.70159868;0.244406056
453;86.46728683;25.57599397;0.221465582
455;84.67029098;25.49424945;0.230778648
457;82.76865859;25.49127197;0.253149568
459;81.36135015;25.4019809;0.254012599
461;80.51679769;25.31618158;0.253128292
463;78.09677755;25.20069965;0.2372983
465;76.75314543;25.12184635;0.203686976
467;76.92500161;25.12184635;0.157703692
469;72.52815546;24.99674843;0.104445866
471;73.19563927;24.91562157;0.067669458
473;70.64249859;24.88305469;0.036520086
475;70.48221203;24.88305469;0.029215807
477;69.06228503;24.74047012;0.045224871
479;68.37081486;24.72839522;0.067301565
481;67.00088618;24.63640363;0.084422458
483;65.14219208;24.63586631;0.096831801
485;64.02982655;24.56045817;0.079890211
487;63.099353;24.47612134;0.055457836
489;60.90166076;24.41850252;0.033381142
491;59.83618389;24.34063492;0.016260249
493;59.88438849;24.30275701;0.003850906
495;58.30139505;24.26744837;-2.06779E-16
497;56.53530874;24.26395607;-2.06779E-16
499;56.14270904;24.19156183;-2.06779E-16
501;54.80381691;24.18779472;-2.06779E-16
