Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 16:15:37
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;34;188.17;65.62;;;56.64;40.82;14.63;;326.00;;103.95;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. Unidentifiable end flame.
;2010-11-08;c_LSFIRE_IN-1-10_75b;4.0;;;;;;;;;;;5.67;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.637461307;56.64;0.016594907
3;6.031192394;56.39723671;0.039840542
5;4.59099879;55.83251202;0.049278387
7;3.820477324;56.57871701;0.052301286
9;3.409555324;56.40943678;0.052301286
11;3.164434344;56.4526423;1.128115855
13;3.115668213;56.4526423;2.240502479
15;4.007291543;56.4526423;2.438322725
17;9.516923108;56.32725727;2.856933818
19;23.22916746;56.12668297;3.723595643
21;29.70843286;56.04717036;3.278048272
23;26.64513191;55.72966178;2.402742421
25;29.86425987;55.65156324;2.434024009
27;37.93106673;55.42693172;2.144895196
29;39.20785437;55.20161906;1.329499819
31;42.16221964;54.99142283;0.700343191
33;45.63893228;54.51232676;0.459592634
35;52.41499992;54.28276497;0.273753755
37;60.8941726;54.15042439;0.184770066
39;69.34075545;53.91087609;0.179012962
41;73.80875788;53.91087609;0.170320028
43;75.00767952;53.34581952;0.166870415
45;76.91567604;53.21628946;0.158767513
47;76.43355792;52.90894995;0.15046319
49;78.13565968;52.67172158;0.164133456
51;78.40570867;52.49312264;0.187580343
53;80.22770623;52.49312264;0.18318248
55;78.98166428;51.83508117;0.158045571
57;79.49929465;51.83508117;0.144350242
59;82.2935623;51.10780401;0.126164309
61;77.8389115;51.18022708;0.169178026
63;77.04442324;50.64681157;0.188556699
65;79.67712891;50.53799494;0.188550242
67;80.77884682;50.21738598;0.186208167
69;82.56053362;50.04553813;0.194035815
71;82.24439143;49.94380675;0.185981463
73;82.60906303;49.53701204;0.165102347
75;82.79491285;49.53701204;0.18413542
77;81.76986274;48.86922747;0.196282154
79;82.95000753;48.1486276;0.178925729
81;88.0127964;48.1486276;0.165637559
83;87.55356536;48.30880224;0.207397164
85;86.92475111;47.99042606;0.215408373
87;85.80445039;47.99042606;0.196802815
89;86.09541068;47.19094401;0.187134369
91;86.15820794;47.03446615;0.170258759
93;87.36014175;46.75366478;0.148553233
95;87.86242642;46.49669398;0.171184865
97;89.87674179;46.00089125;0.21461299
99;93.09955694;45.62435876;0.197438425
101;95.88109607;45.27362637;0.193309139
103;95.05892385;45.02038905;0.209473472
105;97.18184406;45.02038905;0.183674817
107;96.51319511;44.44706429;0.167558054
109;98.97366544;44.11311756;0.186542546
111;96.67043185;43.65798849;0.188550206
113;97.4689784;43.09658104;0.189142943
115;98.85551204;43.03014946;0.200289198
117;99.12564472;43.03014946;0.208864274
119;99.78149939;42.48726309;0.187046316
121;99.94147371;42.21658458;0.168933269
123;101.3883059;41.84158199;0.148774575
125;100.7719079;41.58870872;0.156203493
127;103.7701046;41.58870872;0.169710823
129;101.9158589;40.94693725;0.208492024
131;104.2459983;40.6162569;0.230580055
133;103.2821462;40.40363237;0.23261276
135;103.7491211;39.98358529;0.216098083
137;106.8076649;39.66425694;0.227692439
139;106.6367322;39.36270928;0.248045809
141;108.422962;39.04484944;0.250768557
143;108.008301;38.75936572;0.255919532
145;108.7448644;38.35918811;0.22659698
147;109.0490076;38.01327069;0.217592547
149;106.710428;37.70862639;0.227821758
151;107.6600111;37.55124479;0.23134646
153;108.4501166;37.23111573;0.234154139
155;110.9089027;36.92551912;0.230816593
157;110.9416361;36.55628327;0.191652527
159;109.4625289;36.27244262;0.176440613
161;110.5742597;36.0493458;0.199921641
163;110.690994;35.48728284;0.236774663
165;113.0594352;35.33426087;0.257857598
167;111.2268455;35.33426087;0.265164962
169;115.9333781;34.60331216;0.259050264
171;115.0650675;34.15266869;0.242787742
173;118.1357029;33.89698385;0.231135465
175;116.280997;33.59254079;0.258094326
177;119.2875534;33.16652144;0.26567007
179;125.0620482;32.85855738;0.287189324
181;128.8161602;32.46344883;0.330639349
183;132.8435333;32.46344883;0.404739304
185;134.8532469;31.82678913;0.43196936
187;138.0540268;31.40436232;0.513815761
189;147.6836847;30.97163512;0.613403628
191;153.4069124;30.54256131;0.69195949
193;157.7692389;30.14946736;0.787043628
195;163.0539409;29.8820136;0.94042143
197;164.6275744;29.49647734;1.086901498
199;164.5345899;29.09794974;1.181513153
201;167.6773586;29.09794974;1.32523199
203;172.1373532;28.35158247;1.380069579
205;169.5467012;28.35158247;1.484743244
207;170.5381881;27.85685483;1.548639944
209;168.8558101;27.58014374;1.628341754
211;173.8428138;27.29596572;1.677716024
213;175.4017572;26.97242989;1.863949649
215;178.0062306;26.80208738;1.928849475
217;177.5294985;26.53253094;2.076075406
219;185.4392408;26.3514738;2.193257261
221;188.1733828;26.08472948;2.365743542
223;185.0916199;26.08472948;2.404095335
225;185.3653201;25.93977284;2.457145351
227;181.5860243;25.33729085;2.46286738
229;176.626643;25.40473561;2.41464171
231;176.9057837;25.08420512;2.266090258
233;170.5898593;24.98978535;2.086346129
235;161.847999;24.98978535;1.9561618
237;157.4928951;24.50006592;1.7705692
239;149.2882264;24.40845985;1.676711275
241;142.1812635;24.29188322;1.581253112
243;140.847724;24.18680005;1.531988684
245;136.0375343;24.0309665;1.388978675
247;131.7472743;24.02554406;1.294778436
249;129.0178394;23.3832991;1.179362473
251;128.1532229;23.5830129;1.124831495
253;121.2734119;23.68487879;1.061466847
255;121.1602458;23.56172509;1.039644719
257;115.3089867;23.40938212;0.961085353
259;112.522946;23.31433565;0.859132396
261;107.6255287;23.31433565;0.728126608
263;107.4339799;23.19042394;0.622435933
265;102.8400091;23.15157164;0.536110131
267;97.71681144;23.15157164;0.46213093
269;98.50827093;22.9593141;0.390353502
271;93.85420091;22.8671817;0.288443824
273;90.87189187;22.82231977;0.201937312
275;88.83354209;22.74458476;0.160450342
277;85.99946347;23.42765444;0.132862346
279;83.99797272;22.64882031;0.123513752
281;82.38787893;22.54309977;0.127497482
283;80.27689847;22.54309977;0.103353337
285;77.48806563;22.50377239;0.075143322
287;74.07180355;22.49600225;0.063411227
289;73.68575748;22.41501954;0.076604
291;71.94061329;22.28859838;0.063916725
293;70.60419759;22.27724585;0.066498397
295;68.94143487;22.309228;0.08804136
297;66.86379458;22.19938966;0.104468712
299;64.99987337;22.22081946;0.093348655
301;64.46544213;22.18784548;0.124424568
303;63.29849642;22.05784246;0.131406947
305;62.40212053;22.05055756;0.112526016
307;60.77805263;22.03084769;0.096477112
309;60.49415276;21.97551401;0.109162817
311;61.59104723;22.03764683;0.090779336
313;60.1432623;22.01094672;0.092916691
315;58.33391389;22.01094672;0.081594114
317;57.82255085;21.40214068;0.085772395
319;56.58512247;21.87775632;0.080164015
321;58.08628921;21.86879205;0.093569185
323;57.24580158;21.8233835;0.088671557
325;56.03276455;21.73329506;0.088945828
327;55.6419721;21.75654568;0.115066554
329;54.10684825;21.69650701;0.106799982
331;53.35149732;21.7238653;0.105569481
333;54.68187943;22.28539125;0.096800648
335;53.94374345;21.58269284;0.102278932
337;53.95102916;21.57830172;0.099043771
339;52.50844409;21.54572223;0.087134972
341;52.29605502;21.53283285;0.091001034
343;52.59331267;21.53283285;0.091001034
345;52.46996697;21.47308724;0.080942928
347;52.10136729;21.40565262;0.048573303
349;50.93442367;21.37058397;0.074081595
351;51.07834142;21.4342248;0.054922578
353;51.25972035;21.38001373;0.071543606
