Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 16:19:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;36;216.53;64.63;;;56.72;39.98;15.68;;407.55;;107.49;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. Unidentifiable end flame.
;2010-11-08;c_LSFIRE_IN-1-10_75c;4.0;;;;;;;;;;;5.67;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.799484669;56.72;0.073707996
3;6.639903517;56.72;0.11351611
5;5.620481258;56.65267642;0.148744111
7;5.166290622;56.79014957;0.175808626
9;4.72692827;56.25759776;0.187708541
11;1.062668154;56.3319938;0.237748691
13;16.72488881;56.08279314;0.825573304
15;57.23408196;56.11381124;1.095547013
17;52.06934927;55.86973996;1.439692565
19;35.50911943;55.82326913;1.933184134
21;24.02525989;55.70302629;2.144223688
23;20.21838782;55.70302629;2.048600121
25;24.67056913;55.26331472;2.3687942
27;30.1382883;55.08881383;2.296387299
29;28.72577076;54.94680382;1.924043178
31;26.38395911;54.66249822;1.700484688
33;30.26958204;54.4682501;1.202748034
35;40.45971364;54.19645326;0.619825425
37;52.79274706;54.01196586;0.399853202
39;61.25448509;53.78864004;0.328042445
41;68.65086753;53.49272567;0.318875492
43;72.12670757;53.35936979;0.327933129
45;78.37783755;52.9734716;0.306957663
47;79.53971466;52.65383791;0.241584657
49;82.17996768;52.38037185;0.23055394
51;84.71802689;52.42650852;0.221145011
53;83.15941256;52.18764509;0.219176126
55;82.0243299;51.96966111;0.233062281
57;81.66978338;51.67118392;0.241714796
59;82.38175373;51.30398296;0.252765579
61;80.13357027;51.30398296;0.282982362
63;81.08119956;51.03602368;0.328747956
