Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Transparent polycarbonate;;;;IN3-1;Polycarbonate sheet;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 16:52:08
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;136;275.87;37.94;;;32.05;26.38;12.55;;3525.60;;82.82;0.0088;Flashing from 118s. Intumescence after ignition. End flame at 538s.
;2010-11-10;c_LSFIRE_IN-3-1_35a;2.3;2.3;;;;;;;;;;3.09;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.045639233;32.05;0
3;4.92694282;31.91173271;0
5;4.685345581;32.01356207;0
7;4.655304954;32.01356207;0
9;5.171050379;31.92234244;0
11;5.51146698;31.794649;0
13;4.906844056;31.76321033;0
15;4.159457029;31.73718285;0
17;3.341413308;31.79460722;0
19;2.498065153;31.85582869;0.006438172
21;1.873953818;31.85694725;0.006438172
23;1.774618062;31.79576489;0.006438172
25;1.371152892;31.80154198;0.006438172
27;1.413286488;31.76360354;0.006438172
29;1.468539048;31.81125708;0
31;1.637896599;31.82208325;0
33;1.292530033;31.84659519;0
35;1.324789603;31.74397351;0
37;1.029555827;31.8640122;0
39;0.961245052;31.84421932;0
41;0.830176535;31.79958986;0
43;0.603213847;31.78167678;0
45;0.840432233;31.79827951;0
47;0.85103258;31.78145286;0
49;0.955516873;31.78145286;0.00095897
51;0.889438516;31.83465368;0.016685756
53;0.617927338;31.82383877;0.016685756
55;0.557507622;31.83124175;0.016685756
57;0.642776612;31.76944974;0.016685756
59;0.641141495;31.75888715;0.015726786
61;0.889444246;31.74898669;0
63;0.888664113;31.77486148;0.007052076
65;0.930668515;31.77994858;0.034674549
67;0.922553902;31.79903004;0.074105322
69;0.731854175;31.79586185;0.115409841
71;0.775212178;31.82970747;0.164978078
73;0.688867649;31.68894217;0.17913849
75;0.855542008;31.72413617;0.195211137
77;0.833183914;31.68049027;0.216364624
79;0.943578255;31.69439248;0.206514414
81;0.720860264;31.69439248;0.224684214
83;0.706648419;31.72696954;0.297562295
85;0.497466735;31.56657743;0.335562717
87;0.634923202;31.9052024;0.380469298
89;0.647520556;31.9052024;0.423581368
91;0.942001212;31.71623499;0.424620028
93;0.933096728;31.63266208;0.419132553
95;1.126218708;31.64225772;0.450642835
97;1.138778682;31.67651852;0.449755787
99;0.755673519;31.6931716;0.46587258
101;0.866851713;31.66824073;0.533419646
103;0.906234448;31.73329253;0.53300062
105;1.003158641;31.66190435;0.501769544
107;1.073779475;31.54771508;0.497860555
109;0.789625479;31.56181122;0.517729565
111;1.193704596;31.545411;0.488589841
113;0.825348374;31.5477483;0.508232685
115;1.145600869;31.59422489;0.568125955
117;1.439319743;31.558095;0.603197832
119;1.525375793;31.56140408;0.584051945
121;1.843832736;31.53344698;0.694453307
123;2.403725393;31.53509215;0.665912785
125;3.009693884;31.49561086;0.658867799
127;2.97468713;31.59685041;0.896273672
129;3.67587738;31.50335723;1.181568775
131;3.35513465;31.4883686;1.200096178
133;4.221682501;31.46709394;1.517640295
135;3.317107009;31.39155455;1.666953175
137;2.620554994;31.29268873;2.653826012
139;6.990226791;31.22633837;5.275993716
141;24.12753332;31.1143948;8.68430593
