Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Transparent polycarbonate;;;;IN3-1;Polycarbonate sheet;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 16:58:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;143;298.16;38.14;;;31.75;27.70;11.96;;3696.72;;84.52;0.0088;Flashing from 119s. Intumescence after ignition. End flame at 802s.;2010-11-10;c_LSFIRE_IN-3-1_35b;2.3;;;;;;;;;;;3.09;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.539647482;31.75;0
3;7.573385077;31.72674537;0.004425574
5;7.606867234;31.87066547;0.004425574
7;7.825236227;31.80518081;0.004425574
9;7.953763724;31.7734266;0.004425574
11;7.086142035;31.67830111;0.005371485
13;5.635696141;31.68671658;0.000945911
15;3.972034675;31.73461656;0.003668192
17;2.781913481;31.72322308;0.003668192
19;2.157724614;31.73762082;0.003668192
21;1.828684946;31.68775211;0.002722281
23;1.204224147;31.68775211;0.002722281
25;1.010350297;31.72743483;0.00334281
27;0.96248558;31.73623869;0.00334281
29;1.061006401;31.76700665;0.00334281
31;1.181655089;31.70208932;0.00334281
33;1.232762517;31.68662498;0.00334281
35;0.831543909;31.76972913;0.009362166
37;0.717305618;31.74532808;0.009362166
39;0.604223646;31.72875589;0.009362166
41;0.831095352;31.72315075;0.009362166
43;0.711093533;31.6286424;0.009362166
45;0.567006844;30.764307;0.009669033
47;0.183139186;31.73891938;0.030372802
49;0.37331141;31.71746151;0.030372802
51;0.781576965;31.71791848;0.030372802
53;0.537940346;31.66496193;0.030372802
55;0.561966179;31.65051116;0.036526782
57;0.34668173;31.66653478;0.044586142
59;0.438612987;31.69629722;0.077601688
61;0.4381262;31.70313234;0.115482736
63;0.504221864;31.69510152;0.139554046
