Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Transparent polycarbonate;;;;IN3-1;Polycarbonate sheet;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 17:08:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;136;300.85;42.59;;;32.22;27.84;13.48;;3877.61;;88.27;0.0088;Flashing from 114s. Intumescence after ignition. End flame at 783s.
;2010-11-10;c_LSFIRE_IN-3-1_35c;2.3;;;;;;;;;;;3.09;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.898914897;32.22;0.210223275
3;5.578880428;32.33532176;0.180256989
5;5.425834315;32.33972797;0.17819049
7;4.997432211;32.18425582;0.18977841
9;4.807178437;32.19052042;0.210626461
11;4.358554659;32.25711238;0.222577318
13;3.563056655;32.24017484;0.228354491
15;2.982439774;32.21052597;0.214759986
17;2.452901884;32.27724008;0.192980936
19;2.127907377;32.27724008;0.174070731
21;1.580011107;32.24463355;0.201847037
23;1.93619768;32.23012224;0.225121275
25;2.060818105;32.21572396;0.213145426
27;2.245318502;32.19251165;0.209252265
29;1.716769795;32.16973594;0.204627044
31;1.691920779;32.1634001;0.202599567
33;1.560150358;32.22876207;0.201239741
35;2.048124114;32.21152025;0.217653261
37;2.144820841;32.19354718;0.218027666
39;2.072291737;32.30796573;0.227476235
41;1.622206592;32.17193771;0.223120413
43;1.568938102;32.19864285;0.235895003
45;1.593998498;32.19449967;0.23319599
47;1.587289092;32.16173297;0.234212132
49;1.560521442;32.10415807;0.227503482
51;1.589297356;32.09957989;0.223249478
53;1.550670182;32.12799074;0.231364412
55;1.591599304;32.13887476;0.248026156
57;1.548731701;32.19708929;0.266785224
59;1.55916746;32.14242759;0.290958199
61;1.573013707;31.31858811;0.298773909
63;1.582665977;32.13176589;0.327353475
65;1.596462588;32.15556587;0.361734848
67;1.59310071;32.16060315;0.390469641
69;1.597133905;32.11167944;0.408736469
71;1.582652862;32.10357629;0.404490505
73;1.575978109;32.07288921;0.421907211
75;1.5946485;32.0875532;0.459161675
77;1.576885732;32.17067504;0.494451898
79;1.607626705;32.13354123;0.538678691
81;1.550679087;32.18424243;0.612983624
83;1.611041538;32.13801066;0.611533002
85;1.568049736;32.00665456;0.633836409
87;1.611238684;31.90476681;0.703882251
89;1.586465745;32.08501608;0.730311962
91;1.577976952;32.06452303;0.750200339
93;1.582775656;32.05477472;0.794285994
95;1.567735704;31.99942355;0.779938208
97;1.718707857;31.97675927;0.747821363
99;2.048403819;31.97404804;0.753191661
101;2.317157169;32.00933258;0.736858732
103;2.279849084;32.00674349;0.748203446
105;2.323220644;32.02147605;0.766489403
107;2.491962981;31.96118993;0.761079454
109;2.56538713;31.94493381;0.755372812
111;2.268342582;31.94140027;0.825025413
113;2.197313796;31.96435008;0.846362783
115;2.50095912;31.96435008;0.860634849
117;2.541273295;31.95659032;0.885669612
119;2.30641569;31.91773045;1.079193722
121;2.579935048;31.85015278;1.032579891
123;2.746852133;31.85694612;1.068405749
125;2.389344536;31.84998939;1.121329602
127;2.813313779;31.88264574;1.224070929
129;3.726041128;31.84018054;1.188053997
131;4.380629284;31.85752469;1.35498698
133;4.36024172;31.76494811;1.640445401
135;3.333895832;31.75206214;1.835103171
137;1.56430446;31.77059449;2.8005735
139;5.116885965;31.7098214;5.924953442
141;19.80738948;31.57683943;9.365231452
143;42.2265353;31.41073398;13.08727641
145;64.34528664;31.41073398;18.04244648
147;82.35736744;30.93158049;23.1650759
149;98.61082255;30.66205514;26.50235365
151;118.7775503;30.38537164;29.03752188
153;141.2846908;29.99676707;33.51834641
155;162.6834229;29.59234138;35.70703376
157;176.8287385;29.35416311;38.4612403
159;188.1846797;28.76342605;39.99616274
161;205.2212901;28.20597426;41.51600201
163;202.5343874;27.89985242;40.45808077
165;202.3366475;27.47814365;40.60893735
167;206.3839864;26.97284484;39.61878839
169;204.5560319;26.49181583;39.32888611
171;217.9004531;26.07905395;40.39211781
173;223.0479724;25.40333614;42.25428361
175;224.821369;24.90065695;44.88223771
177;228.2922212;24.71290452;46.31274095
179;240.228335;23.93063667;48.87220517
181;245.9256096;23.41917452;50.6573035
183;246.3363988;22.91113447;52.01084185
185;256.1221002;22.28077523;51.79160589
187;281.5245537;23.36210747;53.98288537
189;282.6921688;22.47442797;53.40439381
191;284.5066749;21.80988198;54.75955584
193;284.5353672;20.82162571;55.27318513
195;300.8488263;20.85358392;55.89831863
197;299.6410858;20.24984946;53.88337561
199;298.684115;19.42525883;53.87215548
201;288.8040889;18.86391886;50.14233743
203;283.9968944;18.43617915;46.20148348
205;265.9432161;18.13597807;41.8294402
207;248.50487;17.94746403;37.53301676
209;237.4496242;17.54854968;32.36299875
211;226.8545528;17.58128186;29.13358746
213;218.6947096;17.08161145;26.41029733
215;212.4052292;16.95851402;24.65173084
217;207.0935445;16.3510051;23.13200307
219;204.163682;15.90501388;21.87140689
221;198.8596128;15.34053732;19.91225554
223;192.1008759;15.42362305;18.60908174
225;184.8965183;14.51572949;17.17796139
227;181.8868548;15.45001523;16.16394887
229;179.2633101;14.85931632;15.14951593
231;178.4730259;14.31364708;13.94124489
233;170.730627;14.15180384;12.62138252
235;164.9835284;13.8570585;11.59387676
237;160.177579;13.94931249;10.30764286
239;155.5934169;13.76993109;9.000893059
241;147.3033261;13.44499359;8.188961013
243;136.4195758;13.03376953;7.042326706
245;123.7033824;13.10159084;5.717291471
247;115.9062694;13.03058505;4.826133199
249;104.6785725;13.30988314;4.361856652
251;93.90776511;13.04787166;4.027869257
253;89.09418958;13.40355685;3.814781139
255;83.04848054;12.52844425;3.566690195
257;79.88614175;12.84545118;3.529503402
259;76.24120223;12.50921226;3.319672794
261;72.2957899;13.05858019;3.00778339
263;71.01824001;12.9446478;2.924024896
265;66.81358748;11.98309329;2.869896538
267;66.49244575;11.88636688;2.707667708
269;65.38328457;11.71043586;2.688396477
271;63.06947644;11.53292508;2.673030916
273;61.48338376;11.45425319;2.553730573
275;62.17871435;11.8744723;2.477026375
277;61.7396006;12.03213304;2.360716761
279;59.38289238;11.28235557;2.242147651
281;58.8305849;11.44571766;2.130952064
283;59.6713681;10.74217207;1.84095274
285;58.67929768;10.89507657;1.755816217
287;57.48056947;11.23486478;1.621386219
289;56.03053228;10.72758298;1.399761943
291;57.07240745;11.02195005;1.281389874
293;56.52851003;10.97412347;1.189372757
295;55.54154465;11.12819431;0.958304421
297;52.98179327;10.4872909;0.782484211
299;52.34611501;11.06011896;0.678140373
301;51.84278734;10.92840426;0.575305915
303;50.52056003;10.82510438;0.496174513
305;49.686248;10.70766067;0.415775314
307;48.73370206;10.75374191;0.3836089
309;46.95496687;10.77670137;0.349521112
311;45.91642799;10.68209338;0.315390059
313;45.43306397;10.72940193;0.283499276
315;44.00029908;10.61324714;0.266171108
317;44.22237428;10.48897689;0.236587737
319;44.14879744;10.35449278;0.242655676
321;43.54483523;10.31665773;0.260039275
323;43.4947521;10.13637846;0.25638476
325;43.5773503;10.12854959;0.250379595
327;43.72155218;9.99422942;0.237897769
329;43.50136622;9.95786864;0.213288326
