Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Transparent polycarbonate;;;;IN3-1;Polycarbonate sheet;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 17:12:38
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;65;291.47;47.29;;;32.18;31.82;13.05;;4647.58;;124.77;0.0088;Flashing from 54s. Intumescence after ignition. Unidentifiable end flame.
;2010-11-11;c_LSFIRE_IN-3-1_50a;2.3;;;;;;;;;;;3.09;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.71019809;32.18;0
3;4.696029096;32.007003;0
5;5.899541819;32.007003;0
7;6.322845315;32.007003;0
9;6.113702118;32.14915237;0.00532957
11;5.450633548;32.22899845;0.00673906
13;4.552130429;32.2046396;0.010964277
15;3.571404784;32.2396605;0.014710567
17;2.679051389;32.19432622;0.014710567
19;2.040235621;32.19811553;0.009380997
21;1.553546905;32.18851284;0.007971506
23;1.411496502;32.15916735;0.003746289
25;1.485679415;32.14243418;2.77556E-18
27;1.204438176;32.1135443;2.77556E-18
29;0.882818278;32.12919406;0.004617711
31;0.900437642;32.12466303;0.010078098
33;1.033744831;32.25812202;0.021663667
35;1.033247527;32.15098659;0.054276545
37;1.025387527;32.1592465;0.099792501
39;0.864440427;32.16675827;0.148783558
41;0.880912909;32.16877218;0.206406705
43;0.888627648;32.26132951;0.25868497
45;0.880048733;32.1411668;0.321010288
47;0.880918535;32.14366038;0.356330322
49;0.884561381;32.14578926;0.437741853
51;0.878334945;32.06417954;0.509929039
53;0.835798809;32.09018064;0.668868057
55;0.617636304;32.10649938;0.778030961
57;0.487538618;32.4790672;0.920589025
59;-0.060500299;31.99854256;1.04435947
61;0.510248207;32.02222066;1.250677205
63;-0.988756006;32.02264633;1.5450146
65;-1.762367779;32.04484155;3.223950162
67;0.327153785;32.04484155;6.604935905
69;17.59363301;31.94175051;12.87200347
71;48.73995452;31.66982185;19.52970968
73;82.3240618;31.40752153;27.45637375
75;110.6862437;31.01190288;35.19597446
77;136.9623608;30.64159708;40.77443019
79;157.9421041;30.05014771;44.52131684
81;174.989544;29.62939106;47.41441258
83;184.4770062;29.23647882;47.52001202
85;191.4843148;29.23647882;47.83576286
87;202.8607971;28.63371713;48.8149034
89;207.5603631;28.01959287;48.37453358
91;214.3299446;27.45426599;48.66007591
93;217.5312488;27.06264252;50.04323803
95;223.9205528;26.4781461;49.55459412
97;223.0599337;25.9534059;50.46668581
99;220.8238661;25.45712936;53.04067499
101;224.9586335;24.80006334;55.75784322
103;231.3767374;24.82270775;59.73021464
105;249.9983919;24.54313722;63.53041874
107;269.628376;25.23577093;66.37721169
109;281.6318248;24.93377817;65.96169134
111;288.5831167;24.29722445;66.83835618
113;279.0227537;23.77076724;65.93177154
115;291.4710038;24.35213009;65.1435909
117;283.1177938;23.80409907;63.42269705
119;278.0338053;23.32774952;61.27259663
121;271.3858612;22.81245782;57.4826998
123;258.060416;23.16468206;55.29440177
125;248.9172632;22.19621739;51.77918697
127;242.5302211;22.34221143;48.64393716
129;239.0312306;22.5205932;48.40035173
131;231.8501834;22.45825702;47.93357197
133;225.6601657;22.34253102;45.05772638
135;222.6740276;21.77585411;43.79403757
137;216.0604748;21.75116771;41.43962722
139;215.4011854;21.64786778;39.55590338
141;211.6880708;20.88806582;35.28249854
143;206.3697783;20.98772217;32.78617383
145;201.1295951;20.82335812;30.07457618
147;188.8579321;20.18701373;27.99416442
149;184.429084;19.70303078;24.99217478
151;179.0185752;19.37972624;23.02056068
153;181.2283339;19.09002829;22.27430278
155;175.2734995;19.22006199;20.83307132
157;172.6563531;18.73542944;19.52875145
159;165.9552142;18.30201139;18.49035564
161;165.0270319;18.14424651;18.76119621
163;159.0466383;18.000141;17.34129212
165;155.3755318;18.1229307;17.21184532
167;159.0546751;17.52447476;16.68071732
169;153.7486079;16.79840385;15.85051056
171;153.1506649;16.25139784;14.92902538
173;149.0849087;16.01469448;14.32541159
175;145.8558725;16.316903;13.39904879
177;144.9026234;15.98183709;12.41857023
179;142.0118205;15.65100636;11.62409423
181;139.1371846;15.82844989;10.67295568
183;137.2124274;15.58239117;9.656800754
185;135.531212;15.83158449;8.649996987
187;129.3465388;15.59602699;8.077307057
189;131.1576314;15.06128468;6.847908847
191;124.8519154;15.06128468;5.837106196
193;121.4814839;15.30786412;4.542583468
195;113.235215;14.75702858;3.359655567
197;102.4371803;14.65332887;2.295984679
199;94.89175357;14.27447282;1.762465517
201;88.88794245;13.84848716;1.333692073
