Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Transparent polycarbonate;;;;IN3-1;Polycarbonate sheet;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 17:15:10
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;68;291.72;46.98;;;32.13;31.36;13.15;;4382.72;;125.96;0.0088;Flashing from 57s. Intumescence after ignition. Unidentifiable end flame.
;2010-11-11;c_LSFIRE_IN-3-1_50b;2.3;;;;;;;;;;;3.09;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.329338629;32.13;0.099727783
3;8.737659462;32.13;0.080994134
5;8.739201869;32.0511983;0.067103751
7;8.683334398;32.00528059;0.049860158
9;7.373958684;32.05759563;0.020524375
11;6.008394874;32.025525;0.006333321
13;4.121486498;32.04223091;0.020081758
15;2.952988881;32.04660952;0.041665849
17;2.124452809;31.9957239;0.073324482
19;2.126384605;32.01980788;0.084483479
21;2.132298874;32.01980788;0.099317787
23;2.141375517;32.01980788;0.094992593
25;2.129493132;32.00428487;0.076424319
27;2.143986007;31.95725273;0.062611226
29;2.125629554;31.95760674;0.077233398
31;2.138718809;31.66321387;0.105755232
33;2.114931588;32.01702927;0.141194264
35;2.155673376;32.01027846;0.178354643
37;2.123658419;31.96480568;0.181309837
39;2.083719117;31.9162115;0.200755557
41;2.141244095;31.9162115;0.206929043
43;2.118774535;31.88807992;0.242880155
45;2.15233079;31.89930079;0.292832521
47;2.152269213;31.89930079;0.428512903
49;2.139612857;31.87941306;0.553399289
51;2.12196371;31.90136068;0.717340444
53;1.985210965;31.8854259;0.866659177
55;1.939185195;31.86236438;1.024698917
57;1.702214186;31.84253762;1.121122742
59;1.415095288;31.78996001;1.241936279
61;0.708047794;31.72046367;1.359449535
63;0.260160975;31.72211662;1.732969831
65;-1.004567694;31.7765493;2.130914362
67;0.373546926;31.65995184;4.289330543
69;7.706042237;31.61427692;7.002607778
71;28.78585216;31.41952428;12.14399804
73;55.85615266;31.15681808;19.20331304
75;83.4496549;31.10900358;27.90381924
77;110.2770845;30.63558858;34.82647128
79;132.9771408;30.25453999;40.65541717
81;154.4866144;29.68427353;44.20882298
83;175.1095592;29.27978855;46.19260062
85;187.4959702;28.76414836;46.40730305
87;199.7142714;28.27054403;46.20186466
89;203.631366;27.84236972;45.79904952
91;210.4387953;27.37897237;46.79699611
93;215.6004499;26.88347231;46.19606911
95;220.6326011;26.43291669;46.77722623
97;220.5191274;25.89695241;48.13543719
99;227.5616271;25.24914254;50.82320634
101;234.1761246;24.899648;51.60706385
103;248.825618;24.36964362;51.76186154
105;250.4321683;24.39944473;53.53652735
107;253.7046438;23.54951423;54.9081019
109;258.7747275;23.10630775;55.04534884
111;260.9525066;22.62508888;54.79597391
113;268.8915844;22.48545086;57.1695001
115;273.4943532;21.92141863;57.21532102
117;273.7966254;21.3110933;56.35578544
119;282.3271882;20.70747814;57.99648616
121;285.9890486;20.05358591;59.92365485
123;288.4742438;19.904015;59.3249934
125;289.8545825;19.33189465;59.04954535
127;291.7209769;19.35811382;58.38780867
129;290.4561402;18.90204536;55.95582325
131;288.0413952;18.90204536;51.63243439
133;284.0292289;19.6099896;48.61006078
135;277.5895602;18.97321402;43.68929939
137;258.8912439;18.19832748;39.19127
139;246.4948198;18.60549052;34.35845338
141;227.0159364;17.94118573;31.96257197
143;217.6283651;18.36227381;29.51647415
145;209.6621179;18.10049792;26.73842929
147;200.647958;17.53673243;24.77511895
149;190.6994576;17.17646448;22.22204371
151;176.9390271;16.78377673;19.50468825
153;167.9118357;16.50902227;17.06049869
155;160.1608488;16.01328702;15.7465322
157;155.1075256;16.34125012;14.77387079
159;153.3533579;16.20577743;14.28402405
161;148.6571907;15.85182359;14.03630156
163;144.6948155;15.60053059;13.82587109
165;143.244212;15.28967106;13.84327532
167;141.6318788;15.44469805;13.62604282
169;139.440272;15.37189625;13.82334816
171;141.262821;15.18177163;13.35392181
173;140.1974734;14.90993122;12.88816314
175;137.9210366;14.71456429;12.70948446
177;138.0501051;14.62584666;12.53830614
179;140.5078922;14.49017643;11.97454727
181;140.2220023;14.59738854;11.61419759
183;140.475157;14.70552397;11.24325918
185;135.1865852;14.49207579;10.38696381
187;135.9250759;14.38160618;9.401848804
189;133.2787861;14.38100658;8.160975097
191;131.6681618;14.21058199;7.305432115
193;125.7846167;14.16847492;6.113807563
195;120.7547555;13.97631927;5.065974526
197;115.6233516;14.08779158;3.906096985
199;107.922731;13.89195809;3.154228805
201;99.33902734;13.47941059;2.276990092
203;93.31666906;13.77497583;1.636794712
205;85.82176155;13.53791431;1.179683207
207;79.62088982;13.24960833;0.962042874
209;73.04738575;13.31897997;0.911669386
211;68.39566938;13.04622065;0.868572597
213;63.67971899;12.99715725;0.833721818
215;61.30428634;12.83035324;0.802337563
217;59.27282458;12.92511873;0.752680054
219;55.47824902;12.48951566;0.677701862
221;54.22856684;12.57882753;0.577789574
223;53.19275291;12.56903494;0.547439889
225;52.27149839;12.47207417;0.537673
227;52.33966272;12.37068885;0.534316931
229;51.22763662;12.53597109;0.527552547
231;49.96131804;12.15036207;0.526340635
233;49.29850971;11.69008736;0.4612007
235;48.51813685;11.89083583;0.44818183
237;50.19431703;11.93871985;0.393685333
239;48.98376538;11.95261759;0.385616929
241;49.75070396;11.88314329;0.358078
243;49.88222811;12.02058343;0.386597974
245;48.54218206;12.22440654;0.353821451
247;49.7197277;11.38467291;0.384107993
249;50.25835389;12.1153885;0.380324677
251;48.87086391;11.78330883;0.36238067
253;48.48368339;11.79610069;0.291798673
255;48.30385406;11.5940923;0.261508212
257;48.2880996;11.41961322;0.223423903
259;49.24896259;10.74810505;0.176983676
261;49.90187722;11.11097916;0.17675832
263;48.95826201;11.32431017;0.233216588
265;48.13244209;10.77188437;0.252991084
267;49.64923074;10.66290764;0.255916492
269;48.62263028;10.52736581;0.221809897
271;48.66664187;10.33085128;0.197667074
273;47.76672104;10.20255433;0.133676437
275;48.34216722;9.79371944;0.087659496
277;46.98342148;10.21695494;0.101082786
279;46.64352977;10.03802823;0.116816527
281;48.25384087;9.52661538;0.122449294
283;47.04607883;9.9382259;0.138979214
285;47.73785673;9.78341235;0.165291895
287;47.44219514;9.64092156;0.137071293
289;47.50217617;9.73766737;0.156765354
291;47.13503438;9.29955896;0.150103419
293;47.38484321;9.63260308;0.151629079
295;46.44502486;9.78496315;0.129500541
297;46.2671616;9.39013874;0.112381694
299;46.2674874;9.48896881;0.07374681
301;46.77922567;9.40269574;0.078079687
303;45.86252606;9.21248719;0.080429547
305;46.39739498;9.16079141;0.097372691
307;45.70827441;9.16079141;0.128100713
309;46.0924899;9.03259269;0.163072369
311;46.04296655;8.91036496;0.189887697
313;46.8352794;8.7861462;0.18331028
315;46.25863929;8.66487202;0.157984966
317;46.78663709;8.4812434;0.127607001
319;46.58883343;8.28880414;0.095030078
321;46.85131206;8.31365818;0.048513994
323;45.70313274;8.11126275;0.050037768
325;46.40707294;8.11126275;0.072727486
327;45.42605491;8.11126275;0.095525374
329;46.1686888;7.91756666;0.117782266
331;46.60167813;7.77794831;0.133186114
333;45.29296264;7.61072779;0.133454059
335;45.7900417;7.74312955;0.110204124
337;45.32092939;7.46855489;0.088285202
339;44.8568037;7.75567984;0.071853751
341;45.30074762;7.11496463;0.048447014
343;44.41106434;6.88784992;0.040026189
345;43.82348901;6.87893975;0.07141106
347;44.39009738;6.87410498;0.088096905
349;45.55861628;6.87360926;0.133508988
351;44.80932205;6.88714136;0.170681699
353;44.37164384;6.53270885;0.206527436
355;43.82172209;6.54182223;0.209076777
357;44.01696695;6.50214732;0.2155793
359;44.47218359;6.47560023;0.163382063
361;43.36975492;6.39319959;0.138268889
363;43.67467744;6.34040915;0.117600443
365;43.23082719;6.22838121;0.08150792
367;43.42463232;6.210309;0.071265437
369;43.1850837;6.21029135;0.080985617
371;42.95101348;6.23283362;0.110970249
373;42.98718823;6.18296244;0.13222238
375;42.44340803;6.18767582;0.174449282
377;42.89757259;6.15069823;0.178521619
379;42.1370006;6.07221151;0.194624452
381;42.13151137;6.02318257;0.182408554
383;42.64992667;5.93663808;0.169519758
385;41.30624491;5.95879747;0.128928852
387;41.87931278;5.95305896;0.129683977
389;41.88675939;5.88795246;0.126997082
391;41.19028213;5.88219631;0.119475947
393;40.601326;5.86084869;0.118632015
395;40.84568695;5.82709463;0.151002799
397;40.97988462;5.83211229;0.156312092
399;41.29647231;5.82209516;0.164676701
401;41.39522918;5.80037375;0.169070983
403;40.0868878;5.71997151;0.165539635
405;40.25528719;5.6812089;0.136721835
407;39.67305828;5.64804469;0.12734119
409;40.11078927;5.59330772;0.092994944
411;40.51548594;5.6382527;0.090709854
413;39.21868484;5.57223444;0.071053489
415;39.27818901;5.56216865;0.096381179
417;39.92942557;5.55107826;0.130303702
419;39.29406552;5.58699167;0.157751777
421;38.70652295;5.2824701;0.164291903
423;38.58351486;4.97279481;0.172329661
425;39.52968191;4.85857216;0.144624654
427;38.24760318;4.78870987;0.099160052
429;38.67309247;4.7302508;0.085268409
431;39.34133491;4.6999415;0.08798578
433;38.68372845;4.88860393;0.112265005
435;38.80506665;4.72924688;0.139205687
437;39.22372194;4.54856413;0.170128819
439;38.1366489;4.78185496;0.193220182
