Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Transparent polycarbonate;;;;IN3-1;Polycarbonate sheet;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 17:17:34
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;65;332.79;48.41;;;31.87;31.17;13.66;;4709.92;;138.09;0.0088;Flashing from 56s. Intumescence after ignition. Unidentifiable end flame.
;2010-11-11;c_LSFIRE_IN-3-1_50c;2.3;;;;;;;;;;;3.09;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.611351188;31.87;0.030432092
3;5.804244898;31.83454689;0.049605451
5;5.902558366;31.76597741;0.049605451
7;7.450838843;31.81254069;0.049605451
9;7.078202253;31.63721172;0.041002869
11;6.168757319;31.76302898;0.026815021
13;4.492464583;31.76376257;0.033658467
15;3.171155079;31.81555165;0.061308183
17;2.377259408;31.52923044;0.064758447
19;1.50638279;31.5544138;0.064758447
21;1.486863471;31.36524141;0.064343081
23;1.300656546;31.48885893;0.052633404
25;1.284356667;31.51787592;0.064311676
27;1.301730472;31.5279972;0.111226804
29;1.300024946;31.52603036;0.128414504
31;1.293372057;31.51834588;0.146633752
33;1.311308089;31.47940403;0.153312979
35;1.303352095;31.48615902;0.130153705
37;1.301662338;31.4610163;0.141268577
39;1.288885735;31.49816533;0.209026818
41;1.288777701;31.49420664;0.259479594
43;1.299052747;31.47487796;0.318447227
45;1.305120232;31.47487796;0.406926965
47;1.302493788;31.44999106;0.486478911
49;1.291454713;31.48572188;0.566518417
51;1.319028657;31.49209184;0.723710182
53;1.279383363;31.46553404;0.862073257
55;1.191238767;31.46553404;0.953158179
57;0.978758415;31.41145248;1.045665244
59;1.162152877;31.36325946;1.212877549
61;-0.150683923;31.21826201;1.552117991
63;-0.008186137;31.37569197;2.016211031
65;-1.852690364;31.33791668;2.712959654
67;-2.821805115;31.28445044;4.155327809
69;6.087371127;31.33108406;7.544638059
71;27.65757916;31.13091978;12.6381513
73;57.0064579;30.91117203;20.8999632
75;84.6550337;30.64216421;29.74063474
77;114.5079439;30.22214121;37.33222291
79;139.5078627;29.79545179;42.87659547
81;157.2889308;29.31709572;47.40812735
83;174.0544302;28.82898101;47.66637409
85;188.8209247;28.38770729;46.38208863
87;199.5167804;28.19813111;45.34626498
89;208.7167252;27.72448556;46.04857647
91;210.9397196;27.22818307;45.26378764
93;224.0313121;27.22818307;46.80737071
95;229.1939173;26.27522956;48.35315935
97;236.9421514;25.75388074;51.75324324
99;245.1853906;25.28142832;56.0129435
101;256.9761044;24.67819179;58.39003641
103;266.0445102;23.85494857;60.54132361
105;274.5987581;23.17500377;62.02333471
107;281.4993473;22.93563192;63.31422467
109;280.5526061;22.07063544;62.30682305
111;286.4094764;21.19320362;62.49911622
113;285.4427463;20.28262355;62.73317155
115;289.5743608;19.41805802;65.35197345
117;301.5133277;18.55477934;65.74062117
119;315.684896;17.84006238;65.49066892
121;317.649793;16.87524165;65.782707
123;322.2579267;16.55220023;65.69773275
125;330.6763737;15.67725099;63.41651174
127;332.3997939;14.80765261;60.13554344
129;332.7948741;15.67618164;56.53111522
131;330.0139942;15.28853411;53.81229317
133;315.7792998;14.81742591;49.37363269
135;301.537793;14.81742591;45.54566602
137;283.7434779;13.90807631;43.12536355
139;270.7243736;13.47721198;40.96738596
141;256.8791217;13.06096426;37.9829707
143;241.879354;12.61662956;35.78778348
145;234.5719472;12.33594732;33.94620203
147;228.921693;11.98399205;32.0067328
149;223.5427647;12.54691593;29.56196013
151;224.615149;12.03586356;27.18003572
153;219.1449599;11.91162943;23.98593373
155;216.7878538;11.7643735;20.43515631
157;203.5464064;11.69633586;17.01881299
159;191.684097;11.12096202;14.74910587
161;181.8757462;10.44524578;12.75691091
163;170.1094024;10.53249893;11.62843419
165;168.2180835;10.53249893;11.07763227
167;159.8558087;9.56237153;11.05829766
169;156.3927853;9.56237153;10.34351511
171;156.8426202;9.18756393;9.575459718
173;155.2639637;9.05087306;8.631958762
175;145.2896813;9.10077554;7.671698948
177;138.6226939;9.28062433;6.159428016
179;124.0039639;8.82008236;5.0749635
181;114.8429195;8.68032894;4.422503559
183;105.445982;8.58227095;3.805032554
185;98.36025237;8.52336165;3.212393018
187;91.20097734;8.45882381;3.053960455
189;86.31010921;8.45607909;2.819750015
191;80.93021828;8.33821151;2.388080548
193;77.81239806;8.31142812;2.23394566
195;75.63792356;8.25176751;2.200670826
197;72.09527578;8.15910152;2.098468922
199;71.84821918;8.13293136;2.096684707
201;70.24092048;8.1542519;2.192088273
203;70.99093928;8.1542519;2.220660906
205;70.45141454;8.05109992;2.037414462
207;71.32038066;7.97099826;1.817757529
209;70.18949912;7.92789922;1.547776091
211;68.68073286;7.93372627;1.305222416
213;67.41396197;7.88905741;1.061265565
