Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Transparent polycarbonate;;;;IN3-1;Polycarbonate sheet;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-15 17:20:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;32;343.06;50.95;;;31.95;31.43;14.28;;4487.98;;166.53;0.0088;Intumescence after ignition. Unidentifiable end flame.
;2010-11-09;c_LSFIRE_IN-3-1_75a;2.3;;;;;;;;;;;3.09;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.805591032;31.95;0.06883858
3;6.851391003;32.17747248;0.109306189
5;6.253731211;31.99575604;0.138121386
7;5.751590064;31.96122404;0.154526682
9;5.192113567;31.77586885;0.151460386
11;4.03702428;32.30361493;0.178328671
13;2.953976578;31.80315083;0.202194791
15;2.285646634;31.80585676;0.205371774
17;1.933647113;31.808082;0.230109394
19;1.766959337;31.73996458;0.259760118
21;1.414670922;31.64230346;0.311989224
23;0.793109349;31.73755584;0.407093231
25;0.750741753;31.7419048;0.536780884
27;0.518421604;31.66159719;0.848438141
29;-2.431450183;31.71230768;1.311587874
31;-6.361937184;31.68956292;2.029618747
33;-7.895195595;31.64884751;6.20352515
35;7.50676088;31.50485869;13.62031207
37;39.92490933;31.38597843;21.82767012
39;79.40187871;30.99431701;31.4772797
41;114.0605671;30.70140025;41.25183936
43;140.7813834;30.34198901;48.60042369
45;167.1110231;29.81013088;52.47237577
47;188.3131728;29.3213234;54.95253938
49;209.4342;28.73165072;57.15749101
51;219.2942366;28.21567019;58.03833671
53;241.2261975;27.6290514;58.9792134
55;248.7167523;26.97053629;60.15165345
57;262.4059991;26.42408399;63.09464936
59;279.0390637;25.7892946;63.68730083
61;287.1841299;25.3314245;64.82728399
63;292.0339357;24.53357915;65.88369423
65;296.6092466;24.06306489;69.14371489
67;315.6099069;23.5196657;69.5564213
69;333.8789635;23.14957013;70.84895537
71;336.6994829;22.35700809;70.92864916
73;343.0580328;21.67920624;69.63540314
75;341.7695126;21.15680568;64.31938197
77;337.1627146;20.48952536;60.79342552
79;317.5661244;20.07977115;55.86692291
81;300.8696297;19.19831264;51.45651697
83;279.8081203;19.16141746;47.38945403
85;264.1831646;18.96256084;44.42082677
87;255.3451942;18.56890564;41.20639834
89;245.8220443;18.31915269;38.74429597
91;232.579841;17.85901115;37.57466755
93;220.75324;17.53791798;35.55289543
95;217.1182317;17.24146861;34.62069695
97;213.4672241;16.91084654;33.3359339
99;216.669995;16.31545381;32.87875286
101;212.4866098;15.67288082;31.16081895
103;212.9983525;15.45500552;30.12087147
105;209.3526656;14.88052216;28.34354444
107;205.4186758;14.10386189;26.16260356
109;196.0296178;13.70014474;24.09671606
111;188.5182446;13.28992802;23.11725465
113;190.8089419;13.01295738;21.82724501
115;184.4284731;12.05165709;20.602789
117;182.3139661;12.05165709;20.24866042
119;182.5727963;11.45172154;20.12235978
121;179.9032741;12.39091044;19.3756233
123;182.0337207;12.11861695;18.49993225
125;178.8122784;11.75265907;18.14070388
127;177.9120721;11.37007777;16.96925198
129;174.8422498;11.06256743;15.33974089
131;172.1890806;11.07656882;13.80779009
133;170.2238958;10.3980194;13.29048705
135;168.1274348;10.15967873;12.00902691
137;164.0907712;10.1875394;11.79076922
139;159.6907295;10.0982665;11.16999397
141;161.6980264;9.85908558;11.25953255
143;161.1438168;9.61908148;10.47337297
145;156.5513612;9.36618138;9.615669441
147;156.9591718;8.62654255;7.824969075
149;145.1005061;9.24321007;6.053628674
151;137.9367839;9.94024688;3.913925813
153;124.3757677;9.41804416;2.172325191
155;113.2525441;9.34008152;1.056816657
157;105.6996706;9.34008152;0.449698772
159;94.47242615;9.0143879;0.288021543
161;88.92439069;9.41561871;0.214302414
163;85.70376527;9.36910858;0.179661033
165;82.69865516;9.34535272;0.18950916
167;78.23875132;9.03574254;0.192161195
169;77.06667942;9.03574254;0.198888744
171;75.35719217;8.73756377;0.185563543
173;75.71981688;8.37485402;0.196900594
175;72.42389465;8.78205669;0.173627673
177;73.2038231;8.55524608;0.169473661
179;70.14384324;8.45506525;0.164369917
181;68.98258617;8.45506525;0.170987128
183;70.21118161;8.32757316;0.166468139
185;67.87443762;8.08322723;0.16576645
187;67.7431935;7.97058325;0.150134768
189;66.48021392;7.993025;0.136268337
191;66.68683724;7.26016079;0.143203834
193;65.76512451;6.8350996;0.183611721
195;64.2151873;7.9944154;0.210216119
197;64.34885247;7.6664384;0.223619815
199;64.84122088;7.58637035;0.219027664
201;65.93232974;7.55657016;0.243075278
203;64.12272806;7.7333036;0.224808922
205;64.17120577;7.52495457;0.216228991
207;64.23884518;7.48116253;0.203183314
209;65.04918924;7.47371685;0.204871237
211;63.75815955;7.36170692;0.1896247
213;63.11214417;7.26680461;0.174546865
215;62.8347922;7.31515765;0.156693915
217;63.95605193;7.27626718;0.152625677
219;63.13591121;7.27626718;0.158797278
221;62.71268644;7.12655555;0.165349021
223;61.94816871;7.12655555;0.18630704
225;63.22851823;7.12655555;0.184615364
227;61.69703629;7.18258643;0.172825668
229;62.70295921;7.18258643;0.177014878
231;63.62185972;7.18258643;0.202034997
233;61.41233437;7.03321694;0.196227607
235;61.06589074;7.03321694;0.199781653
237;61.83371575;6.70275395;0.200098904
239;62.34119225;6.1759793;0.206641033
241;60.92129104;6.87607125;0.181535416
243;63.04041423;6.81175018;0.183150244
245;60.70839557;6.8585702;0.173713612
247;61.05023104;6.82993393;0.18158171
249;59.70189303;6.71635766;0.171895821
251;61.0967577;6.70724622;0.206388951
253;61.39929816;6.70853017;0.200770734
255;61.43805519;6.69435799;0.207491209
257;60.58527824;6.6075444;0.229076015
259;60.44661541;6.55314702;0.240755586
261;60.3397479;7.17731046;0.223761245
263;59.78870418;6.56657041;0.208554916
265;59.91476602;6.50108859;0.212145365
267;59.46415496;6.41699045;0.183557125
269;59.60557888;6.48687463;0.18424548
271;58.45064133;6.37542418;0.159710802
273;59.53846632;6.37542418;0.163397143
275;58.80754462;6.41784184;0.141538965
277;58.09645431;6.41784184;0.170125717
279;58.40194064;6.59596076;0.179544352
281;57.45322467;6.29164809;0.185335736
283;58.87354277;6.22310815;0.180084207
285;57.89560052;6.13825857;0.176157239
287;58.55729741;6.1412654;0.16261459
289;56.20521639;6.14156629;0.163666346
291;56.07073613;6.13658382;0.149007962
293;58.10953576;6.11677608;0.146416935
295;57.23645075;6.49824992;0.166764103
297;57.48384898;5.97657885;0.173643211
299;56.44494506;5.95439886;0.162657878
301;56.62700605;5.97210985;0.179205683
303;57.32864246;5.9501197;0.171617122
305;55.72836227;5.85273303;0.152209213
307;55.195983;5.77154283;0.134301885
309;54.29010035;5.7902977;0.136333395
311;54.10046937;5.80367931;0.134607863
313;55.28155159;5.80312881;0.15035033
315;55.56129892;5.80312881;0.148997094
317;54.59403468;5.60608633;0.163228486
319;53.09746697;5.66947511;0.16255468
321;54.13938217;5.68090169;0.163475338
323;55.0513073;5.60774045;0.164260315
325;54.05740268;5.55420557;0.176585485
327;52.9522204;5.47701478;0.162632292
329;54.47124415;5.47701478;0.166768445
331;53.16753849;5.47701478;0.168122895
333;53.13470975;5.48268947;0.156949193
335;51.71636567;5.31081583;0.151440327
337;52.67184891;5.31081583;0.18008483
339;50.97640505;5.37427653;0.182008039
341;52.13537909;5.37427653;0.161700409
343;51.30953062;5.27081591;0.15664183
345;50.14269201;5.27081591;0.176422334
347;51.26708772;5.27081591;0.167167417
349;49.92636757;5.2298599;0.151177457
351;50.37559669;5.13967882;0.173286503
353;50.74571237;5.11553218;0.187078756
355;50.5048153;5.2667652;0.199235076
357;50.46149968;5.1152408;0.185484582
359;50.31871467;5.1152408;0.184346593
361;49.95276933;4.96601303;0.198585798
363;50.92830984;4.99655567;0.218834482
365;49.58609529;4.93228589;0.212340394
367;49.21314238;4.92669317;0.217461772
369;49.78871519;4.9065068;0.210764962
371;48.18465556;4.9065068;0.183952081
373;48.22335573;4.9065068;0.184453264
375;47.42439986;4.85077734;0.17236032
377;47.75460817;4.82859418;0.156203597
379;47.90395407;4.76206954;0.171588815
381;47.47558056;4.68661379;0.197053767
383;48.79851915;4.72995422;0.206228035
385;46.69534205;4.69497326;0.212318169
387;47.26495702;4.69497326;0.22547169
389;47.00705994;4.63168707;0.220729294
391;46.72405412;4.63080607;0.227388254
