Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 08:58:09
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;21;87.55;457.05;;;193.51;60.60;1.60;;457.05;;39.87;0.0088;Projection of particles. Raising of the surface. End flame at 84s.;2011-02-24;c_LSFIRE_IN-1-7_35b;13.4;;;;;;;;;;;19.13;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.946066302;193.51;0.122166957
3;5.355802468;193.5023394;0.093158139
5;6.377404771;193.6804165;0.071606974
7;7.324481216;193.3813486;0.060529346
9;7.492592956;193.5342844;0.065048473
11;5.339021268;193.4819219;0.084876871
13;5.06285549;193.0746621;0.106906344
15;3.814017831;193.4427633;0.113475705
17;3.338440227;193.4922642;0.12603093
19;2.350390362;193.5054201;0.204910511
21;2.735629027;193.3367769;0.549936319
23;7.74986417;193.4192927;1.148270581
25;16.10384013;193.4031445;2.149352415
27;28.30746192;193.3775202;3.358954165
29;44.2683769;193.1873278;4.676111985
31;59.92700084;193.0861564;5.646080923
33;72.76233849;193.0743282;5.998206148
35;82.907007;192.8124617;5.877257795
37;87.2172775;192.2908779;5.446021805
39;87.55028271;192.6564;4.695712764
41;85.66605681;191.8849385;3.954149397
43;84.74461427;192.4231457;3.561796383
45;78.36609393;192.2627602;3.194850015
47;74.77048804;192.3082986;2.663671526
49;69.92775341;192.0476427;2.307341016
51;63.87952237;191.953649;1.935347974
53;53.59537475;192.1074379;1.537088264
55;46.94230435;191.7352059;1.191988735
57;41.27781681;191.8659878;1.092209242
59;37.95838146;191.9998794;0.969889018
61;32.7600186;191.7341327;0.881050291
63;28.21204411;191.5426987;0.889462548
65;24.91389401;191.5528242;0.86785847
67;21.83991726;191.6217273;0.882764107
69;19.41089302;191.5732449;0.891129595
71;17.46691805;191.5008822;0.919387392
73;15.70723113;191.4741445;0.878734064
75;14.66880405;191.4360867;0.8854618
77;13.9443349;191.4062595;0.862552738
79;12.92060329;191.333752;0.832844319
81;11.70360389;191.243025;0.921419958
83;10.21415758;190.8739846;1.039052511
85;8.202610365;191.0352817;1.091366845
87;7.065572726;191.0922114;1.168834306
89;6.057064623;191.0532255;1.321791352
91;5.149744064;191.1674672;1.333601695
93;4.88895262;190.9229353;1.330392257
95;4.517531581;190.6385407;1.408410656
97;4.345382927;190.7602698;1.441771159
99;3.931427642;189.9999291;1.426983497
101;3.765568987;190.7511348;1.451616078
103;3.648155536;190.7090633;1.436281116
105;3.671846903;190.4689302;1.35755353
107;4.146728798;190.3465677;1.330076332
109;4.177349401;190.1727002;1.32067445
111;3.929463826;190.2285567;1.271774114
113;3.699339136;190.1213872;1.278588182
115;3.354761312;190.1932584;1.345057728
117;3.493089811;190.1301094;1.355436914
119;3.620166672;190.0481719;1.319326952
121;3.817417541;189.8949569;1.279810377
123;3.864618065;189.807044;1.265000671
125;4.210654759;189.6816786;1.214258177
127;4.401014677;189.7853893;1.228933258
129;4.534418282;189.7517139;1.194336244
131;4.21991643;189.6613212;1.224946671
133;4.126550229;189.5604798;1.221889332
135;4.048380693;189.4039982;1.195940575
137;4.041127147;189.200795;1.140733543
139;4.128089178;188.5647779;1.171836155
141;3.73209735;189.2029768;1.182257998
143;3.102344094;189.2264788;1.1698469
145;3.026155412;188.6921717;1.191919706
147;3.18249676;188.9809487;1.192370589
149;3.286815605;188.9364873;1.164792939
151;3.125348409;188.867006;1.142354245
153;2.998084097;188.6928278;1.169707419
155;2.58876643;188.7571593;1.145592997
157;2.577486672;188.6898012;1.169181701
159;2.355916661;188.6020809;1.201163136
161;2.449697516;188.4543259;1.217989194
163;2.294678833;188.3850966;1.239142106
165;2.03225736;188.3010088;1.245039607
167;2.042007763;188.2750888;1.264348512
169;2.030006197;188.240855;1.269816753
171;1.912510892;188.1357962;1.24035361
173;1.88505569;188.0459851;1.18783762
175;1.870895955;187.8616891;1.153198963
177;1.911182226;187.8109268;1.091405686
179;1.810609029;187.8194923;1.071596069
181;1.820976177;187.7373854;1.084114506
183;1.728640158;187.653372;1.084981606
185;1.715180177;187.6348538;1.081718495
187;1.919248558;187.4539067;1.101159759
189;1.866284171;187.342036;1.041502564
191;1.734403619;187.2852437;0.9995387
193;1.676571517;187.2348389;0.941316202
195;1.558988736;187.2922327;0.93502865
197;1.854981315;187.1510138;0.874896939
199;1.796240262;187.0142378;0.868277597
201;1.839656606;186.8852167;0.874546325
203;1.872729181;186.8711245;0.897482468
205;1.869496826;186.7922179;0.929020421
207;1.648248512;186.7486096;0.947502099
209;1.730319111;186.6904097;0.910885641
211;1.755512582;186.5892112;0.845005642
213;1.914278093;186.555261;0.758409751
215;2.0102458;186.3974313;0.702995789
217;1.99105616;186.2842275;0.634970731
219;1.719867401;186.4824506;0.617630051
221;1.690598218;186.2330485;0.601183923
223;1.808564456;186.1355879;0.610484884
225;1.831452371;186.0171094;0.546058446
227;2.01881672;186.0320228;0.509597991
229;2.110030435;185.8861075;0.490630498
231;2.085435971;185.8991497;0.489333302
233;2.065632141;185.8317045;0.497993519
235;1.877777241;185.6950935;0.481829762
237;1.898778024;185.5887456;0.463298434
239;1.896008702;185.5187267;0.429103385
241;2.280012011;185.4329516;0.386329581
243;2.181011217;185.3764936;0.359715653
245;2.134877427;185.3365134;0.374931415
247;2.060855959;185.2747367;0.42444594
249;2.045582656;185.1463022;0.414945141
251;2.038460523;185.0917342;0.383221526
253;2.23873587;184.8897964;0.335091367
255;2.277342949;184.9943646;0.294119315
257;2.26306536;184.9038383;0.26614001
259;2.267891179;184.788323;0.259452438
261;2.182136334;184.7483791;0.289222735
263;2.05193;184.7282332;0.304856088
265;2.163351753;184.5222047;0.323069541
267;2.296484662;184.4187136;0.267834686
269;2.355447383;184.4693656;0.266657478
271;2.340335614;184.3252386;0.270230824
273;2.379226722;184.2149516;0.26242319
275;2.204415416;184.0862881;0.271539719
277;2.330092949;184.1970982;0.314237628
279;2.32773758;184.0054199;0.311432557
281;2.421933983;183.9065053;0.304527715
283;2.504546381;183.676997;0.30074448
285;2.514349122;183.707131;0.314242769
287;2.600844532;183.6550714;0.303978153
289;2.423291195;183.5644073;0.298899929
291;2.466202895;183.5843606;0.296751374
293;2.507777575;183.5008596;0.279396499
295;2.585353421;183.2929465;0.237775508
297;2.731584157;183.2508203;0.231062833
299;2.790875945;183.131453;0.236137752
301;2.783881054;183.1082296;0.223988734
303;2.782811922;183.0838552;0.247506101
305;2.492893914;182.9951216;0.271389882
307;2.599337823;182.9110337;0.260084409
309;2.647746512;182.751585;0.240555516
311;2.751355374;182.6200832;0.21949192
313;3.005560367;182.480822;0.222754308
315;2.911151712;182.4431532;0.224692534
317;2.848738345;182.417646;0.241489101
319;2.798933234;182.3188649;0.246549566
321;2.743272292;182.3290915;0.260377235
323;2.790201263;182.2281959;0.213702734
325;3.030192082;182.0265615;0.176640358
327;3.258666471;181.9256107;0.147563659
329;3.244605149;181.9187412;0.158288819
331;3.159598691;181.9041622;0.155281062
333;2.887145773;181.8608805;0.172500389
335;2.839232763;181.7045411;0.182646413
337;3.01453456;181.6229844;0.17729198
339;3.132253739;181.4310627;0.154109993
