Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 09:12:17
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;9;118.98;14.01;;;192.88;88.92;1.47;;449.84;;63.74;0.0088;Projection of particles. Raising of the surface. End flame at 66s.
;2011-02-25;c_LSFIRE_IN-1-7_50a;13.4;;;;;;;;;;;19.13;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.658270136;192.88;0.061872428
3;5.450154233;192.8478265;0.043951917
5;4.597451894;192.9202032;0.039739127
7;3.075025047;192.7318549;0.093042823
9;-2.177473879;192.7329984;0.664490862
11;-1.234679098;192.7502407;2.193726746
13;24.10415751;192.811885;4.093565622
15;59.70741964;192.5141928;5.939487617
17;88.70821826;192.3673035;7.645275053
19;102.8852448;192.2277089;8.599877325
21;110.7008806;192.1095873;8.380892714
23;106.9226256;192.316876;7.654472142
25;97.77696691;191.570828;6.612533569
27;82.34812576;191.7322344;5.331060392
29;91.54853942;191.6811928;4.506806002
31;118.9791183;191.63531;3.790131858
33;108.751322;191.3399091;3.143567493
35;94.25029856;191.0648534;2.683317333
37;79.28587461;191.1494074;2.487960132
39;65.22224602;190.9337264;2.17748822
41;53.89579259;190.7756084;2.063523417
43;44.25472124;190.9579945;1.909169054
45;38.1105222;190.7173347;1.849461953
47;33.78106546;190.4440252;1.849329924
49;30.66054972;190.4087978;1.805482806
51;28.26837648;190.1764191;1.736094584
53;27.05452259;190.0800539;1.773034467
55;25.05775311;189.9968247;1.931623404
57;23.0260646;190.4381174;2.155944643
59;21.39236884;189.8160158;2.209117412
61;20.84095678;189.7107584;2.305233686
63;21.97411986;189.5441384;2.567808319
65;20.86457399;189.3760518;2.648707227
67;18.53640195;189.306515;2.683079429
69;15.60534114;188.9294315;2.693764145
71;13.49067639;189.0723698;2.683779811
73;11.62494034;188.8644772;2.34718533
75;10.5162415;188.9358121;2.171494489
77;10.07035899;188.7700718;1.99595418
79;9.522405534;188.7244448;1.897622598
81;9.438885252;188.4862418;1.686823484
83;8.93377956;188.3095348;1.600040859
85;8.603411271;188.2182969;1.511390616
87;8.161270683;188.0889635;1.396697018
89;7.761041139;187.5251327;1.40978998
91;7.685450631;187.9556282;1.410599691
93;7.499388976;187.723951;1.455043188
95;7.351005875;187.6897838;1.447213464
97;7.447185512;187.5066248;1.479482435
99;7.516521076;187.4191451;1.419926459
101;7.64489344;187.3787313;1.400409344
103;7.799083101;187.2424731;1.354845631
105;8.056143851;186.9752612;1.313384417
107;8.046599236;186.9046831;1.21957615
109;7.647428405;186.8820708;1.132900885
111;7.443602573;186.6564242;1.099202665
113;7.333732296;186.5856451;1.061616103
115;7.452338734;186.5633086;1.02812976
117;7.760617421;186.3696564;0.958904575
119;7.223841111;186.3148089;0.887613774
121;7.372251568;185.4523243;0.7850469
123;7.383724571;185.9439444;0.678979208
125;7.917067274;185.8639731;0.62224364
127;7.632216946;185.809481;0.560650041
129;7.649950137;185.5125028;0.52791656
131;7.929743846;185.442966;0.485565463
133;8.000783711;185.3323769;0.476206428
135;7.88225652;185.1700914;0.4415869
137;8.093397849;185.3207395;0.410819109
139;7.954262139;184.9035737;0.383460329
141;7.948803539;184.7128278;0.366087414
143;7.77752662;184.9592017;0.330337893
145;8.023234094;184.6679615;0.297204019
147;8.485142736;184.4394989;0.292316596
149;5.990869667;184.333137;0.295950451
151;8.399411987;184.1205046;0.273414347
153;8.391638768;184.3179073;0.270821446
155;8.917754032;184.1267474;0.265116224
157;9.451295509;182.248015;0.247041754
159;9.144772484;183.905963;0.216021257
161;9.438310859;183.6926281;0.224357867
163;8.996109219;183.5056555;0.231715467
165;8.722734236;183.3240981;0.208045273
167;8.863350374;183.2997819;0.205153596
169;8.723673531;183.1339357;0.206655678
171;8.507347614;183.1342245;0.187766934
173;8.835214971;182.8537033;0.172128248
175;8.654243485;182.4953083;0.170697708
177;8.841988874;182.7061592;0.158564292
179;9.282482097;182.4498939;0.144681717
181;9.103822902;182.3920892;0.166327535
183;8.874199932;182.8294896;0.164626541
185;8.982053131;182.2354867;0.166656588
187;8.773354281;182.0431355;0.179400078
189;8.868236878;181.9149104;0.171142108
191;9.021965929;181.8011184;0.159343158
193;9.102327053;181.5154627;0.158443104
195;8.94222999;181.4870062;0.177459393
197;8.89156351;181.3428766;0.188586775
199;9.145001177;181.0191537;0.190937937
201;9.295465473;180.4170071;0.164226202
203;9.603923385;180.9522159;0.145063427
205;9.367010682;180.8579133;0.134456212
207;9.656410357;180.8685134;0.147904911
209;9.127822223;180.617589;0.170830635
211;9.773500962;180.6292658;0.156482165
213;9.91006501;180.0770846;0.154291012
215;9.648697582;180.374118;0.140218618
217;9.767999375;180.1125382;0.152931804
219;9.890708135;180.0314857;0.153362503
221;9.697513565;179.8984854;0.170444506
223;9.904836721;179.7805336;0.150645605
225;9.841799552;179.6452376;0.158618417
