Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 09:15:17
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;12;123.51;18.20;;;193.09;88.09;1.94;;512.06;;64.21;0.0088;Projection of particles. Raising of the surface. End flame at 57s.
;2011-02-25;c_LSFIRE_IN-1-7_50b;13.4;;;;;;;;;;;19.13;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.576603881;193.09;0.032725529
3;6.634777005;193.141045;0.03899836
5;6.880072185;193.0855038;0.07763195
7;6.006681131;193.101901;0.107722169
9;3.38744921;193.1995672;0.216690914
11;2.011423313;193.3851514;1.428824158
13;8.831989494;193.0362186;3.446610932
15;42.53332774;193.0814664;5.502323527
17;78.48430889;192.8600752;7.825727596
19;104.2392275;192.5854065;9.395607572
21;118.0248489;192.4444866;9.766890157
23;122.5393085;192.1515469;8.738552434
25;123.5138805;192.090347;7.354410918
27;109.706348;191.8506882;5.323383396
29;105.5923857;191.7709066;3.907894751
31;103.1792677;191.5802743;2.54836735
33;96.77313912;191.314991;1.889760336
35;81.07624199;191.2329216;1.545021393
37;67.04070445;191.260996;1.694397291
39;52.87260719;191.1181441;1.871827364
41;46.1041468;191.1460492;2.04219991
43;42.0203565;191.0538209;2.078567896
45;38.2488684;190.7993038;2.161794859
47;35.03962954;190.6148681;2.120947047
49;31.27576586;190.7272756;2.074564975
51;27.91070034;190.6600849;2.169782973
53;25.64299262;190.7554603;2.489603911
55;23.28148256;190.3208798;2.6919254
57;19.69065399;190.3125943;2.935600239
59;16.23690314;189.8697565;3.08828209
61;14.56051756;189.9488687;3.127537442
63;12.80893232;189.9645169;3.075412032
65;12.03716216;189.7057521;3.023958835
67;11.29731446;190.0394921;2.828758903
69;10.7163384;189.5567133;2.741757097
71;10.42601615;189.3559465;2.781629109
73;10.46536948;189.3343633;2.716594371
75;9.968094567;189.179973;2.677525307
77;9.207947253;189.046093;2.699538338
79;9.044033364;189.106023;2.708861616
81;8.240318741;188.7073734;2.654462222
83;8.305093889;188.720154;2.606693491
