Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 09:24:06
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;6;152.61;83.14;;;193.03;108.23;8.01;;582.49;;93.84;0.0088;Projection of particles. Raising. Glowing. End flame > 1200s.
;2011-02-28;c_LSFIRE_IN-1-7_75b;13.4;;;;;;;;;;;19.13;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;0.825796409;193.03;0.141451488
3;-7.319365369;192.9710092;0.211660781
5;-17.83456337;192.977412;3.2414397
7;15.50278247;192.7859084;6.180416869
9;89.8798598;192.6049991;8.532025585
11;136.5269586;192.3198152;10.77338018
13;143.6380019;192.1055658;12.52061124
15;146.2171035;191.8580495;10.36316585
17;152.6052151;191.7514636;7.743203365
19;149.178773;191.498325;5.567488453
21;132.7577623;191.7127895;3.516422886
23;115.2547271;190.8938716;1.88711233
25;105.8341303;190.7983372;1.17248387
27;102.4543539;190.7418354;0.93211486
29;97.15331431;190.9460336;0.82637803
31;90.73322375;190.2158773;0.723110725
33;80.13076951;189.8429384;0.632174698
35;70.12525659;189.8416045;0.571224952
37;63.60086939;189.7416277;0.550470068
39;58.80522731;189.7261444;0.578808505
41;56.03312762;189.2940901;0.526697924
43;54.29782468;189.1030448;0.495942977
45;52.8926782;189.0622036;0.486255967
47;50.26787882;188.8568864;0.451242779
49;48.30784087;188.243361;0.399741892
51;47.1548868;188.3554127;0.378872538
53;50.15133071;188.0804063;0.358754201
55;51.96320821;188.0692189;0.301999106
57;52.25063518;187.9119964;0.318591352
59;55.02896063;187.4004815;0.330634246
61;57.53973227;187.5905677;0.345238378
63;60.21115241;187.2733352;0.3297374
65;61.30085059;186.9827543;0.321457103
67;60.97843794;186.7212868;0.328063859
69;62.70415195;186.6931136;0.287817313
71;60.96226998;186.4652581;0.272175689
73;60.71157068;186.1574188;0.266417182
75;59.63434426;185.8043586;0.241539231
77;59.67409435;185.6466412;0.212930411
79;59.77420595;185.6601215;0.215611879
81;60.02172852;185.3454584;0.205355666
83;59.65592448;185.0662208;0.196977432
85;60.60328506;184.8565602;0.215705624
87;59.37939998;184.6903885;0.223004355
89;59.5913662;184.347502;0.215638799
91;58.97360823;184.3478024;0.250835954
93;60.25950288;183.9944615;0.247148658
95;58.2475411;184.0395263;0.258063457
97;58.6404136;183.7140268;0.26520636
99;58.79316781;184.0577365;0.287454325
101;58.50562857;183.5554165;0.306795959
103;59.03273476;183.3133324;0.317203315
105;57.78406268;182.9382872;0.303150391
107;56.17269778;182.8316749;0.328705532
109;57.57110412;182.5780136;0.312524152
111;57.70814261;182.4066287;0.261012704
113;57.4576795;182.2167104;0.238260949
115;58.12212502;182.1035936;0.230762911
117;56.39459359;181.8781914;0.181002935
119;57.04054193;181.764369;0.189494583
121;56.74435946;181.642954;0.194929187
123;57.26624065;181.4416808;0.210626819
125;55.57526309;181.264642;0.248373376
