Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 09:26:24
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;6;144.42;81.21;;;192.61;106.94;7.97;;476.16;;91.70;0.0088;Projection of particles. Raising. Glowing. End flame > 1200s.;2011-02-28;c_LSFIRE_IN-1-7_75c;13.4;;;;;;;;;;;19.13;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.138216178;192.61;0.130664253
3;2.183469762;192.6622158;0.130397441
5;-7.567270436;192.4782453;1.127347693
7;-11.62600544;192.4354258;3.367616809
9;28.45497905;192.5352413;5.678361536
11;81.41539777;192.3281997;7.60175114
13;119.3953084;192.0294251;8.676923907
15;139.3141913;191.720691;8.536572562
17;140.9742581;191.6117555;6.945461981
19;144.4237972;191.4642208;4.981587982
21;143.3930422;191.1557565;3.454539421
23;138.6596317;190.6418675;2.783949445
25;137.9123892;190.5724317;2.318212921
27;132.1057823;190.335508;2.175816638
29;119.9693002;190.0837667;2.191556085
31;107.6277044;189.9581574;2.037943519
33;96.07243433;189.6311594;1.805336915
35;84.12238039;189.314776;1.482154451
37;76.26114384;189.0505029;1.126308778
39;68.76448251;188.9073659;0.870678635
41;62.65291485;188.7731824;0.686660917
43;64.49720839;188.5113146;0.552558062
45;64.49233634;188.2585912;0.482770787
47;64.16467743;187.9615326;0.337941818
49;67.03728737;187.6060965;0.252613568
51;66.10995765;187.4964242;0.223906058
53;64.39052922;187.1727837;0.218532317
55;65.58060139;187.1495046;0.245354109
57;64.44923635;186.8968629;0.267461978
59;62.8051964;186.6810078;0.306156177
61;66.0201106;186.3935061;0.306200232
63;66.31224182;186.2031837;0.275433445
65;65.93592213;186.2661189;0.262718627
67;66.48594879;184.9361238;0.222681495
69;66.71140721;185.3793179;0.182286039
71;65.30402206;185.3228478;0.187863983
73;66.77120088;185.0694966;0.240771136
75;68.63744558;184.6760891;0.248016875
77;68.14266858;184.6710395;0.293258934
79;67.3349981;184.2776555;0.276974155
81;66.97441896;184.1315166;0.2531775
83;66.80081903;183.8805635;0.175107468
85;67.17691137;183.8182797;0.13281079
87;65.77514659;183.6818344;0.113495703
89;66.78017409;183.3485862;0.13051241
91;66.45073789;183.2746979;0.156843036
93;66.22636899;182.9991832;0.21539944
95;64.93903121;182.760977;0.257326044
97;65.59282966;182.5989832;0.228548509
99;65.91676858;182.4568024;0.220960167
101;64.38281833;182.2659304;0.182601393
103;65.55274278;182.0698682;0.150457172
105;63.59681906;181.7718352;0.153642975
107;63.99758706;181.7445357;0.209742214
109;63.65973356;181.4449422;0.235226355
111;63.36557203;181.221316;0.262278262
113;62.61889639;181.0672029;0.267121896
115;62.22791518;180.8626518;0.250951349
117;63.68601219;180.6493936;0.209049089
119;61.52502737;180.533416;0.181089211
121;60.09726017;180.4103368;0.162687922
123;61.72816713;180.0820562;0.177899066
125;60.07738908;180.017608;0.19139045
127;60.09319868;179.7235053;0.206030488
129;58.83062892;179.5962045;0.222853332
131;58.82835243;179.4321914;0.2355217
133;59.53720532;179.0417368;0.20499997
135;60.55208322;178.9053194;0.194497953
137;60.23791383;178.6488525;0.186992955
139;60.4939937;178.5342669;0.192071471
141;60.5788484;178.4011979;0.207156499
143;60.74887856;178.2068051;0.226476276
145;60.21164702;178.063719;0.213756102
147;60.9019794;177.8073112;0.206199534
149;60.74249347;177.5263835;0.167719359
151;61.0116435;177.4495475;0.140697501
153;61.08027336;177.1689563;0.138187176
155;59.38623046;177.0575598;0.180162832
157;58.87414602;176.8586363;0.213226493
159;59.90177654;176.7523211;0.221687893
161;58.93511684;176.4829211;0.240159011
163;59.58627584;176.2114696;0.23366927
165;60.55011682;176.019916;0.180632215
167;57.79638831;175.849325;0.167367944
169;58.273258;175.691067;0.202012256
171;57.87201876;175.5993227;0.214536634
173;56.82964259;175.3662755;0.218673925
175;57.6937173;175.2189083;0.251039543
177;56.59543226;174.9708165;0.239050152
179;56.98908586;174.7442114;0.206254534
181;56.70946187;174.4938314;0.185546713
183;57.54246665;174.3398541;0.175340781
185;57.54516394;174.1497746;0.166909349
187;57.85921716;173.9846056;0.173857252
189;57.35010628;173.7778216;0.202671869
191;57.56285214;173.6787621;0.199198426
193;57.41029852;173.2982752;0.186030943
195;58.09479554;173.150645;0.161624639
197;57.30589474;172.907357;0.140582692
199;57.74992317;172.6566002;0.117884204
201;58.00454088;172.6496128;0.139324982
203;56.95007247;172.4536326;0.170579943
205;57.49161609;172.3339106;0.194405535
207;58.46790027;172.1263077;0.204530111
209;57.46040313;171.9001341;0.204637772
211;57.69053629;171.317871;0.176040037
213;57.31125375;171.6261266;0.160971279
215;57.60391423;171.2863226;0.183742223
217;57.6303089;171.11398;0.201873028
219;57.29041361;171.0017915;0.189860696
221;57.54711178;170.9476154;0.210362234
223;57.41366238;170.6104365;0.215127576
225;56.89855869;170.3676554;0.166451843
227;57.05467345;170.112112;0.15363263
229;57.63302596;170.0331741;0.167124581
231;56.64955817;169.5265408;0.154047552
233;56.51718847;169.7066848;0.149074981
235;55.91979718;169.9466104;0.147155053
237;56.72068013;169.0397296;0.124768061
239;55.59538551;168.9422363;0.115349554
241;56.38682124;168.7863851;0.12699409
243;55.65368934;168.5392048;0.143713534
245;54.28323924;168.5115491;0.179133127
247;55.33893531;168.1785414;0.197310219
249;54.85375724;168.0235264;0.199641582
251;54.97678972;167.8236755;0.209750386
253;54.98002423;167.5528792;0.209272537
255;54.5060643;167.5504278;0.22301056
257;53.9362371;167.3965533;0.245524788
259;55.29613417;167.1715854;0.23640817
261;55.70665073;167.0569182;0.200582664
263;54.6481346;166.7149902;0.187514767
265;54.75098395;166.6484118;0.166793252
267;53.66214122;166.3435998;0.159483928
269;54.39411394;166.1403808;0.178506782
