Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted GFK polyester with Gelcoat handlaminated;;;;IN1-5;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 09:30:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;93;116.76;53.44;;;82.30;35.36;13.51;;1044.24;;64.36;0.0088;End flame at 816s.;2011-03-08;c_LSFIRE_IN-1-5_35a;4.8;4.8;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.762115078;82.3;0
3;8.212656367;82.4574358;0
5;8.808723245;82.2515322;0
7;8.900751671;82.3200753;0.003021679
9;8.096326063;82.38749;0.010026483
11;6.898124385;82.449181;0.033338003
13;5.581399759;82.4720748;0.039470699
15;4.114975436;82.4979396;0.040370942
17;2.865938178;82.3889483;0.037349263
19;2.38541081;82.5514038;0.030344459
21;2.023443428;82.2742489;0.007032939
23;1.779342414;82.3402328;0.000900243
25;1.481284481;82.2660376;-5.37764E-18
27;1.537040684;82.431795;-5.37764E-18
29;1.161142036;82.2316974;-5.37764E-18
31;1.103780317;82.311038;-5.37764E-18
33;1.492165883;82.3804066;-5.37764E-18
35;1.499345969;82.4488626;0.003641699
37;1.313531306;82.4477071;0.00935941
39;1.192110565;82.3377839;0.00935941
41;1.069845271;82.7876185;0.00935941
43;0.431018405;82.3601271;0.00935941
45;0.400060271;82.2785849;0.005717711
47;0.358534416;82.3634842;-4.85723E-18
49;0.412930681;82.287056;-4.85723E-18
51;0.38147046;82.2965098;-4.85723E-18
53;0.240171346;82.2398932;-4.85723E-18
55;0.389589444;82.3860079;-4.85723E-18
57;0.416217994;82.1566607;-4.85723E-18
59;0.387441965;82.3487392;-4.85723E-18
61;0.078276768;82.3422341;0.014740257
63;-0.230100311;82.2679755;0.024556306
65;0.143925932;82.3471667;0.050540329
67;0.09699392;82.2958218;0.070204286
69;0.315049;82.3827413;0.096480305
71;0.239557745;82.283561;0.115258188
73;0.28256623;82.3083298;0.16388764
75;0.512395898;82.2746384;0.20528693
77;0.496094651;82.3270841;0.251891204
79;0.728865375;81.8926468;0.322394471
81;0.921398448;82.2249324;0.406155567
83;0.847687462;82.2537928;0.44290172
85;0.837139864;82.3226543;0.497233483
87;0.903056171;82.3286368;0.599833744
89;0.562106826;82.1597977;0.689402646
91;0.799522994;82.2282304;0.80866823
93;0.707014511;82.1296947;1.324937784
95;4.24808691;82.1077366;1.730131192
97;35.94864691;82.0620874;2.148982839
