Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted GFK polyester with Gelcoat handlaminated;;;;IN1-5;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 09:52:58
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;28;160.36;49.55;;;85.23;39.54;11.01;;2164.29;;99.16;0.0088;End flame at 663s.;2011-03-04;c_LSFIRE_IN-1-5_75b;4.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.303658446;85.23;0.055384344
3;3.860252817;85.2076744;0.083825743
5;4.13221795;85.2564875;0.082183871
7;4.864718017;85.1097156;0.087171806
9;4.802245263;85.1493542;0.100166355
11;4.003015064;85.2009879;0.08278269
13;2.759321848;85.1149993;0.085242515
15;1.937128291;85.1979259;0.130967803
17;1.521352358;85.2745164;0.149067356
19;1.359898053;85.1971715;0.192132548
21;1.578122134;85.1825605;0.252026327
23;1.503202885;85.0573006;0.329675469
25;1.098689445;85.0862151;0.468004112
27;0.917566274;85.089031;0.586941107
29;3.118901924;85.0683008;0.833192236
31;24.73160184;84.9931616;1.345576053
33;46.6400428;84.7791175;2.297395293
35;70.03159862;84.770993;3.08220926
37;84.35980861;84.5916393;4.008992391
39;94.82583726;84.4806824;5.204262971
41;99.98678406;84.2791989;6.167364794
43;100.8311217;83.9067868;6.72835915
45;101.8003403;83.9485234;7.300952435
47;103.7166065;83.9208008;8.109471644
49;104.811473;83.428523;8.469238646
51;109.6191746;83.3405979;8.750963468
53;111.4717593;83.0990658;9.113840429
55;118.1663598;82.907753;10.12421412
57;122.1963142;82.8290529;10.40298887
59;128.3196569;82.7468104;10.89226755
61;130.1406151;82.2073677;11.43982762
63;137.9275204;82.0891892;11.99733445
65;143.4239129;81.7177102;11.96874549
67;146.3513913;81.6906986;12.48327666
69;148.9317676;81.3179586;12.38654555
71;152.3684923;81.0400216;12.42340079
73;155.6778343;80.7207192;12.00466674
75;158.656066;80.4679072;11.81931381
77;157.5124889;80.0763302;11.3797322
79;160.3594344;79.776822;10.94162441
81;155.992096;79.5999294;10.28769977
83;154.084503;79.2070711;10.0704186
85;152.7817763;79.0152939;9.587438483
87;148.9489209;78.7297016;8.909382239
89;146.496797;78.4133006;8.772334003
91;146.1118799;78.1849973;8.60670606
93;145.5418834;77.9152229;8.149830795
95;144.3685257;77.6855951;7.920683761
97;142.1226749;77.3786898;7.935838336
99;139.6353537;77.1834284;7.787067854
101;137.5250008;76.9287304;7.583862613
103;136.2462871;76.6595146;7.531188786
105;135.3906316;76.2963712;7.206672351
107;132.2069055;76.0435872;6.747291327
109;131.2400576;75.8456191;6.307452867
111;126.8216883;75.6530765;6.016415823
113;123.2061132;75.4403997;5.655482087
115;120.0140259;75.1271247;5.462105117
117;118.8878986;74.8898267;5.602384249
119;114.4445813;74.71305;5.690950921
121;117.2303172;74.4808376;5.80004857
123;114.165631;74.3104979;6.011588585
125;113.6296448;74.0337912;6.14091148
127;114.0606602;73.7786557;5.969698997
129;112.4449633;73.5702563;5.983136913
131;112.1605339;73.3708118;5.81265592
133;110.0364141;73.1803201;5.733157612
135;109.5935225;72.978239;5.623825258
137;106.9555317;72.7449603;5.790563294
139;107.9670347;72.5744691;5.684994569
141;109.9923703;72.3043783;5.801549999
143;107.4642583;72.1202843;5.798552509
145;106.4329636;71.8953844;5.859819652
147;106.978354;71.7929842;5.702464218
149;106.9516513;71.6324277;5.762230378
151;103.4183258;71.2843786;5.722887284
153;102.2605652;71.1166884;5.654451713
