Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;Upholstery for seat, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 10:51:29
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;7;266.47;65.61;;;32.97;27.96;20.97;;428.19;;118.17;0.0088;End flame at 877s.
;2011-03-08;c_LSFIRE_F1A-1-2_35b;32.0;4;2.5;25.5;;;;;;;;0.95;0.15;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.850418673;32.97;0
3;7.496927838;32.92936605;0.060768643
5;8.834077625;32.82550626;0.060768643
7;13.127491;32.80767517;0.074911507
9;39.67157541;32.5983501;0.107245919
11;80.65254582;32.59300237;0.11345592
13;111.3587222;32.23913808;0.062300432
15;123.9920603;32.11530075;0.062300432
17;121.6372688;31.94579334;0.048157568
19;106.8643046;31.96185444;0.015823156
21;88.65355767;31.68964321;0.009613155
23;76.61867191;31.75086002;-5.55112E-18
25;69.08107112;31.69946674;0.013110876
27;74.35443948;31.63579138;0.027624901
29;87.27593388;31.41989004;0.154000051
31;101.5342078;31.39229929;0.723082697
33;122.2612854;31.05625738;1.882654311
35;146.3509019;30.73800931;3.19970051
37;185.4719404;30.47965757;4.52707556
39;226.5005547;30.09851462;5.394510355
41;266.4675411;29.70822653;5.382930476
43;266.0981122;29.28820124;4.512342658
45;233.660293;29.06679636;3.413561686
47;185.8777364;28.87469755;2.276652021
49;146.7909309;28.76080326;1.493916401
51;121.1866234;28.74875974;1.0829216
53;101.6794631;28.67726988;0.880148586
55;92.36449597;28.5557348;0.696085471
57;85.39784402;28.17771959;0.509252657
59;79.22796115;28.40985622;0.298178332
61;72.96189136;28.36980921;0.151670365
63;67.96660459;28.06753078;0.065459584
65;63.36677966;28.14586352;0.018146595
67;59.21452895;27.97728322;-1.34892E-15
69;56.25468281;28.17097783;-1.34892E-15
71;52.01075091;27.85084992;-1.34892E-15
73;50.66561095;27.87618439;-1.34892E-15
75;48.1580936;28.03606036;-1.34892E-15
77;46.56067162;27.84493413;-1.34892E-15
79;45.43945203;27.73376403;-1.34892E-15
81;44.19441668;27.73400257;-1.34892E-15
83;43.74140871;27.78404731;-1.34892E-15
85;43.5805891;27.6566695;-1.34892E-15
87;42.0699417;27.54036312;-1.34892E-15
89;41.16608305;27.46352602;-1.34892E-15
91;40.34821628;27.3674904;-1.34892E-15
93;40.39934498;27.24532242;-1.34892E-15
95;38.78312073;27.23381986;-1.34892E-15
97;38.74604831;27.10294755;-1.34892E-15
99;39.32596543;27.19934074;-1.34892E-15
101;39.41531657;27.11285382;-1.34892E-15
103;39.65659845;27.20506444;-1.34892E-15
105;40.21240146;27.03076043;-1.34892E-15
107;39.670921;27.01500175;-1.34892E-15
109;40.46308687;26.9729099;-1.34892E-15
