Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;Upholstery for seat, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 10:53:42
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;8;286.36;63.75;;;34.78;27.60;20.67;;461.62;;119.79;0.0088;End flame at 1102s.
;2011-03-08;c_LSFIRE_F1A-1-2_35c;32.0;4;2.5;25.5;;;;;;;;0.95;0.15;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.35134122;34.78;0
3;8.092691015;34.88970059;0.024207059
5;8.317783725;34.66775861;0.159752275
7;8.265818701;34.68473664;0.159752275
9;21.34799694;34.72017819;0.192669653
11;62.58951623;34.69810984;0.244676605
13;104.7178445;34.28757518;0.267127023
15;128.0560398;34.59865375;0.131581807
17;129.4594642;34.32464059;0.131581807
19;115.6924212;33.96905711;0.098664429
21;98.8299985;33.75743414;0.046657477
23;83.11160623;33.86498828;-1.66533E-17
25;70.1147655;33.58048095;-1.66533E-17
27;70.02271597;33.65692322;0.03067053
29;81.72939801;33.43704398;0.08410508
31;94.29064349;33.2399676;0.432074179
33;111.3906716;32.92003808;1.329988819
35;139.459632;32.69126241;2.842783631
37;169.9497205;32.42036827;4.41686192
39;214.7263496;32.17809117;5.737173674
41;264.0878437;31.75779782;6.063958562
43;286.3638392;31.48138079;5.558096746
45;265.7097744;31.31121629;4.305582437
47;217.0233269;31.16256998;2.875744901
49;171.0181585;30.59320789;1.628968717
51;131.6546965;30.63931683;1.04488321
53;109.7104897;30.41217422;0.71084446
55;94.8273628;30.44877173;0.471124505
57;90.02758948;30.20919124;0.296213221
59;83.53705036;30.22808588;0.205975377
61;75.48758362;29.9553661;0.118534516
63;67.10561912;30.11397337;0.066332779
65;63.16621224;29.94512016;0.048307133
67;57.34949996;30.26162001;0.049740496
69;53.64909385;29.70859434;0.013008221
71;51.70268895;30.02856112;0.009780602
73;49.52694567;29.83734586;0.003968263
75;47.49319184;29.76638003;0.001433362
77;47.11253851;29.54943643;-3.08434E-16
79;45.55756045;29.59457328;-3.08434E-16
81;43.26059244;29.46383112;-3.08434E-16
83;42.69190658;29.53044986;-3.08434E-16
85;41.82285042;29.40975139;-3.08434E-16
87;41.57240773;29.41280558;-3.08434E-16
89;40.88663391;29.25349186;-3.08434E-16
91;40.4745789;29.28873163;-3.08434E-16
93;40.66672043;29.19373392;-3.08434E-16
95;41.36853557;29.17354589;-3.08434E-16
97;40.74672107;29.16622639;-3.08434E-16
99;40.93835865;29.24425527;-3.08434E-16
101;41.30802686;29.12884937;-3.08434E-16
103;39.71114132;29.00163898;-3.08434E-16
105;40.54488862;28.95300714;-3.08434E-16
107;40.92029901;28.83165738;-3.08434E-16
109;39.92974413;28.79540875;-3.08434E-16
111;40.50627957;28.7647551;-3.08434E-16
113;40.08229749;28.83043803;-3.08434E-16
115;40.94521228;28.43427673;-3.08434E-16
117;40.99543105;28.49123693;-3.08434E-16
119;41.16866578;28.60487235;-3.08434E-16
121;41.58566105;28.57822708;-3.08434E-16
123;41.74138546;28.48135824;-3.08434E-16
125;40.78347089;28.51464415;-3.08434E-16
127;41.10809046;28.57302596;-3.08434E-16
129;41.30874604;28.30030619;-3.08434E-16
131;41.0398438;28.21172894;-3.08434E-16
133;41.70361427;28.34685545;-3.08434E-16
135;41.3982365;28.09095741;-3.08434E-16
137;41.0863008;28.05012217;-3.08434E-16
139;41.08625193;28.0352451;-3.08434E-16
141;41.88129903;27.92290259;-3.08434E-16
143;41.97501367;27.90099924;-3.08434E-16
145;41.69605244;27.87642639;-3.08434E-16
147;42.50210654;27.88127864;-3.08434E-16
149;43.37866594;27.78647399;-3.08434E-16
151;42.74620081;27.79769155;-3.08434E-16
153;43.03431289;27.69725465;-3.08434E-16
155;42.79593835;28.00537968;-3.08434E-16
157;42.68784601;27.90055892;-3.08434E-16
159;42.80419634;27.52154113;-3.08434E-16
161;43.61692916;27.46705785;-3.08434E-16
163;43.92706895;27.39939347;-3.08434E-16
165;44.90461926;27.30790914;-3.08434E-16
167;45.23055929;27.22367076;-3.08434E-16
169;45.36332028;27.30715721;-3.08434E-16
171;45.61302613;27.0185873;-3.08434E-16
