Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;Upholstery for seat, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 11:00:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;4;341.76;82.08;;;35.91;32.90;22.13;;693.90;;183.14;0.0088;Swelling. End flame at 697s.;2011-03-07;c_LSFIRE_F1A-1-2_50c;32.0;4;2.5;25.5;;;;;;;;0.95;0.15;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.364709139;35.91;0.143148359
3;-3.971862734;35.98714177;0.143148359
5;7.043323229;35.74612406;0.28572233
7;74.3667149;35.54030268;0.546679599
9;143.2331681;35.2657589;0.686697183
11;179.3341115;35.31721183;0.624941635
13;187.3315501;34.69186852;0.662928802
15;166.2712841;34.63872457;0.581810897
17;152.2710338;34.43831627;0.455084505
19;146.5838216;34.22015281;0.515343445
21;146.4595754;34.03637442;1.108789539
23;153.6608822;33.70520386;2.293927473
25;181.6427947;33.20844609;4.416514289
27;233.545366;33.13748332;6.610420167
29;290.5832302;32.44537437;8.422387175
31;333.8794897;31.92226939;9.370252013
33;341.7640656;31.4843074;9.253876325
35;316.9430797;31.12605795;8.052096229
37;272.5790282;31.01917536;6.56827358
39;230.1454085;30.7774713;4.966642045
41;200.6162246;30.52702664;3.640601177
43;175.9320516;30.17548626;2.662004391
45;152.8359867;30.1673857;1.855647625
47;138.4042317;29.9848324;1.137601046
49;131.0057072;29.88786003;0.866224956
51;123.7924262;29.76149509;0.700817234
53;118.4956209;29.67956146;0.699630486
55;111.6926307;29.50691791;0.650173599
57;110.1598483;29.41753388;0.667902412
59;108.9417076;29.21643972;0.723177995
61;105.7448937;29.21673249;0.79752857
63;102.7194328;29.14281695;0.808422735
65;98.42553005;29.00623068;0.808553076
67;98.32730761;28.76763469;0.736083852
69;95.7059259;28.6428971;0.637696601
71;94.51947303;28.68241936;0.481287888
73;91.69355966;28.66443654;0.391857211
75;87.43793774;28.40795806;0.373663559
77;87.01813382;28.46683438;0.371420596
79;86.15251107;28.28536871;0.304170781
81;83.3434921;28.28374137;0.260926625
83;82.70335197;28.07059741;0.212497258
85;80.06156984;27.92406473;0.104111435
87;78.73451591;27.9792841;0.050044279
