Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;Upholstery for seat, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 11:07:17
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;2;366.80;89.88;;;35.18;34.41;23.19;;1464.00;;246.68;0.0088;Swelling. Shrinkage. End flame at 671s.;2011-03-04;c_LSFIRE_F1A-1-2_75a;32.0;4;2.5;25.5;;;;;;;;0.95;0.15;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;-4.004594346;35.18;0.399561171
3;15.47878565;35.04332418;1.116524778
5;109.4342884;34.94889912;1.79178989
7;205.2441242;34.66479413;2.206630296
9;241.0662998;34.30979623;2.474462557
11;234.642117;34.09675375;2.675709484
13;216.0162938;33.68696171;2.658802627
15;201.9461156;33.45335555;3.418216414
17;201.6264661;33.0652769;5.115525169
19;234.8190962;32.71778897;7.559015091
21;279.0211627;32.35910931;10.41744243
23;327.5430587;31.84860182;12.41942092
25;352.8747551;31.21252916;13.60418374
27;366.8024993;30.78339498;13.96572624
29;363.9620638;30.35680814;13.44638403
31;349.8667128;29.82347092;12.17125558
33;326.4268895;29.63665633;10.84129764
35;285.6332275;29.42261197;9.177731901
37;259.6774439;29.0663309;7.439014531
39;232.029204;28.82393252;5.818972442
41;212.3972387;28.99157179;4.570947141
43;201.2822215;28.41510668;3.916198647
45;185.093854;28.2616092;3.648027288
47;177.6334971;27.95453545;3.645765821
49;166.4965615;27.79646136;3.486586029
51;163.260709;27.67420815;3.225486983
53;151.0261137;27.5217297;2.922487179
55;149.3022243;27.30730719;2.597413745
57;140.7617753;27.04072685;2.214254847
59;131.7831656;27.08964408;1.998278762
61;132.5748091;27.01263606;1.850225301
63;124.9723445;26.71564604;1.761139184
65;125.3744414;26.68656263;1.691779654
67;123.5713979;26.61114456;1.630028355
69;120.3497808;26.45874535;1.670980295
71;118.7344777;26.35324244;1.70713062
73;119.9904838;26.19018812;1.696527615
