Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Glass reinforced polyester;;;;E4A-1;Arc resistant insulation materials, Type A;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 13:51:00
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;91;137.19;70.92;;;90.62;36.14;17.42;;2969.05;;92.96;0.0088;Flashing from 82s. Glowing. End flame at 868s.;22010-09-08;c_LSFIRE_E4A-1_50b;5.0;5.0;;;;;;;;;;9.11;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.815469661;90.62;0.289320993
3;5.782239537;90.4488596;0.271378053
5;4.172724616;90.6762378;0.359095045
7;4.034115051;90.5138674;0.569314307
9;5.500239795;90.3351019;0.707333226
11;5.774090431;90.5355365;0.842616953
13;5.375649697;90.5645133;0.832069355
15;3.80040537;90.5263748;0.679754389
17;2.662984646;90.5310762;0.474110055
19;1.502644972;90.5248075;0.330879058
21;0.711311436;90.5244295;0.259391769
23;0.635882488;90.4685533;0.411019004
25;0.325678364;90.4000196;0.612699501
27;0.279954573;90.7847624;0.675254276
29;0.208725638;90.43153;0.721792871
31;0.025846367;90.4594382;0.66106886
33;0.137203622;90.4767069;0.503176116
35;-0.309612048;90.4630382;0.373140041
37;-0.499464796;90.5476522;0.3900642
39;-0.341744075;90.4216887;0.492167502
41;-0.42260775;90.379964;0.608904986
43;-0.472675384;90.3128328;0.677367775
45;-0.328801424;90.504993;0.714259409
47;-0.689824015;90.504993;0.641944006
49;-0.643945955;90.4318782;0.485220793
51;-0.659258134;90.3276442;0.471821275
53;-0.722873556;90.3699579;0.509848515
55;-0.339552328;90.337335;0.649858303
57;0.003644746;90.223714;0.849336551
59;-0.111362519;90.3150929;0.990042438
61;-0.140903111;90.2626226;1.019761686
63;0.389736862;90.2729298;1.047990242
65;-0.057861618;90.2505208;0.952558388
67;-0.000912705;90.1781592;0.926798983
69;0.608893222;90.0694209;1.110878442
71;0.252808501;90.0592808;1.241873041
73;0.539692485;90.0072022;1.310517867
75;1.101314059;89.9972428;1.529788261
77;0.820208415;89.9743519;1.455394857
79;0.922288765;89.9224239;1.315620076
81;1.113492124;89.792422;1.244362769
83;0.887502828;89.775271;1.250361358
85;1.301669069;89.6995967;1.182609536
87;3.418355508;89.6044206;1.311566261
89;4.741620451;89.5079952;1.234139424
91;9.101070995;89.4644619;1.116615811
