Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Silicone rubber;;;;IN2-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:00:32
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;34;237.19;45.04;;;34.25;11.10;35.67;;1572.95;;135.44;0.0088;Intumescence after ignition. End flame at 376s.;22010-08-05;c_LSFIRE_IN2-3_50a;2.7;;;;;;;;;;;3.85;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.67096115;34.25;0.230433528
3;6.467955381;33.83744588;0.263743985
5;6.973968473;34.03682161;0.365185574
7;6.753751977;34.19030992;0.455575498
9;6.25394465;34.16092782;0.561352965
11;4.468715012;34.22783693;0.674409298
13;3.290018552;34.17681412;0.799837615
15;2.054920329;34.15211055;0.827882991
17;1.330677163;34.18876661;0.843886297
19;0.576547182;34.0953402;0.812503763
21;0.777869459;34.17626218;0.808153103
23;0.800620316;34.15651338;0.765514044
25;0.80814477;34.18626202;0.776313395
27;0.985825044;34.17663401;0.775687644
29;0.889508501;34.25433627;0.862803188
31;0.82676607;34.19389567;1.137574174
33;0.150125524;34.1630236;1.234322327
35;-1.265377871;34.11299217;1.659509287
37;14.28739822;34.37024423;2.217468064
39;38.48294097;34.22427495;2.868863844
41;59.3700201;33.92646946;3.385687889
43;77.62180928;33.77988803;4.292859473
45;92.04788728;33.72992843;4.895589815
47;103.4631513;33.60177431;5.443042509
49;112.8801484;33.43666362;6.012813173
51;124.5503911;33.52034846;6.830058546
53;131.2619438;33.33468508;7.36444294
55;141.7380861;33.19949733;8.16868856
57;144.277651;33.14697294;9.524413949
59;153.510612;32.95464247;10.79469061
61;161.2333824;32.80661966;11.226805
63;165.5280016;32.33845505;12.13834784
65;167.9889557;32.51356559;12.72527767
67;180.315517;32.35274945;12.520216
69;185.6752773;32.10574441;12.21758892
71;190.4986812;31.95516948;12.64008083
73;194.2613878;31.90906024;13.19753199
75;201.6229512;31.60969929;13.08866002
77;214.8682423;31.51564225;13.83440482
79;211.6405913;31.26375375;14.60707126
81;220.0209526;31.07587999;15.18674512
83;224.8840587;30.92508745;15.31281671
85;235.2206425;30.90780098;15.65710828
87;233.2252629;30.90780098;15.15138363
89;237.0239759;30.55774839;14.71506231
91;234.216932;30.24339058;14.10648495
93;233.2587603;30.18471037;13.73951266
95;237.1858692;29.93719459;13.53215261
97;229.4916401;29.72649014;13.33680565
99;236.8221693;29.51967356;12.48090619
101;232.2494067;29.38436539;11.91923659
103;230.6123479;29.08117257;11.23014889
105;223.2711648;28.97822642;10.86303762
107;224.892195;28.83179499;10.04639318
109;214.3515491;28.71619442;9.935311147
111;206.3003823;28.59306743;9.299484499
113;199.0799952;28.71831555;8.51455415
115;187.806926;28.59575898;7.328776893
117;184.4560134;28.52693896;6.634223389
119;172.3291715;28.44675642;5.736725141
121;164.7485512;28.35073617;5.080372218
123;157.2271125;27.73559981;4.244047141
125;153.5634344;28.22599456;3.812192183
127;145.8195887;28.30322305;3.314391918
129;146.4738221;28.0948077;3.022022705
131;144.1709156;28.05277593;2.76371415
133;143.9499131;27.94893982;2.753034322
135;142.8643802;27.80548198;2.595938091
137;147.1098063;27.75954598;2.730897916
139;144.0587344;27.68924338;2.710377597
141;144.8765189;27.59488581;2.801901909
143;144.1596064;27.57003119;2.791023091
145;143.0210261;27.49389179;2.82113925
147;144.6658005;27.45042551;2.816183561
149;148.6033467;27.37708963;2.831288236
151;147.7911048;27.2705588;3.012665567
153;151.4956163;27.17200809;3.109192789
155;150.5887724;27.08515845;3.26217924
157;152.8330527;27.01017099;3.523676453
159;154.1754428;26.96347284;3.655114346
161;155.4430571;26.84915625;3.624259519
163;159.5216494;26.82014599;3.72150726
165;155.1229592;26.71215476;3.801267996
167;162.6855283;26.61713645;3.714582037
169;158.4111827;26.60937764;3.801813749
171;156.5379648;26.43535935;3.804453218
173;156.0983182;26.32999894;3.825917495
175;157.1975774;26.24511252;3.736513138
177;155.5700063;26.1228644;3.610799671
179;155.4449039;26.14325546;3.282604072
181;150.2818935;26.03099927;3.122335215
183;149.1190787;25.95226919;2.867620416
185;149.3540659;25.92834573;2.724767055
187;147.2937261;25.85124506;2.698194803
189;142.9190165;25.77900144;2.717648197
191;140.5518158;25.74780719;2.599674023
193;137.8523721;25.60320798;2.382849566
195;134.4027806;25.67250071;2.253315391
197;133.0505303;25.61820483;2.007547703
199;130.4715123;25.48324525;1.781723895
201;125.9223479;25.50746924;1.716429679
203;122.1631947;25.35927425;1.717117502
205;119.9464027;25.32086467;1.564438054
207;118.4926296;25.26963165;1.510741536
209;114.7791419;25.25234517;1.475396292
211;114.2383822;25.16424483;1.226467939
213;109.7198802;25.18333395;1.067288946
215;110.8515424;25.15007826;1.026330703
217;106.3917012;25.12374106;1.004204412
219;105.1992279;25.0943521;1.028719214
221;102.3060544;25.03496941;1.107536546
223;100.3979693;25.00071548;1.111008879
225;101.1574438;24.94011272;1.011153156
227;98.50039219;24.94920094;0.879291886
229;96.25518514;24.89062161;0.797215926
231;93.46743935;24.88141297;0.752122094
233;92.45959152;24.89032161;0.773855955
235;90.39797048;24.78531402;0.932129679
237;88.66768514;24.74778331;0.987606164
239;88.51266438;24.75741238;0.969331645
241;87.03912593;24.7223852;0.895699433
243;84.54091642;24.74252802;0.81369653
245;86.13357053;24.66111379;0.675263882
247;83.91578008;24.76469056;0.631629012
249;82.60030608;24.66197365;0.681980109
251;80.10559091;24.60092089;0.72246538
253;78.94808921;24.56968069;0.722617878
255;78.94962261;24.5273859;0.721456634
257;80.29067975;24.48015799;0.690858933
259;75.95514429;24.56570516;0.535246815
261;73.0846863;24.59638603;0.527237538
263;73.30999936;24.53844525;0.482410854
