Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Silicone rubber;;;;IN2-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:05:28
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;30;253.28;46.30;;;34.26;10.83;37.63;;1354.47;;134.80;0.0088;Intumescence after ignition. End flame at 383s.
;22010-08-05;c_LSFIRE_IN2-3_50b;2.7;;;;;;;;;;;3.85;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.435933336;34.26;0.414464489
3;7.286373955;34.07548962;0.460944518
5;5.61263425;34.44951849;0.51871588
7;4.830492102;34.23791985;0.526168603
9;3.413591976;34.26850301;0.44654035
11;2.446372722;34.30966382;0.367747622
13;1.294389494;34.24134345;0.337387762
15;0.912341036;34.27119456;0.319770559
17;0.973605007;34.25494753;0.401742767
19;1.095215656;34.24549909;0.551340543
21;0.916021158;34.25273661;0.687738129
23;0.987080976;34.19680763;0.76290843
25;1.106981569;34.22707864;0.837176069
27;0.70121588;34.2300216;0.744982977
29;-1.054850728;34.20434514;0.769644342
31;2.270595433;34.25252639;0.923156082
33;17.68503386;34.15043958;1.382750065
35;36.98255766;34.13512371;1.916336508
37;54.77669818;33.97711954;2.630841194
39;69.03130208;33.92170078;3.315735968
41;83.32084086;33.89064861;3.872185244
43;94.47258643;33.75241648;4.335131978
45;104.7307092;33.70227572;4.909394218
47;110.9156704;33.59475351;5.486379787
49;123.1025433;33.51225864;6.020999387
51;130.8829261;33.38288498;6.651910778
53;139.4051482;33.25347013;7.352475352
55;153.6022481;33.09667811;7.930413284
57;152.147437;32.99289112;8.424469686
59;161.0762997;32.85048434;9.101102512
61;169.6487816;32.75723804;9.911525538
63;172.0032722;32.33321207;10.76757826
65;181.3982362;32.22805501;11.59071456
67;185.5297402;32.0415323;12.11209595
69;190.4318252;31.88755226;11.96440073
71;197.9791877;31.76868972;11.39672828
73;206.9754192;31.632987;10.6078126
75;211.1181547;31.46242242;9.709211655
77;219.4633772;31.43140035;9.43538654
79;225.4178259;31.43281215;9.537059776
81;233.2426362;31.08430235;10.08842169
83;236.9728379;30.95015403;10.30718191
85;241.117375;31.30384783;10.36319064
87;247.8095561;30.59941112;10.31282636
89;246.9707853;30.46719591;10.12831177
91;252.9246237;30.26872125;10.12140816
93;253.2803643;30.05754304;10.17136637
95;250.772186;29.87359569;10.43020247
97;251.9637194;29.74333998;10.40534909
99;244.0322568;29.59750961;10.34913594
101;234.3914739;29.39699303;9.999921291
103;232.1897551;29.35053467;9.515233535
105;226.6933516;29.29435482;9.265537574
107;218.613297;29.16595352;8.922534282
109;206.354454;28.86886793;8.484700144
111;198.5406307;28.76472073;7.854450761
113;190.0256254;28.68371582;7.100215383
115;183.2438709;28.57524397;6.1538176
117;168.1866804;28.53764513;5.021396311
119;163.8994563;28.42822045;4.35844998
121;156.4888689;28.37573726;3.605213455
123;151.3960989;28.33900937;3.348414205
125;141.7260216;28.17891418;2.954436439
127;135.6544405;28.09472652;2.862940457
129;134.0225692;28.3849459;2.571851196
131;131.799445;28.28944748;2.463071513
133;130.1013515;28.01997937;2.333037921
135;128.7718598;27.91473992;2.134517929
137;125.2521588;27.97532313;2.24841031
139;127.1464298;27.85020335;2.289611428
141;130.0122855;27.71424236;2.362615753
143;130.0271506;27.6853034;2.405255145
145;131.5780205;27.61295889;2.654030505
147;136.8183289;27.63161861;2.656572768
149;140.0383369;27.46299506;2.657932764
151;137.890833;27.44299432;2.642185213
153;140.1004887;27.42395484;2.633071194
155;143.2021422;27.32195835;2.728999044
157;143.1755101;27.25948323;2.883343587
159;144.4747309;27.17417586;3.075890628
161;144.291987;27.12282294;3.12384558
163;141.4805971;27.06582442;3.189028221
165;142.6785682;27.08437534;3.105199328
167;146.1409578;26.83820058;2.97975933
169;140.5479438;26.85267561;2.777604264
171;139.5388934;26.72404192;2.745175605
173;137.4310855;26.74596467;2.65031882
175;139.8250999;26.70682305;2.564231356
177;135.8186786;26.60985315;2.431674477
179;138.8152643;26.50427514;2.531940708
181;136.8964136;26.44975796;2.61108449
183;139.915606;26.3835397;2.674041506
185;134.8199674;26.34663171;2.766822857
187;134.9743315;26.31621017;2.758583948
189;132.866299;26.24263451;2.614523938
191;133.6736589;26.23653837;2.395987727
193;131.7220003;26.15143064;2.335062093
195;129.3821682;26.10579411;2.178848422
197;128.0561474;26.05227887;2.221185668
199;129.7197192;25.96517835;2.249299773
201;127.1887861;25.87553576;2.226195287
203;125.0464317;25.81595448;2.135714087
205;124.043496;25.81407314;2.081927894
207;121.3255556;25.75256986;1.948269103
209;122.6766682;25.69235795;1.773776522
211;119.5526555;25.68014349;1.674882155
213;119.2184803;25.64425645;1.548140589
215;119.3905776;25.56177003;1.39590855
217;117.0693628;25.49984632;1.301500101
219;115.6084754;25.44832387;1.244587688
221;114.6733397;25.46200717;1.302015453
223;114.8350005;25.30468592;1.338388121
225;118.3251761;25.30923136;1.361115184
227;114.1436964;25.41583032;1.282259893
229;110.1473087;25.1405666;1.190666482
231;109.5037159;25.35074499;1.020183936
233;107.7174555;25.15863688;0.88929492
235;107.028383;25.18090031;0.832040066
237;103.3541873;25.13822628;0.902396666
239;102.7474955;25.15711575;0.912517125
241;102.2601915;25.13010725;0.853561669
243;100.9663992;25.01735141;0.776627133
245;99.15922002;25.10750475;0.687904785
247;98.77380223;25.04812259;0.560875949
249;96.44881941;24.97712968;0.58285114
251;95.03462131;24.96821047;0.514376224
253;94.05495474;24.98607846;0.52884998
255;92.36790297;24.97626929;0.541607302
257;91.199459;24.8478569;0.607955041
259;91.37838533;24.8540217;0.549404651
261;89.33783144;24.82243978;0.703176318
263;88.79444685;24.80793517;0.647692204
265;86.89870067;24.83350019;0.645463962
267;84.4693234;24.80030734;0.471699643
269;83.46793538;24.83264191;0.447682891
271;81.87530183;24.78594376;0.355951307
273;79.34441926;24.60686878;0.426890182
275;78.54054708;24.68852333;0.409905945
277;76.56618471;24.68073441;0.529262297
279;75.76835164;24.75887505;0.512696716
281;74.46290736;24.74949475;0.463622135
283;72.12716945;24.6295616;0.380022738
285;69.65282752;24.68965361;0.413188026
287;68.27043901;24.63841003;0.311840324
289;66.61772074;24.65880109;0.376859543
291;65.05181988;24.60986139;0.459643233
293;63.9105561;24.5823638;0.548700379
295;63.8614294;24.59731893;0.521440815
297;60.20166789;24.58704867;0.579688778
299;59.54230058;24.4969941;0.500490999
301;59.1207793;24.32555804;0.482005402
303;57.24947804;24.61311333;0.45365626
305;56.59385418;24.59447474;0.504552931
307;54.74889332;24.55233047;0.587383135
309;53.66580783;24.5347028;0.668419927
311;52.65482991;24.5847749;0.637011352
313;51.86633819;24.52379239;0.580455431
315;51.13910192;24.58521645;0.505231505
317;50.83867836;24.56156288;0.442783569
319;49.18600824;24.49139127;0.451694865
321;48.44001698;24.48265217;0.512306011
323;46.76160957;24.4569736;0.531776062
325;46.46880407;24.48484249;0.466758703
327;44.63135911;24.47623438;0.395185626
329;44.66100345;24.51125046;0.382571217
331;44.38092393;24.48425253;0.337174346
333;42.18243996;24.50608496;0.408069593
335;41.61325905;24.4855138;0.573782962
