Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:23:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;127;105.64;5.76;;;1.80;1.63;30.05;;276.35;;14.53;0.0088;Distortion. Melting. End flame at 169s.
;2010-07-23;c_LSFIRE_IN8-3_35a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.679787715;1.8;0.054237871
3;6.520158574;1.72547076;0.093624521
5;7.642777348;1.83502965;0.11388722
7;7.60411236;1.82443522;0.11388722
9;7.12657063;1.86660692;0.112194704
11;6.028958014;1.85966496;0.059649349
13;4.561798312;1.82616383;0.020262699
15;3.238877696;1.86479203;2.77556E-18
17;3.2263646;1.84949747;2.77556E-18
19;3.246721403;1.8365195;0.033448459
21;3.19182171;1.83631942;0.053732599
23;3.175028262;1.83276699;0.126872728
25;3.231587884;1.79032639;0.185139507
27;3.166327013;1.89057504;0.189543444
29;3.183594695;1.76889393;0.156094986
31;3.205138026;1.83057164;0.142002477
33;3.173208789;1.75216158;0.068862349
35;3.146850151;1.79650521;0.010595569
37;3.213750249;1.71653576;0.006191632
39;3.192149198;1.80055562;0.006191632
41;3.170264627;1.77382649;0.006901815
43;3.168133315;1.62031933;0.049057746
45;3.21536668;1.74536764;0.069331781
47;3.191865497;1.79114347;0.069331781
49;3.136003291;1.79114347;0.069331781
51;3.206697266;1.80983686;0.062429966
53;3.14157935;1.80983686;0.020274035
55;3.164641725;1.74619252;-8.32667E-18
57;3.244141716;1.73568288;0.012367654
59;3.124249469;1.81285115;0.081095305
61;3.221963566;1.73361026;0.109742416
63;3.19615732;1.7579075;0.120910609
65;3.202006369;1.71075117;0.162397191
67;3.107577725;1.71128968;0.150029536
69;3.189316129;1.77830794;0.081301885
71;3.1424868;1.76022781;0.052654774
73;3.198251976;1.73622698;0.080036679
75;3.161882819;1.73622698;0.10116351
77;3.171015638;1.74497565;0.170036306
79;3.214285115;1.72916414;0.26867975
81;3.151052376;1.73890655;0.379758407
83;3.199282674;1.68773848;0.379896902
85;3.227494656;1.72760475;0.31728349
87;3.223190358;1.77375174;0.258667357
89;3.221797076;1.75209241;0.160023913
91;3.171999203;1.75969938;0.048945256
93;3.226481107;1.73904489;0.010256663
95;3.183067746;1.72331223;0.012320539
97;3.205778805;1.68140606;0.072334202
99;3.198820373;1.70481483;0.163913559
101;3.197872885;1.70872689;0.209176101
103;3.15168338;1.69030276;0.264601805
105;3.207652434;1.70208133;0.277109878
107;3.207285171;1.67902625;0.209348407
109;3.164946405;1.70584352;0.165307302
111;3.195108305;1.70078971;0.165103386
113;3.192177816;1.71020558;0.22066103
115;3.243443431;1.71005161;0.31500067
117;3.177548673;1.6695624;0.482825759
119;3.183009718;1.66720936;0.596970869
121;3.158594172;1.69619521;0.70640436
123;2.990573433;1.6632973;0.67556826
125;2.534480048;1.6632973;1.020042726
127;-0.060328183;1.67317248;1.472966931
129;1.577226921;1.69287522;2.329161946
131;10.02249273;1.61173725;3.373496407
133;21.86345865;1.51232279;4.534292823
135;33.90177259;1.50183992;5.749260023
137;48.44924687;1.39092804;6.906017804
139;63.82565895;1.32643204;8.136630875
141;75.34508223;1.27153043;8.924785418
143;87.77309897;1.12442186;9.445854402
145;102.1456367;1.01951549;8.854691659
147;105.6369188;0.88325462;7.807164684
149;94.87698897;0.75171916;5.880977063
151;78.41200525;0.75171916;4.099941577
153;62.44718208;0.74008339;2.403948281
155;48.6975661;0.70402877;1.36734877
157;39.89603676;0.68659873;0.709905422
159;32.38085852;0.6780401;0.483666456
161;27.42207528;0.61374009;0.319682582
163;22.64072584;0.69406917;0.272585026
165;19.51527967;0.65816814;0.231994026
167;16.54853273;0.62685083;0.156948418
169;14.17060492;0.71372357;0.060883559
171;11.48386743;0.66170942;0.018921798
173;9.429190413;0.66836501;0.015245555
175;8.268030252;0.62571876;0.015245555
177;6.836647823;0.62094537;0.015245555
179;6.140659976;0.59421066;0.05956982
181;5.369669075;0.63639762;0.102404066
183;4.746755648;0.65010043;0.101308445
185;4.351065525;0.50387476;0.119707805
187;3.677622465;0.67267873;0.119707805
189;3.351297246;0.64626163;0.075383539
191;3.133699972;0.65089258;0.032549294
193;3.123913656;0.65440856;0.01839936
195;3.093812253;0.56950618;4.30211E-16
197;3.090692652;0.62429622;4.30211E-16
199;3.029700334;0.61130673;0.022345978
201;3.06612514;0.60919208;0.0365574
203;3.004243354;0.60864798;0.055975464
205;3.040915058;0.65729008;0.055975464
207;3.012841821;0.61318447;0.055975464
209;2.975113968;0.6186403;0.033629485
211;3.005209012;0.62779101;0.019418064
213;2.93484607;0.62156831;4.32987E-16
215;2.954556538;0.63105744;0.0031626
217;2.856008114;0.58176005;0.032858795
219;2.891318757;0.57362427;0.078685257
221;2.789317062;0.59199448;0.130294386
223;2.829601026;0.58735795;0.130294386
225;2.765480142;0.59796764;0.127131786
227;2.824165054;0.61344108;0.097435591
229;2.752072386;0.61925655;0.051609129
231;2.74681385;0.59997666;4.44089E-16
