Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:32:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;51;83.01;3.53;;;1.81;1.59;20.77;;419.79;;21.82;0.0088;Distortion. Melting. End flame at 176s.;2010-07-27;c_LSFIRE_IN8-3_50a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.795981822;1.81;0.111187747
3;5.146683196;1.99821323;0.114164598
5;5.752887343;1.71250856;0.185600713
7;5.246197208;1.79072834;0.264969179
9;5.261663544;1.7604602;0.346996663
11;4.235221295;1.78611845;0.335537631
13;3.242698613;1.84618967;0.391536761
15;2.452624865;1.76346212;0.405122554
17;1.558808141;1.76524889;0.354580996
19;1.252626781;1.80538477;0.315477471
21;0.938547311;1.80443263;0.372393988
23;0.943812185;1.77173478;0.357292184
25;0.924070101;1.76889909;0.42271574
27;0.912824374;1.77313881;0.741848637
29;0.864400923;1.76501415;0.974090531
31;0.802862724;1.75951591;1.355860965
33;0.765639609;1.72195302;1.757493572
35;0.712279822;1.73126455;2.029559446
37;0.642823269;1.69659612;2.198537445
39;0.601412194;1.69592459;2.526355119
41;0.554558242;1.65366759;2.80748455
43;0.487013611;1.63226728;2.979349758
45;0.456407903;1.63977665;3.467733241
47;0.401141134;1.5979841;3.791840775
49;0.11137623;1.62089056;3.93080775
51;-0.687928523;1.61249787;4.155404465
53;4.852991746;1.57978966;5.023435598
55;21.67902718;1.55186259;5.854914691
57;39.96278012;1.44464357;6.760665442
59;56.848679;1.45301835;7.883949092
61;70.01664985;1.34596022;8.67768588
63;78.55928905;1.26053493;8.740381286
65;83.00848151;1.18244776;8.53037077
67;82.20331391;1.09277491;8.005146641
69;82.10782265;1.02562294;7.076049045
71;73.69980009;0.95017286;6.151309132
73;65.46751944;0.90941165;5.039999852
75;57.3242144;0.89629153;3.761619884
77;47.35808574;0.88703625;2.66501729
79;39.0794661;0.89837714;1.716870018
81;31.45778285;0.97951432;0.895735961
83;26.04835662;0.91409287;0.447292487
85;21.47837505;0.86486228;0.194841712
87;19.58519427;0.87555238;0.058218124
89;17.15297634;0.86249103;0.104444147
91;16.60912284;0.88708967;0.069290483
93;15.09100557;0.9438554;0.139842734
95;13.97491897;0.81927686;0.226194453
97;12.20987896;0.83046189;0.306172321
99;11.11851931;0.78908036;0.346970502
101;11.01747902;0.82662534;0.427654657
103;10.18853341;0.81162954;0.40112868
105;9.730745951;0.81259425;0.402322269
107;8.946963329;0.80217219;0.337846275
109;8.526185049;0.80222593;0.256501633
111;8.440949605;0.81042726;0.187713493
113;8.078931294;0.79797333;0.159403234
115;7.684042608;0.80914076;0.05867105
117;7.481297752;0.80979689;0.051674883
119;7.193156632;0.79541322;0.109970362
121;6.97014219;0.78371002;0.162011403
123;6.821077343;0.76889773;0.222054891
125;6.861490967;0.73668224;0.314119104
127;6.708660456;0.74607548;0.391543713
129;6.686388713;0.73689152;0.371136297
131;6.747003611;0.73092884;0.297321658
133;6.630976784;0.75744434;0.221562155
135;6.257672249;0.74683091;0.129497941
137;5.857880529;0.75746225;0.043567625
139;5.50704186;0.75344219;0.045603808
141;5.252320551;0.70105915;0.078399914
143;5.010317241;0.72371516;0.174545606
145;5.039228559;0.6976462;0.235420358
147;4.89523639;0.71070755;0.283012601
149;4.969171797;0.71249431;0.294497291
151;5.293705712;0.71445988;0.27759838
153;5.172245002;0.74727776;0.181452688
155;5.139559797;0.72429996;0.120577936
157;5.134495906;0.7204763;0.072985693
159;4.789905801;0.72591578;0.015897194
161;4.664496766;0.69425933;-2.84495E-15
163;4.328939975;0.7029251;0.03333332
165;3.78444051;0.66201588;0.090923722
167;3.560279728;0.69078793;0.147533231
169;3.459585543;0.65223455;0.212569955
171;3.555226399;0.66234237;0.284547178
173;3.209466454;0.66130098;0.264074894
175;3.062466207;0.68153233;0.206484493
177;3.26049998;0.69479008;0.163751259
179;3.144963414;0.67249135;0.098714535
181;2.934608944;0.72986954;0.026737312
183;2.8379047;0.68501661;0.029658872
185;3.256762807;0.67463541;0.072186649
187;3.099701357;0.6755467;0.072348102
189;2.701089773;0.63661813;0.118023103
191;2.419683321;0.64508216;0.175152414
193;2.3161597;0.64113846;0.246824799
195;2.280367929;0.66573238;0.279186967
197;1.955200659;0.65313548;0.310461951
199;1.994692736;0.65055746;0.283841286
201;1.865512321;0.66295765;0.298327593
203;1.975536302;0.66467308;0.21087261
205;1.758152847;0.63335098;0.135982666
207;1.374450576;0.67472748;0.093936222
209;1.176353925;0.68006986;0.074881886
211;1.130158764;0.65155297;0.05046855
213;1.111921815;0.6606835;0.113456079
215;0.824219112;0.58260167;0.222089389
217;0.811126785;0.61835486;0.327718933
219;1.15544254;0.63982682;0.37921207
221;0.935827119;0.62752122;0.367346664
223;0.941240754;0.6225003;0.329464193
225;0.790258095;0.68187453;0.220830883
227;0.804368192;0.62002159;0.111935071
229;0.80654089;0.63038488;0.088438809
231;0.802684653;0.59576232;0.062797001
233;0.825171567;0.59139;0.116788563
235;0.81219616;0.57647809;0.196058226
237;0.826596198;0.57151594;0.204453099
239;0.800698007;0.59264853;0.214402062
241;0.808945368;0.62510377;0.229728932
243;0.82858975;0.61491928;0.163328761
245;0.806068049;0.58236442;0.084059098
247;0.837034101;0.58285966;0.075664226
249;0.832926493;0.61764028;0.039400059
251;0.846833963;0.56763352;0.122843024
253;0.840596186;0.56887948;0.144772763
255;0.840133782;0.56702107;0.21732412
257;0.834143665;0.55338812;0.277624934
259;0.832388069;0.5556343;0.297362792
261;0.832096397;0.54528892;0.188897888
263;0.813517797;0.58247158;0.1542717
265;0.824797316;0.59733258;0.081720344
267;0.830170246;0.56315153;0.02141953
269;0.841300201;0.54873738;-2.83384E-15
271;0.83503557;0.54852307;0.051015454
273;0.851590087;0.54555696;0.087141712
275;0.83047045;0.52355676;0.157524627
277;0.844910957;0.50967368;0.225346319
279;0.849866129;0.58258659;0.283231596
281;0.845441634;0.57652932;0.232216142
283;0.865407747;0.50339707;0.196089884
285;0.847056133;0.56001479;0.125706969
287;0.85279925;0.5735277;0.057885277
289;0.878040198;0.53940039;-2.84217E-15
291;0.863005016;0.54076324;0.058670169
293;0.866776439;0.53993648;0.122508213
295;0.882210321;0.50005576;0.124134502
297;0.885571738;0.51338013;0.16677267
299;0.891350715;0.47353021;0.183629862
301;0.899282296;0.53896642;0.124959693
303;0.911893407;0.56508912;0.061121649
305;0.885128997;0.54239729;0.077447365
307;0.889481724;0.51542206;0.076288786
309;0.910615266;0.53041283;0.142841752
311;0.904817651;0.50759593;0.244332092
313;0.913446443;0.51351022;0.288455493
315;0.905833512;0.51595312;0.305328885
317;0.900572296;0.53044363;0.263849296
319;0.920626697;0.51513107;0.180439138
321;0.932613104;0.53051025;0.108682121
323;0.938244702;0.53405298;0.121141605
325;0.952063974;0.50892076;0.150158423
327;0.914761186;0.4984148;0.171879485
329;0.925603454;0.4934426;0.247913478
331;0.929341872;0.53416296;0.218180154
333;0.923031374;0.55152531;0.177693773
335;0.931125413;0.52324064;0.143435998
337;0.924313666;0.52789641;0.183638758
339;0.936086729;0.50116628;0.167261404
341;0.934477756;0.47951081;0.244254867
343;0.924887268;0.47969432;0.297537157
345;0.929563994;0.52071353;0.278413961
347;0.929867778;0.52242896;0.21649014
349;0.937306733;0.50792525;0.1568335
351;0.923411902;0.53028557;0.131430367
353;0.933267946;0.50766506;0.072231211
355;0.928665031;0.45617038;0.147445426
357;0.924895803;0.46494362;0.21235708
359;0.912656511;0.49390202;0.290824759
361;0.93473614;0.47574339;0.276920582
363;0.92082924;0.49477246;0.278504141
365;0.909653114;0.49802452;0.192828682
367;0.922881846;0.48336275;0.127917027
369;0.922660988;0.49512975;0.049449349
371;0.925981987;0.47676184;0.059026468
373;0.934115774;0.47533237;0.111319305
375;0.908686065;0.44063848;0.16016065
377;0.925663001;0.44041129;0.16650632
379;0.928813258;0.44736163;0.167506405
381;0.932435807;0.47593225;0.120243133
383;0.915110579;0.47293032;0.0561871
385;0.936636135;0.47356854;0.088215486
387;0.909052013;0.43652383;0.116972144
389;0.940830504;0.43839984;0.1975008
391;0.921868774;0.45339093;0.2479402
393;0.927666707;0.42526999;0.2479402
395;0.916712037;0.44796685;0.167070469
397;0.911369895;0.44628253;0.131968141
399;0.922997829;0.43368562;0.0504394
401;0.929249751;0.44189198;0.029268794
403;0.924727054;0.42457835;0.05223632
405;0.915942884;0.42958103;0.086411053
407;0.921132805;0.40805062;0.087680353
409;0.931657523;0.41764277;0.090406121
411;0.909537466;0.45775069;0.061137327
413;0.917407103;0.46507654;0.0381698
