Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:36:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;33;46.94;4.05;;;1.81;1.62;22.31;;318.55;;22.01;0.0088;Distortion. Melting. End flame at 135s.
;2010-07-27;c_LSFIRE_IN8-3_50c;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.367827163;1.81;0
3;4.708587284;2.1400968;0
5;4.853114426;1.91018747;0.069954397
7;5.201177165;1.89639943;0.10357754
9;5.77561455;2.00217202;0.104340861
11;5.592696923;1.72778108;0.158358073
13;4.909827984;1.84000202;0.220913314
15;3.78334832;1.81441892;0.150958916
17;2.966866425;1.7147061;0.117335773
19;1.992608345;1.80546736;0.135378465
21;1.227770079;1.78801606;0.113876636
23;1.241875852;1.78266629;0.13512344
25;1.239662827;1.77493406;0.272769446
27;1.230861443;1.72213141;0.431249797
29;1.241880537;1.71028758;0.606804371
31;1.069023067;1.69281125;1.078398074
33;-0.879856591;1.64735971;1.863530713
35;4.655775408;1.71610983;2.58837932
37;14.52359934;1.72756898;3.346377042
39;23.07540651;1.72344952;3.969006501
41;31.37350547;1.62706406;4.607467972
43;37.66633512;1.58138904;4.775338907
45;43.32663471;1.57307547;5.027440424
47;45.73819862;1.58958494;4.906806502
49;46.9350739;1.47803799;4.933752206
51;46.13296012;1.50157364;4.468213927
53;44.92078733;1.39478107;4.054230035
55;43.01058043;1.45600794;3.651715826
57;41.91631925;1.38009423;3.423037852
59;41.45999153;1.33568726;3.205151931
61;39.47871386;1.21301968;3.236571152
63;38.61962662;1.20071837;3.287570858
65;37.2499226;1.11591018;3.224795794
67;37.19381314;1.1028958;3.302808512
69;36.80892358;1.08336544;3.223995382
71;36.87813338;1.04486852;2.905351288
73;35.586484;1.02800953;2.527539222
75;32.48986485;1.03387654;2.103221567
77;30.23937395;0.98743312;1.617675461
79;27.19082395;0.99632101;1.220079788
81;25.22205638;0.99180944;0.885537305
83;23.2934597;0.91836029;0.760725122
85;21.41262355;0.93027565;0.659235746
87;19.63828393;0.9111273;0.65305819
89;18.85953654;0.87440953;0.546673934
91;18.48204567;0.88879692;0.529979068
93;17.79009198;0.86475456;0.367138471
95;18.26861348;0.91363753;0.250317452
97;17.18608372;0.89989954;0.09686222
99;16.25806847;0.85163393;0.05360545
101;14.93818098;0.89604089;0.015035395
103;13.68195033;0.80827944;0.008578097
105;13.29091599;0.84263231;0.02125
107;12.50994566;0.78600965;0.061283487
109;12.55221072;0.7715867;0.105872439
111;11.45537147;0.7701386;0.152193823
113;10.90689495;0.81708127;0.182479792
115;10.64081005;0.82414653;0.163129081
117;10.2679722;0.8196275;0.123095595
119;9.568453673;0.73326408;0.078506642
121;8.65007033;0.8854981;0.032185259
123;8.262257235;0.8500787;0.030588541
125;7.334964848;0.82347254;0.030588541
