Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:41:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;12;69.81;3.66;;;1.81;1.71;18.81;;410.23;;39.63;0.0088;Distortion. End flame at 95s.
;2010-07-28;c_LSFIRE_IN8-3_75b;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.560681567;1.81;0.010250082
3;5.31250459;1.91333495;0.058391801
5;5.332594085;1.77416018;0.164365256
7;4.92145907;1.65301238;0.322808055
9;4.205692934;1.71983344;0.666620047
11;-0.396661875;1.7628783;1.721559412
13;-0.344392815;1.71999048;3.327912988
15;9.807320525;1.77470031;4.986729363
17;23.99942088;1.73977546;6.667060547
19;38.07276489;1.65779105;7.727956672
21;47.74531787;1.54641117;8.875666905
23;57.25998568;1.60310102;9.075110418
25;65.47472392;1.49969551;8.8157749
27;68.77848793;1.39238994;8.210281677
29;69.80953106;1.38044469;8.159381029
31;66.04742599;1.26199212;7.570325357
33;64.16010534;1.25161677;6.875321686
35;61.836197;1.21048777;6.809478743
37;58.99247735;1.16375256;6.755821972
39;59.34141318;1.1672558;6.329765124
41;56.81323583;1.04489178;5.653141736
43;55.50862557;1.05345295;5.258508794
45;52.16370891;1.06739314;4.35631227
47;50.21503069;0.90253786;3.522504076
49;44.53499656;0.97962149;2.808802494
51;36.99527414;0.99332147;2.09122425
53;30.5086804;0.94711527;1.374035686
55;26.92006978;1.05090213;0.904797768
57;22.73568041;0.98961332;0.652407702
59;19.80014991;0.93301629;0.516278272
61;17.43624124;0.93098769;0.382282835
63;15.93197244;0.91023048;0.382784645
65;14.44987514;0.91707138;0.314607718
67;13.22969442;0.92046252;0.247808305
69;12.11495317;0.84195474;0.198609763
71;11.6048329;0.88490063;0.103836301
73;11.1429874;0.8793669;0.060064236
75;10.92735003;0.99886878;0.103424734
77;10.32980905;0.89353862;0.081631167
79;9.564609567;0.98623602;0.052910101
81;8.933410205;0.91927668;0.052036623
83;8.281649293;0.88776684;0.048193247
85;7.882634904;0.87793162;0.025360486
87;7.421854225;0.8442876;0.102366797
89;7.458352263;0.86101258;0.151172118
91;7.191581436;0.8720825;0.151172118
93;6.602068798;0.89237693;0.151172118
95;6.352602675;0.81308203;0.130644382
97;5.812404369;1.00999597;0.048805321
99;5.832593926;0.80638852;0.012071767
101;5.763512124;0.82941019;0.06720866
103;5.925689871;0.88214245;0.133859156
105;5.751633223;0.79651584;0.133859156
107;5.604114091;0.84362832;0.158598574
109;5.236235032;0.80445518;0.152340273
111;5.206891775;0.83348884;0.097203379
113;4.878260745;0.81413596;0.030552883
115;4.687336723;0.79289589;0.121152712
117;4.62569348;0.71024786;0.174177815
119;4.640621367;0.87597848;0.194716613
121;4.513060299;0.76045129;0.204472452
123;4.273138543;0.84013187;0.204472452
125;4.17724469;0.86425362;0.142393581
127;4.01363554;0.73668456;0.130925469
129;4.071954308;0.78666759;0.212403226
131;4.340852884;0.75386824;0.254650976
133;4.235184515;0.81772578;0.256388455
135;4.118441174;0.79090312;0.227867498
137;4.312420816;0.75810811;0.161571088
139;4.015593655;0.79062111;0.053741068
141;3.815106149;0.73564447;0.00173748
143;3.675415206;0.80297865;0.035765608
145;3.711872711;0.76878337;0.085417918
147;3.767433857;0.76131821;0.10130182
149;3.716711895;0.75293807;0.164632051
151;3.921533731;0.72620797;0.182210215
153;3.856555359;0.74475852;0.146444607
155;3.744746628;0.82361671;0.129035865
157;3.620632476;0.67669477;0.121035617
159;3.504325886;0.63370273;0.090266999
161;3.22415117;0.8644523;0.11076692
163;3.121872617;0.75194603;0.212025151
165;3.036763403;0.78288914;0.240201454
167;2.968092827;0.77075009;0.322876617
169;3.202110777;0.59038499;0.351002062
171;3.080704001;0.75877852;0.32473042
173;3.120754943;0.75419476;0.254228525
175;3.1767393;0.73976492;0.193808654
177;3.027025869;0.67379327;0.127506397
179;2.893845994;0.69302292;0.066819338
181;2.507509011;0.7568536;0.055012896
183;2.47132066;0.70315562;0.084503321
